 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = F150W
 -1.6240 -1.5428 -1.4302 -1.3671 -1.3677 -1.3777 -1.3555 -1.3200 -1.3059 -1.3190
 -1.3447 -1.3762 -1.4103 -1.4481 -1.4905 -1.6088 -1.7385 -1.8721 -2.0052
 -1.6022 -1.5725 -1.5245 -1.4800 -1.4403 -1.4041 -1.3748 -1.3559 -1.3498 -1.3562
 -1.3739 -1.4011 -1.4352 -1.4741 -1.5164 -1.6322 -1.7572 -1.8870 -2.0178 -2.1486
 -1.5788 -1.5771 -1.5675 -1.5433 -1.4998 -1.4535 -1.4212 -1.4024 -1.3936 -1.3941
 -1.4059 -1.4284 -1.4601 -1.4984 -1.5404 -1.6544 -1.7756 -1.9014 -2.0293 -2.1569
 -2.2833
 -1.5538 -1.5566 -1.5592 -1.5570 -1.5462 -1.5259 -1.4947 -1.4595 -1.4373 -1.4327
 -1.4407 -1.4581 -1.4850 -1.5210 -1.5625 -1.6754 -1.7937 -1.9153 -2.0397 -2.1644
 -2.2880 -2.4102
 -1.5358 -1.5382 -1.5432 -1.5483 -1.5505 -1.5480 -1.5402 -1.5285 -1.5121 -1.4950
 -1.4888 -1.4968 -1.5152 -1.5446 -1.5835 -1.6949 -1.8115 -1.9295 -2.0497 -2.1716
 -2.2929 -2.4126 -2.5307 -2.6472
 -1.5269 -1.5273 -1.5312 -1.5373 -1.5444 -1.5508 -1.5547 -1.5562 -1.5569 -1.5569
 -1.5551 -1.5556 -1.5641 -1.5817 -1.6103 -1.7136 -1.8287 -1.9442 -2.0605 -2.1787
 -2.2976 -2.4155 -2.5315 -2.6458 -2.7584 -2.8695 -2.9792 -3.0880 -3.1955 -3.2988
 -1.5296 -1.5272 -1.5286 -1.5330 -1.5399 -1.5489 -1.5587 -1.5680 -1.5772 -1.5869
 -1.5975 -1.6080 -1.6189 -1.6323 -1.6523 -1.7358 -1.8454 -1.9590 -2.0722 -2.1865
 -2.3024 -2.4184 -2.5327 -2.6452 -2.7559 -2.8647 -2.9722 -3.0781 -3.1832 -3.2874
 -3.3878
 -1.5483 -1.5414 -1.5390 -1.5403 -1.5447 -1.5525 -1.5629 -1.5752 -1.5888 -1.6036
 -1.6197 -1.6374 -1.6562 -1.6753 -1.6954 -1.7664 -1.8641 -1.9737 -2.0845 -2.1953
 -2.3078 -2.4215 -2.5343 -2.6453 -2.7542 -2.8613 -2.9667 -3.0706 -3.1731 -3.2747
 -3.3758
 -1.5850 -1.5731 -1.5657 -1.5627 -1.5632 -1.5674 -1.5754 -1.5867 -1.6009 -1.6174
 -1.6359 -1.6565 -1.6789 -1.7029 -1.7273 -1.7980 -1.8872 -1.9903 -2.0982 -2.2065
 -2.3158 -2.4267 -2.5379 -2.6479 -2.7557 -2.8614 -2.9652 -3.0673 -3.1678 -3.2672
 -3.3658
 -1.6407 -1.6250 -1.6114 -1.6027 -1.5980 -1.5973 -1.6009 -1.6084 -1.6199 -1.6349
 -1.6528 -1.6733 -1.6963 -1.7216 -1.7485 -1.8234 -1.9086 -2.0058 -2.1101 -2.2163
 -2.3230 -2.4307 -2.5394 -2.6480 -2.7549 -2.8595 -2.9619 -3.0623 -3.1609 -3.2581
 -3.3559
