 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = F356W
 -3.6399 -3.7287 -3.8035 -3.8498 -3.8657 -3.8668 -3.8659 -3.8707 -3.8896 -3.9285
 -3.9789 -4.0447 -4.1167 -4.1866 -4.2599 -4.4449 -4.6268 -4.8011 -4.9674
 -3.6039 -3.6887 -3.7681 -3.8358 -3.8899 -3.9303 -3.9585 -3.9784 -3.9955 -4.0144
 -4.0407 -4.0817 -4.1405 -4.2104 -4.2837 -4.4675 -4.6474 -4.8207 -4.9863 -5.1447
 -3.5825 -3.6629 -3.7425 -3.8194 -3.8918 -3.9537 -4.0021 -4.0377 -4.0625 -4.0798
 -4.0980 -4.1246 -4.1696 -4.2333 -4.3043 -4.4858 -4.6639 -4.8363 -5.0015 -5.1593
 -5.3101
 -3.5757 -3.6513 -3.7267 -3.8006 -3.8714 -3.9370 -3.9967 -4.0486 -4.0906 -4.1247
 -4.1508 -4.1734 -4.2040 -4.2553 -4.3217 -4.4998 -4.6763 -4.8479 -5.0129 -5.1704
 -5.3205 -5.4643
 -3.5839 -3.6532 -3.7232 -3.7930 -3.8615 -3.9269 -3.9874 -4.0415 -4.0908 -4.1359
 -4.1772 -4.2139 -4.2442 -4.2829 -4.3398 -4.5110 -4.6852 -4.8557 -5.0210 -5.1786
 -5.3286 -5.4719 -5.6092 -5.7414
 -3.6101 -3.6709 -3.7334 -3.7970 -3.8612 -3.9247 -3.9858 -4.0427 -4.0943 -4.1419
 -4.1879 -4.2338 -4.2763 -4.3147 -4.3637 -4.5217 -4.6921 -4.8606 -5.0256 -5.1842
 -5.3347 -5.4779 -5.6147 -5.7462 -5.8728 -5.9953 -6.1144 -6.2302 -6.3429 -6.4526
 -3.6570 -3.7079 -3.7607 -3.8158 -3.8730 -3.9317 -3.9907 -4.0482 -4.1029 -4.1536
 -4.2015 -4.2490 -4.2976 -4.3416 -4.3889 -4.5356 -4.6988 -4.8638 -5.0272 -5.1866
 -5.3385 -5.4824 -5.6193 -5.7504 -5.8763 -5.9977 -6.1154 -6.2296 -6.3406 -6.4490
 -6.5550
 -3.7231 -3.7653 -3.8080 -3.8528 -3.9008 -3.9519 -4.0054 -4.0601 -4.1146 -4.1675
 -4.2181 -4.2671 -4.3161 -4.3649 -4.4115 -4.5523 -4.7074 -4.8671 -5.0271 -5.1858
 -5.3392 -5.4847 -5.6225 -5.7539 -5.8796 -6.0004 -6.1171 -6.2300 -6.3396 -6.4463
 -6.5507
 -3.8023 -3.8399 -3.8753 -3.9103 -3.9481 -3.9897 -4.0352 -4.0837 -4.1346 -4.1863
 -4.2377 -4.2882 -4.3380 -4.3878 -4.4352 -4.5705 -4.7194 -4.8739 -5.0295 -5.1854
 -5.3392 -5.4869 -5.6265 -5.7590 -5.8852 -6.0061 -6.1225 -6.2347 -6.3434 -6.4488
 -6.5516
 -3.8851 -3.9230 -3.9555 -3.9846 -4.0134 -4.0454 -4.0813 -4.1215 -4.1656 -4.2125
 -4.2613 -4.3110 -4.3607 -4.4105 -4.4593 -4.5886 -4.7305 -4.8793 -5.0306 -5.1824
 -5.3339 -5.4822 -5.6242 -5.7586 -5.8860 -6.0075 -6.1241 -6.2361 -6.3443 -6.4489
 -6.5524
 -3.9695 -4.0090 -4.0419 -4.0702 -4.0950 -4.1191 -4.1462 -4.1773 -4.2126 -4.2521
 -4.2950 -4.3407 -4.3881 -4.4363 -4.4848 -4.6097 -4.7444 -4.8866 -5.0332 -5.1810
 -5.3288 -5.4755 -5.6184 -5.7551 -5.8847 -6.0077 -6.1251 -6.2376 -6.3458 -6.4502
 -6.5512
 -4.0554 -4.0979 -4.1298 -4.1606 -4.1852 -4.2066 -4.2277 -4.2507 -4.2774 -4.3081
