 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = F150W
  1.7754  1.8560  1.9683  2.0311  2.0310  2.0215  2.0438  2.0792  2.0935  2.0802
  2.0545  2.0233  1.9893  1.9516  1.9096  1.7911  1.6616  1.5281  1.3950
  1.7975  1.8270  1.8748  1.9191  1.9588  1.9950  2.0244  2.0433  2.0495  2.0431
  2.0255  1.9984  1.9644  1.9256  1.8834  1.7677  1.6429  1.5132  1.3825  1.2518
  1.8211  1.8228  1.8323  1.8564  1.8997  1.9458  1.9781  1.9969  2.0057  2.0053
  1.9936  1.9711  1.9395  1.9013  1.8593  1.7455  1.6245  1.4988  1.3710  1.2435
  1.1171
  1.8462  1.8434  1.8408  1.8430  1.8537  1.8739  1.9049  1.9400  1.9621  1.9668
  1.9588  1.9414  1.9146  1.8787  1.8373  1.7245  1.6064  1.4849  1.3606  1.2359
  1.1124  0.9903
  1.8644  1.8619  1.8570  1.8518  1.8495  1.8520  1.8597  1.8713  1.8876  1.9046
  1.9108  1.9028  1.8845  1.8551  1.8163  1.7050  1.5885  1.4707  1.3505  1.2287
  1.1075  0.9878  0.8699  0.7534
  1.8736  1.8730  1.8691  1.8629  1.8557  1.8493  1.8454  1.8438  1.8430  1.8429
  1.8447  1.8442  1.8357  1.8181  1.7895  1.6864  1.5714  1.4559  1.3398  1.2216
  1.1028  0.9850  0.8690  0.7548  0.6423  0.5313  0.4216  0.3128  0.2053  0.1021
  1.8711  1.8733  1.8719  1.8674  1.8604  1.8513  1.8415  1.8321  1.8229  1.8131
  1.8025  1.7919  1.7810  1.7676  1.7476  1.6642  1.5547  1.4411  1.3281  1.2138
  1.0979  0.9821  0.8678  0.7553  0.6448  0.5360  0.4286  0.3227  0.2176  0.1135
  0.0131
  1.8527  1.8595  1.8617  1.8603  1.8557  1.8479  1.8374  1.8250  1.8114  1.7965
  1.7804  1.7627  1.7439  1.7247  1.7047  1.6337  1.5360  1.4265  1.3158  1.2050
  1.0926  0.9790  0.8662  0.7553  0.6464  0.5394  0.4340  0.3302  0.2277  0.1261
  0.0251
  1.8163  1.8280  1.8352  1.8381  1.8374  1.8331  1.8251  1.8137  1.7994  1.7828
  1.7643  1.7437  1.7212  1.6973  1.6728  1.6021  1.5130  1.4100  1.3021  1.1938
  1.0846  0.9738  0.8626  0.7527  0.6449  0.5393  0.4355  0.3335  0.2330  0.1336
  0.0350
  1.7608  1.7763  1.7898  1.7983  1.8029  1.8035  1.7998  1.7922  1.7806  1.7655
  1.7476  1.7270  1.7040  1.6786  1.6517  1.5768  1.4916  1.3945  1.2902  1.1841
  1.0775  0.9698  0.8611  0.7526  0.6458  0.5412  0.4388  0.3385  0.2399  0.1428
  0.0449
  1.6861  1.7069  1.7249  1.7396  1.7505  1.7568  1.7587  1.7564  1.7497  1.7388
  1.7241  1.7059  1.6848  1.6607  1.6340  1.5580  1.4721  1.3795  1.2790  1.1750
  1.0700  0.9646  0.8586  0.7522  0.6465  0.5426  0.4410  0.3418  0.2448  0.1495
  0.0555
  1.5921  1.6198  1.6445  1.6635  1.6799  1.6922  1.7003  1.7042  1.7037  1.6987
  1.6894  1.6759  1.6587  1.6381  1.6197  1.5457  1.4545  1.3650  1.2685
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value = F150W
  1.8527  1.9123  1.9688  2.0187  2.0582  2.0858  2.1008  2.1031  2.0942  2.0762
  2.0508  2.0198  1.9849  1.9466  1.9041  1.7892  1.6633  1.5307  1.3961
  1.8118  1.8598  1.9111  1.9601  2.0023  2.0345  2.0549  2.0635  2.0608  2.0480
  2.0263  1.9971  1.9624  1.9239  1.8822  1.7679  1.6445  1.5157  1.3848  1.2541
  1.8060  1.8234  1.8578  1.9077  1.9471  1.9803  2.0050  2.0195  2.0235  2.0172
  2.0012  1.9761  1.9433  1.9050  1.8632  1.7493  1.6278  1.5021  1.3744  1.2468
  1.1203
  1.8235  1.8182  1.8308  1.8581  1.8928  1.9280  1.9579  1.9778  1.9856  1.9838
  1.9732  1.9536  1.9251  1.8886  1.8471  1.7334  1.6132  1.4899  1.3649  1.2399
  1.1161  0.9938
  1.8497  1.8473  1.8430  1.8475  1.8602  1.8779  1.8979  1.9178  1.9358  1.9476
  1.9435  1.9284  1.9048  1.8728  1.8328  1.7197  1.6002  1.4788  1.3563  1.2336
  1.1119  0.9918  0.8735  0.7566
  1.8710  1.8687  1.8624  1.8542  1.8469  1.8436  1.8449  1.8502  1.8594  1.8746
  1.8889  1.8900  1.8774  1.8531  1.8183  1.7076  1.5885  1.4683  1.3480  1.2277
  1.1079  0.9896  0.8731  0.7585  0.6456  0.5341  0.4241  0.3151  0.2076  0.1045
  1.8881  1.8863  1.8804  1.8711  1.8599  1.8486  1.8391  1.8324  1.8274  1.8234
  1.8220  1.8243  1.8238  1.8140  1.7928  1.6958  1.5778  1.4583  1.3396  1.2216
  1.1040  0.9872  0.8724  0.7595  0.6485  0.5392  0.4314  0.3252  0.2199  0.1158
  0.0156
  1.8980  1.8977  1.8931  1.8847  1.8734  1.8599  1.8452  1.8307  1.8169  1.8037
  1.7906  1.7781  1.7679  1.7588  1.7463  1.6767  1.5671  1.4487  1.3311  1.2151
  1.0997  0.9848  0.8714  0.7599  0.6505  0.5431  0.4372  0.3330  0.2303  0.1284
  0.0274
  1.8959  1.9002  1.8975  1.8908  1.8810  1.8681  1.8526  1.8351  1.8163  1.7968
