 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = F277W
  0.1601  0.1077  0.0689  0.0621  0.0849  0.1266  0.1855  0.2527  0.3085  0.3341
  0.3464  0.3319  0.2888  0.2394  0.1780  0.0100 -0.1584 -0.3274 -0.4908
  0.2453  0.2026  0.1586  0.1222  0.0977  0.0891  0.0990  0.1264  0.1663  0.2129
  0.2575  0.2842  0.2730  0.2252  0.1620 -0.0073 -0.1753 -0.3433 -0.5064 -0.6635
  0.2981  0.2648  0.2231  0.1764  0.1308  0.0953  0.0747  0.0725  0.0908  0.1301
  0.1784  0.2235  0.2388  0.2048  0.1456 -0.0221 -0.1895 -0.3562 -0.5189 -0.6749
 -0.8246
  0.3185  0.2943  0.2624  0.2247  0.1842  0.1452  0.1126  0.0910  0.0820  0.0857
  0.1091  0.1498  0.1862  0.1782  0.1288 -0.0344 -0.2010 -0.3661 -0.5283 -0.6837
 -0.8325 -0.9755
  0.3111  0.2961  0.2738  0.2459  0.2137  0.1800  0.1485  0.1237  0.1069  0.0975
  0.0928  0.0980  0.1241  0.1376  0.1066 -0.0456 -0.2106 -0.3738 -0.5350 -0.6904
 -0.8388 -0.9809 -1.1176 -1.2497
  0.2778  0.2727  0.2607  0.2429  0.2201  0.1935  0.1654  0.1394  0.1192  0.1053
  0.0947  0.0842  0.0817  0.0918  0.0733 -0.0582 -0.2196 -0.3803 -0.5396 -0.6949
 -0.8435 -0.9854 -1.1214 -1.2524 -1.3789 -1.5017 -1.6212 -1.7375 -1.8507 -1.9604
  0.2190  0.2239  0.2232  0.2168  0.2045  0.1869  0.1650  0.1411  0.1183  0.0998
  0.0852  0.0711  0.0543  0.0513  0.0369 -0.0771 -0.2295 -0.3868 -0.5430 -0.6972
 -0.8463 -0.9886 -1.1245 -1.2549 -1.3805 -1.5020 -1.6200 -1.7347 -1.8464 -1.9553
 -2.0614
  0.1378  0.1499  0.1595  0.1656  0.1656  0.1591  0.1461  0.1281  0.1073  0.0863
  0.0676  0.0504  0.0317  0.0142  0.0014 -0.1026 -0.2429 -0.3945 -0.5466 -0.6980
 -0.8467 -0.9899 -1.1265 -1.2569 -1.3821 -1.5029 -1.6197 -1.7331 -1.8432 -1.9507
 -2.0558
  0.0413  0.0564  0.0715  0.0880  0.1007  0.1073  0.1059  0.0970  0.0820  0.0632
  0.0432  0.0234  0.0034 -0.0178 -0.0343 -0.1301 -0.2614 -0.4062 -0.5538 -0.7013
 -0.8480 -0.9915 -1.1293 -1.2607 -1.3863 -1.5068 -1.6232 -1.7357 -1.8448 -1.9510
 -2.0546
 -0.0627 -0.0487 -0.0329 -0.0119  0.0104  0.0286  0.0407  0.0439  0.0386  0.0264
  0.0095 -0.0099 -0.0303 -0.0517 -0.0723 -0.1568 -0.2790 -0.4170 -0.5600 -0.7034
 -0.8464 -0.9882 -1.1264 -1.2590 -1.3856 -1.5066 -1.6230 -1.7350 -1.8434 -1.9485
 -2.0528
 -0.1725 -0.1606 -0.1451 -0.1255 -0.1015 -0.0748 -0.0517 -0.0357 -0.0285 -0.0301
 -0.0392 -0.0540 -0.0721 -0.0922 -0.1133 -0.1870 -0.2984 -0.4287 -0.5669 -0.7068
 -0.8463 -0.9850 -1.1219 -1.2550 -1.3829 -1.5051 -1.6221 -1.7344 -1.8427 -1.9473
 -2.0488
 -0.2882 -0.2793 -0.2619 -0.2468 -0.2238 -0.1963 -0.1675 -0.1410 -0.1218 -0.1109
 -0.1087 -0.1144 -0.1263 -0.1425 -0.1573 -0.2207 -0.3196 -0.4413 -0.5745
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value = F277W
  0.1661  0.1625  0.1657  0.1763  0.1955  0.2198  0.2449  0.2677  0.2879  0.3090
  0.3239  0.3192  0.2860  0.2309  0.1628 -0.0023 -0.1644 -0.3264 -0.4898
  0.1745  0.1546  0.1420  0.1367  0.1391  0.1498  0.1669  0.1853  0.2066  0.2339
  0.2621  0.2769  0.2598  0.2109  0.1479 -0.0194 -0.1824 -0.3429 -0.5046 -0.6615
  0.2353  0.2054  0.1749  0.1320  0.1092  0.0989  0.1016  0.1132  0.1312  0.1577
  0.1916  0.2230  0.2294  0.1938  0.1346 -0.0323 -0.1964 -0.3563 -0.5166 -0.6723
 -0.8221
  0.2989  0.2685  0.2297  0.1847  0.1402  0.1028  0.0778  0.0684  0.0730  0.0901
  0.1185  0.1551  0.1841  0.1727  0.1229 -0.0410 -0.2064 -0.3666 -0.5258 -0.6808
 -0.8295 -0.9726
  0.3220  0.3008  0.2700  0.2308  0.1879  0.1462  0.1097  0.0816  0.0645  0.0603
  0.0693  0.0915  0.1221  0.1384  0.1078 -0.0472 -0.2132 -0.3741 -0.5326 -0.6871
 -0.8355 -0.9777 -1.1145 -1.2468
  0.3196  0.3064  0.2841  0.2532  0.2163  0.1765  0.1387  0.1074  0.0846  0.0700
  0.0624  0.0614  0.0735  0.0897  0.0820 -0.0529 -0.2179 -0.3792 -0.5371 -0.6914
 -0.8398 -0.9818 -1.1180 -1.2492 -1.3760 -1.4991 -1.6189 -1.7354 -1.8487 -1.9583
  0.2980  0.2917  0.2772  0.2548  0.2261  0.1930  0.1580  0.1252  0.0983  0.0791
  0.0657  0.0549  0.0477  0.0515  0.0478 -0.0611 -0.2219 -0.3829 -0.5399 -0.6937
 -0.8424 -0.9848 -1.1208 -1.2514 -1.3773 -1.4991 -1.6174 -1.7324 -1.8443 -1.9532
 -2.0592
  0.2558  0.2581  0.2517  0.2379  0.2180  0.1930  0.1643  0.1341  0.1051  0.0807
  0.0621  0.0470  0.0315  0.0207  0.0144 -0.0784 -0.2270 -0.3861 -0.5419 -0.6942
 -0.8428 -0.9859 -1.1225 -1.2531 -1.3786 -1.4996 -1.6168 -1.7305 -1.8409 -1.9486
 -2.0537
  0.1927  0.2045  0.2065  0.2019  0.1911  0.1753  0.1548  0.1306  0.1042  0.0780
  0.0545  0.0342  0.0152 -0.0041 -0.0179 -0.1048 -0.2394 -0.3925 -0.5462 -0.6966
 -0.8440 -0.9875 -1.1252 -1.2567 -1.3824 -1.5032 -1.6199 -1.7328 -1.8423 -1.9487
 -2.0525
  0.1135  0.1300  0.1392  0.1435  0.1429  0.1375  0.1270  0.1114  0.0911  0.0677
  0.0432  0.0193 -0.0034 -0.0259 -0.0472 -0.1299 -0.2556 -0.3996 -0.5491 -0.6968
 -0.8418 -0.9841 -1.1223 -1.2550 -1.3816 -1.5028 -1.6194 -1.7318 -1.8405 -1.9460
 -2.0506
  0.0231  0.0392  0.0533  0.0639  0.0715  0.0762  0.0764  0.0714  0.0601  0.0434
  0.0225 -0.0009 -0.0251 -0.0495 -0.0742 -0.1543 -0.2731 -0.4098 -0.5539 -0.6983
 -0.8406 -0.9805 -1.1177 -1.2510 -1.3789 -1.5012 -1.6184 -1.7310 -1.8395 -1.9445
 -2.0463
 -0.0776 -0.0611 -0.0458 -0.0317 -0.0190 -0.0078  0.0015  0.0070  0.0065 -0.0006
 -0.0140 -0.0325 -0.0545 -0.0786 -0.0989 -0.1780 -0.2919 -0.4231 -0.5606
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value = F277W
  0.1818  0.1864  0.2005  0.2259  0.2666  0.3098  0.3408  0.3526  0.3562  0.3566
  0.3484  0.3219  0.2746  0.2143  0.1493 -0.0158 -0.1761 -0.3300 -0.4861
  0.1649  0.1617  0.1668  0.1817  0.2065  0.2388  0.2685  0.2784  0.2844  0.2912
  0.2953  0.2856  0.2510  0.1958  0.1318 -0.0339 -0.1945 -0.3477 -0.5019 -0.6577
  0.1719  0.1549  0.1468  0.1479  0.1586  0.1790  0.2020  0.2117  0.2173  0.2257
  0.2366  0.2421  0.2263  0.1819  0.1212 -0.0449 -0.2072 -0.3612 -0.5143 -0.6682
 -0.8178
  0.2331  0.2049  0.1667  0.1413  0.1288  0.1297  0.1416  0.1504  0.1544  0.1610
  0.1731  0.1875  0.1914  0.1658  0.1131 -0.0509 -0.2151 -0.3710 -0.5238 -0.6765
 -0.8249 -0.9681
  0.3010  0.2718  0.2329  0.1912  0.1531  0.1241  0.1084  0.1056  0.1044  0.1053
  0.1120  0.1257  0.1413  0.1392  0.1027 -0.0537 -0.2193 -0.3775 -0.5308 -0.6826
 -0.8304 -0.9728 -1.1098 -1.2424
  0.3250  0.3064  0.2786  0.2423  0.2009  0.1605  0.1265  0.1021  0.0863  0.0774
  0.0741  0.0768  0.0860  0.0961  0.0831 -0.0554 -0.2209 -0.3811 -0.5354 -0.6869
 -0.8344 -0.9764 -1.1128 -1.2443 -1.3715 -1.4950 -1.6152 -1.7322 -1.8456 -1.9549
  0.3229  0.3121  0.2935  0.2655  0.2294  0.1891  0.1497  0.1164  0.0916  0.0740
  0.0623  0.0556  0.0531  0.0535  0.0498 -0.0581 -0.2211 -0.3825 -0.5379 -0.6893
 -0.8368 -0.9788 -1.1150 -1.2460 -1.3723 -1.4945 -1.6133 -1.7288 -1.8410 -1.9499
 -2.0555
  0.3061  0.3007  0.2888  0.2686  0.2400  0.2049  0.1668  0.1299  0.0981  0.0741
  0.0570  0.0440  0.0338  0.0264  0.0178 -0.0659 -0.2212 -0.3827 -0.5387 -0.6900
 -0.8366 -0.9798 -1.1163 -1.2472 -1.3730 -1.4945 -1.6122 -1.7264 -1.8373 -1.9452
 -2.0502
  0.2761  0.2773  0.2718  0.2577  0.2360  0.2076  0.1745  0.1395  0.1053  0.0753
  0.0515  0.0331  0.0173  0.0027 -0.0109 -0.0866 -0.2251 -0.3847 -0.5409 -0.6919
