 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =F150W2
  1.7611  1.7975  1.8600  1.8879  1.8667  1.8452  1.8559  1.8806  1.8882  1.8714
  1.8404  1.7991  1.7553  1.7100  1.6615  1.5334  1.4001  1.2654  1.1334
  1.7564  1.7564  1.7708  1.7850  1.7985  1.8129  1.8257  1.8336  1.8338  1.8248
  1.8052  1.7740  1.7330  1.6865  1.6377  1.5114  1.3815  1.2495  1.1189  0.9905
  1.7515  1.7336  1.7211  1.7210  1.7391  1.7619  1.7767  1.7837  1.7852  1.7811
  1.7681  1.7445  1.7087  1.6639  1.6156  1.4908  1.3638  1.2348  1.1061  0.9799
  0.8569
  1.7464  1.7291  1.7109  1.6959  1.6885  1.6922  1.7089  1.7309  1.7424  1.7403
  1.7291  1.7106  1.6824  1.6422  1.5952  1.4716  1.3470  1.2213  1.0950  0.9708
  0.8497  0.7318
  1.7299  1.7184  1.7032  1.6868  1.6720  1.6621  1.6595  1.6640  1.6749  1.6855
  1.6848  1.6717  1.6504  1.6181  1.5753  1.4540  1.3310  1.2084  1.0851  0.9626
  0.8429  0.7266  0.6135  0.5032
  1.6978  1.6946  1.6862  1.6742  1.6602  1.6463  1.6352  1.6287  1.6260  1.6252
  1.6247  1.6194  1.6053  1.5830  1.5497  1.4373  1.3160  1.1958  1.0756  0.9553
  0.8368  0.7214  0.6095  0.5006  0.3946  0.2908  0.1890  0.0881 -0.0121 -0.1091
  1.6496  1.6549  1.6551  1.6505  1.6418  1.6300  1.6170  1.6052  1.5956  1.5876
  1.5791  1.5687  1.5550  1.5374  1.5122  1.4176  1.3017  1.1836  1.0663  0.9487
  0.8315  0.7168  0.6054  0.4974  0.3925  0.2904  0.1903  0.0922 -0.0052 -0.1024
 -0.1969
  1.5884  1.6005  1.6086  1.6124  1.6112  1.6052  1.5953  1.5833  1.5709  1.5589
  1.5471  1.5334  1.5164  1.4963  1.4733  1.3915  1.2860  1.1719  1.0572  0.9425
  0.8273  0.7132  0.6019  0.4942  0.3899  0.2886  0.1898  0.0933 -0.0016 -0.0957
 -0.1902
  1.5184  1.5350  1.5489  1.5599  1.5665  1.5680  1.5642  1.5558  1.5443  1.5314
  1.5178  1.5032  1.4861  1.4653  1.4414  1.3641  1.2670  1.1585  1.0467  0.9345
  0.8218  0.7089  0.5977  0.4895  0.3850  0.2838  0.1856  0.0900 -0.0034 -0.0954
 -0.1869
  1.4411  1.4606  1.4787  1.4949  1.5084  1.5172  1.5207  1.5186  1.5114  1.5006
  1.4875  1.4729  1.4568  1.4377  1.4152  1.3411  1.2496  1.1466  1.0382  0.9283
  0.8182  0.7076  0.5975  0.4892  0.3840  0.2825  0.1842  0.0889 -0.0037 -0.0943
 -0.1847
  1.3565  1.3793  1.4005  1.4203  1.4383  1.4533  1.4637  1.4688  1.4681  1.4622
  1.4523  1.4393  1.4245  1.4076  1.3879  1.3210  1.2330  1.1351  1.0302  0.9226
  0.8144  0.7060  0.5977  0.4902  0.3848  0.2825  0.1835  0.0879 -0.0047 -0.0948
 -0.1828
  1.2647  1.2911  1.3159  1.3376  1.3589  1.3780  1.3939  1.4057  1.4122  1.4130
  1.4087  1.3999  1.3877  1.3732  1.3595  1.3038  1.2172  1.1240  1.0227
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value =F150W2
  1.8342  1.8497  1.8668  1.8837  1.8976  1.9066  1.9090  1.9037  1.8902  1.8686
  1.8383  1.7997  1.7555  1.7081  1.6579  1.5314  1.4009  1.2682  1.1348
  1.7969  1.8046  1.8163  1.8300  1.8430  1.8531  1.8583  1.8574  1.8497  1.8344
  1.8103  1.7763  1.7340  1.6868  1.6376  1.5110  1.3822  1.2519  1.1214  0.9931
  1.7758  1.7636  1.7654  1.7825  1.7925  1.8013  1.8076  1.8096  1.8064  1.7969
  1.7796  1.7525  1.7148  1.6690  1.6200  1.4935  1.3659  1.2377  1.1096  0.9836
  0.8605
  1.7693  1.7435  1.7323  1.7335  1.7420  1.7531  1.7628  1.7677  1.7656  1.7584
  1.7455  1.7252  1.6948  1.6531  1.6051  1.4789  1.3520  1.2256  1.0994  0.9751
  0.8539  0.7358
  1.7718  1.7507  1.7283  1.7141  1.7081  1.7077  1.7109  1.7159  1.7213  1.7233
  1.7133  1.6956  1.6709  1.6364  1.5915  1.4665  1.3401  1.2150  1.0906  0.9676
  0.8477  0.7311  0.6176  0.5070
  1.7662  1.7491  1.7282  1.7057  1.6842  1.6668  1.6552  1.6503  1.6519  1.6601
  1.6663  1.6600  1.6425  1.6151  1.5768  1.4558  1.3298  1.2056  1.0829  0.9613
  0.8422  0.7264  0.6141  0.5049  0.3984  0.2942  0.1920  0.0908 -0.0095 -0.1064
  1.7468  1.7370  1.7214  1.7021  1.6810  1.6602  1.6415  1.6271  1.6168  1.6095
  1.6050  1.6025  1.5953  1.5793  1.5527  1.4452  1.3207  1.1973  1.0759  0.9560
  0.8377  0.7223  0.6105  0.5021  0.3968  0.2942  0.1937  0.0952 -0.0025 -0.0997
 -0.1942
  1.7126  1.7102  1.7020  1.6891  1.6726  1.6538  1.6342  1.6153  1.5985  1.5840
  1.5707  1.5574  1.5443  1.5303  1.5119  1.4284  1.3118  1.1897  1.0696  0.9512
  0.8342  0.7192  0.6075  0.4993  0.3946  0.2929  0.1936  0.0966  0.0014 -0.0931
 -0.1876
  1.6638  1.6697  1.6685  1.6627  1.6527  1.6392  1.6228  1.6046  1.5857  1.5672
  1.5494  1.5312  1.5119  1.4915  1.4706  1.3997  1.2977  1.1806  1.0619  0.9451
  0.8297  0.7155  0.6036  0.4950  0.3901  0.2885  0.1898  0.0937 -0.0002 -0.0925
 -0.1843
  1.6044  1.6160  1.6215  1.6225  1.6196  1.6127  1.6019  1.5877  1.5707  1.5519
  1.5322  1.5120  1.4906  1.4673  1.4424  1.3712  1.2796  1.1711  1.0560  0.9410
  0.8274  0.7149  0.6038  0.4950  0.3894  0.2874  0.1887  0.0930 -0.0001 -0.0912
 -0.1820
  1.5384  1.5530  1.5636  1.5703  1.5735  1.5732  1.5688  1.5604  1.5478  1.5318
  1.5132  1.4928  1.4711  1.4477  1.4221  1.3484  1.2607  1.1595  1.0494  0.9369
  0.8250  0.7142  0.6046  0.4963  0.3904  0.2877  0.1883  0.0922 -0.0008 -0.0914
 -0.1798
  1.4665  1.4835  1.4975  1.5086  1.5167  1.5217  1.5233  1.5209  1.5142  1.5030
  1.4879  1.4697  1.4492  1.4268  1.4097  1.3313  1.2410  1.1458  1.0421
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value =F150W2
  1.9025  1.9191  1.9359  1.9511  1.9617  1.9649  1.9581  1.9404  1.9140  1.8806
  1.8411  1.7968  1.7501  1.7021  1.6533  1.5283  1.4004  1.2703  1.1387
  1.8626  1.8757  1.8903  1.9046  1.9157  1.9206  1.9170  1.9035  1.8823  1.8543
  1.8197  1.7784  1.7325  1.6842  1.6348  1.5091  1.3821  1.2542  1.1257  0.9979
  1.8279  1.8354  1.8462  1.8579  1.8681  1.8742  1.8735  1.8645  1.8484  1.8260
  1.7972  1.7612  1.7182  1.6706  1.6211  1.4944  1.3674  1.2409  1.1145  0.9891
  0.8660
  1.8052  1.7988  1.8020  1.8129  1.8223  1.8282  1.8292  1.8240  1.8122  1.7947
  1.7716  1.7419  1.7044  1.6595  1.6106  1.4835  1.3561  1.2301  1.1052  0.9814
  0.8601  0.7417
  1.7972  1.7781  1.7670  1.7629  1.7653  1.7733  1.7834  1.7843  1.7767  1.7626
  1.7434  1.7188  1.6877  1.6484  1.6018  1.4752  1.3476  1.2217  1.0976  0.9750
  0.8548  0.7378  0.6239  0.5127
  1.8012  1.7798  1.7577  1.7376  1.7222  1.7124  1.7104  1.7166  1.7240  1.7250
  1.7146  1.6945  1.6675  1.6342  1.5927  1.4688  1.3410  1.2152  1.0915  0.9698
  0.8503  0.7340  0.6212  0.5114  0.4043  0.2995  0.1966  0.0949 -0.0054 -0.1020
  1.8021  1.7824  1.7597  1.7355  1.7120  1.6913  1.6751  1.6634  1.6560  1.6537
  1.6562  1.6539  1.6401  1.6148  1.5801  1.4632  1.3359  1.2101  1.0868  0.9657
  0.8468  0.7308  0.6184  0.5094  0.4035  0.3002  0.1990  0.0997  0.0017 -0.0955
 -0.1896
  1.7943  1.7795  1.7597  1.7365  1.7113  1.6861  1.6625  1.6421  1.6251  1.6108
  1.5990  1.5906  1.5845  1.5738  1.5531  1.4568  1.3316  1.2060  1.0830  0.9626
  0.8457  0.7285  0.6161  0.5073  0.4019  0.2995  0.1996  0.1020  0.0061 -0.0888
 -0.1833
  1.7720  1.7651  1.7516  1.7323  1.7094  1.6846  1.6591  1.6344  1.6115  1.5906
  1.5715  1.5532  1.5360  1.5207  1.5054  1.4375  1.3254  1.2009  1.0783  0.9585
  0.8410  0.7256  0.6129  0.5037  0.3980  0.2958  0.1964  0.0996  0.0050 -0.0880
 -0.1800
  1.7358  1.7362  1.7308  1.7176  1.6998  1.6786  1.6552  1.6306  1.6057  1.5812
  1.5576  1.5344  1.5114  1.4881  1.4655  1.4050  1.3135  1.1972  1.0759  0.9569
  0.8404  0.7260  0.6137  0.5041  0.3979  0.2953  0.1959  0.0995  0.0057 -0.0861
 -0.1775
  1.6884  1.6949  1.6952  1.6897  1.6783  1.6626  1.6437  1.6223  1.5991  1.5746
  1.5493  1.5235  1.4973  1.4705  1.4431  1.3735  1.2922  1.1890  1.0729  0.9554
  0.8400  0.7267  0.6153  0.5060  0.3994  0.2960  0.1960  0.0993  0.0055 -0.0858
 -0.1749
  1.6321  1.6436  1.6492  1.6493  1.6442  1.6347  1.6214  1.6049  1.5856  1.5638
  1.5399  1.5142  1.4871  1.4589  1.4382  1.3430  1.2615  1.1763  1.0693
 [Fe/H] = -1.00 [alpha/Fe] = 0.40 BC value =F150W2
