 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = F430M
  3.3891  3.2986  3.2179  3.1627  3.1342  3.1182  3.0983  3.0667  3.0210  2.9594
  2.8928  2.8197  2.7462  2.6738  2.5994  2.4150  2.2373  2.0687  1.9096
  3.4230  3.3369  3.2544  3.1816  3.1195  3.0675  3.0234  2.9836  2.9436  2.9002
  2.8502  2.7904  2.7215  2.6482  2.5738  2.3902  2.2140  2.0467  1.8846  1.7265
  3.4412  3.3597  3.2784  3.1986  3.1213  3.0510  2.9908  2.9399  2.8956  2.8551
  2.8114  2.7603  2.6980  2.6272  2.5538  2.3713  2.1959  2.0291  1.8656  1.7071
  1.5557
  3.4437  3.3670  3.2899  3.2137  3.1396  3.0687  3.0005  2.9356  2.8770  2.8241
  2.7764  2.7294  2.6757  2.6108  2.5394  2.3583  2.1830  2.0159  1.8527  1.6946
  1.5434  1.3990
  3.4297  3.3596  3.2881  3.2161  3.1447  3.0751  3.0086  2.9452  2.8826  2.8205
  2.7604  2.7039  2.6514  2.5937  2.5272  2.3495  2.1746  2.0068  1.8435  1.6854
  1.5343  1.3902  1.2523  1.1198
  3.3963  3.3349  3.2713  3.2057  3.1389  3.0719  3.0059  2.9423  2.8808  2.8201
  2.7582  2.6951  2.6344  2.5764  2.5137  2.3429  2.1697  2.0018  1.8379  1.6791
  1.5277  1.3835  1.2458  1.1138  0.9869  0.8644  0.7456  0.6303  0.5182  0.4087
  3.3422  3.2904  3.2365  3.1799  3.1203  3.0585  2.9954  2.9326  2.8707  2.8103
  2.7501  2.6887  2.6255  2.5647  2.5025  2.3363  2.1666  1.9999  1.8361  1.6760
  1.5234  1.3786  1.2408  1.1089  0.9824  0.8606  0.7428  0.6287  0.5180  0.4102
  0.3043
  3.2710  3.2260  3.1818  3.1357  3.0857  3.0318  2.9747  2.9155  2.8553  2.7953
  2.7357  2.6760  2.6151  2.5537  2.4932  2.3303  2.1641  1.9998  1.8374  1.6767
  1.5221  1.3759  1.2373  1.1052  0.9787  0.8572  0.7401  0.6268  0.5171  0.4106
  0.3065
  3.1903  3.1472  3.1084  3.0715  3.0319  2.9881  2.9394  2.8868  2.8311  2.7737
  2.7155  2.6570  2.5980  2.5384  2.4796  2.3224  2.1599  1.9980  1.8379  1.6783
  1.5218  1.3731  1.2329  1.0999  0.9730  0.8514  0.7345  0.6216  0.5125  0.4067
  0.3038
  3.1095  3.0640  3.0252  2.9923  2.9613  2.9273  2.8888  2.8451  2.7969  2.7450
  2.6905  2.6346  2.5778  2.5204  2.4630  2.3136  2.1570  1.9984  1.8411  1.6842
  1.5283  1.3774  1.2346  1.0999  0.9721  0.8500  0.7329  0.6203  0.5116  0.4065
  0.3023
  3.0307  2.9812  2.9399  2.9052  2.8761  2.8496  2.8203  2.7865  2.7477  2.7040
  2.6562  2.6051  2.5519  2.4974  2.4422  2.3000  2.1508  1.9973  1.8431  1.6894
  1.5360  1.3851  1.2400  1.1026  0.9729  0.8496  0.7318  0.6189  0.5104  0.4055
  0.3040
  2.9538  2.8988  2.8560  2.8166  2.7855  2.7599  2.7362  2.7110  2.6815  2.6474
  2.6085  2.5650  2.5178  2.4679  2.4172  2.2816  2.1413  1.9947  1.8439
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value = F430M
  3.4102  3.3512  3.2972  3.2467  3.1973  3.1468  3.0934  3.0369  2.9805  2.9243
  2.8662  2.8041  2.7372  2.6663  2.5892  2.4085  2.2334  2.0654  1.9061
  3.3907  3.3190  3.2550  3.1971  3.1434  3.0917  3.0399  2.9873  2.9352  2.8837
  2.8305  2.7723  2.7070  2.6361  2.5633  2.3825  2.2083  2.0421  1.8833  1.7264
  3.4126  3.3325  3.2570  3.1763  3.1108  3.0529  2.9998  2.9489  2.8993  2.8507
  2.8015  2.7481  2.6867  2.6172  2.5443  2.3633  2.1892  2.0238  1.8653  1.7092
  1.5584
  3.4428  3.3606  3.2787  3.1975  3.1195  3.0468  2.9814  2.9238  2.8714  2.8223
  2.7744  2.7251  2.6697  2.6041  2.5322  2.3509  2.1761  2.0105  1.8521  1.6967
  1.5462  1.4019
  3.4519  3.3741  3.2953  3.2171  3.1407  3.0668  2.9961  2.9291  2.8661  2.8077
  2.7542  2.7032  2.6512  2.5925  2.5239  2.3434  2.1679  2.0015  1.8426  1.6876
  1.5374  1.3933  1.2554  1.1228
  3.4469  3.3742  3.2999  3.2248  3.1500  3.0770  3.0073  2.9418  2.8786  2.8152
  2.7522  2.6916  2.6351  2.5786  2.5159  2.3391  2.1635  1.9961  1.8364  1.6813
  1.5311  1.3869  1.2491  1.1170  0.9898  0.8670  0.7478  0.6322  0.5201  0.4108
  3.4264  3.3602  3.2919  3.2220  3.1511  3.0804  3.0110  2.9443  2.8806  2.8192
  2.7575  2.6937  2.6297  2.5687  2.5070  2.3365  2.1619  1.9940  1.8334  1.6777
  1.5269  1.3824  1.2444  1.1124  0.9856  0.8636  0.7454  0.6309  0.5200  0.4122
  0.3064
  3.3867  3.3291  3.2686  3.2058  3.1411  3.0750  3.0083  2.9422  2.8775  2.8149
  2.7538  2.6923  2.6289  2.5651  2.5020  2.3340  2.1618  1.9943  1.8334  1.6772
  1.5253  1.3798  1.2412  1.1089  0.9823  0.8605  0.7430  0.6294  0.5194  0.4126
  0.3086
  3.3269  3.2785  3.2267  3.1725  3.1156  3.0563  2.9950  2.9323  2.8690  2.8061
  2.7442  2.6830  2.6215  2.5588  2.4963  2.3305  2.1606  1.9939  1.8332  1.6771
  1.5242  1.3769  1.2370  1.1039  0.9769  0.8551  0.7378  0.6246  0.5150  0.4090
  0.3059
  3.2551  3.2111  3.1670  3.1215  3.0737  3.0230  2.9694  2.9129  2.8540  2.7935
  2.7326  2.6716  2.6109  2.5499  2.4887  2.3287  2.1619  1.9970  1.8371  1.6819
  1.5293  1.3805  1.2386  1.1041  0.9762  0.8539  0.7365  0.6236  0.5146  0.4090
  0.3045
  3.1800  3.1334  3.0927  3.0537  3.0139  2.9721  2.9273  2.8791  2.8272  2.7721
  2.7146  2.6557  2.5963  2.5366  2.4768  2.3233  2.1618  1.9997  1.8410  1.6872
  1.5361  1.3873  1.2434  1.1066  0.9770  0.8537  0.7357  0.6225  0.5136  0.4083
  0.3065
  3.1032  3.0543  3.0117  2.9744  2.9396  2.9048  2.8680  2.8285  2.7852  2.7378
  2.6866  2.6324  2.5761  2.5186  2.4606  2.3143  2.1603  2.0020  1.8449
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value = F430M
  3.4362  3.3792  3.3257  3.2744  3.2215  3.1644  3.1013  3.0326  2.9648  2.8996
  2.8370  2.7764  2.7154  2.6509  2.5826  2.4062  2.2324  2.0653  1.9058
  3.4019  3.3399  3.2825  3.2284  3.1755  3.1203  3.0595  2.9946  2.9301  2.8677
  2.8076  2.7486  2.6877  2.6221  2.5527  2.3754  2.2031  2.0379  1.8806  1.7284
  3.3900  3.3191  3.2555  3.1972  3.1422  3.0879  3.0305  2.9691  2.9073  2.8470
  2.7886  2.7307  2.6707  2.6051  2.5351  2.3567  2.1836  2.0188  1.8623  1.7107
  1.5618
  3.4154  3.3363  3.2548  3.1829  3.1196  3.0620  3.0060  2.9478  2.8884  2.8299
  2.7728  2.7163  2.6581  2.5942  2.5246  2.3453  2.1711  2.0057  1.8492  1.6980
  1.5499  1.4061
  3.4491  3.3673  3.2856  3.2057  3.1294  3.0580  2.9925  2.9321  2.8730  2.8148
  2.7580  2.7023  2.6461  2.5856  2.5179  2.3387  2.1635  1.9972  1.8399  1.6888
  1.5412  1.3979  1.2599  1.1271
  3.4610  3.3836  3.3052  3.2268  3.1499  3.0766  3.0063  2.9381  2.8722  2.8090
