 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = F444W
 -4.3414 -4.4325 -4.5133 -4.5701 -4.6029 -4.6261 -4.6550 -4.6956 -4.7501 -4.8184
 -4.8895 -4.9635 -5.0369 -5.1084 -5.1812 -5.3600 -5.5286 -5.6911 -5.8457
 -4.3130 -4.4007 -4.4844 -4.5586 -4.6231 -4.6789 -4.7282 -4.7745 -4.8218 -4.8723
 -4.9279 -4.9903 -5.0591 -5.1315 -5.2046 -5.3834 -5.5523 -5.7129 -5.8710 -6.0277
 -4.2988 -4.3825 -4.4657 -4.5471 -4.6260 -4.6984 -4.7616 -4.8169 -4.8667 -4.9134
 -4.9626 -5.0172 -5.0799 -5.1498 -5.2221 -5.4006 -5.5703 -5.7305 -5.8903 -6.0483
 -6.1997
 -4.2988 -4.3779 -4.4572 -4.5356 -4.6116 -4.6846 -4.7552 -4.8228 -4.8848 -4.9417
 -4.9936 -5.0442 -5.0993 -5.1633 -5.2337 -5.4116 -5.5826 -5.7439 -5.9036 -6.0610
 -6.2121 -6.3565
 -4.3149 -4.3872 -4.4610 -4.5352 -4.6086 -4.6800 -4.7486 -4.8144 -4.8795 -4.9443
 -5.0070 -5.0659 -5.1202 -5.1776 -5.2431 -5.4183 -5.5901 -5.7533 -5.9132 -6.0703
 -6.2213 -6.3654 -6.5033 -6.6357
 -4.3501 -4.4134 -4.4792 -4.5468 -4.6155 -4.6842 -4.7517 -4.8171 -4.8804 -4.9431
 -5.0068 -5.0716 -5.1336 -5.1916 -5.2537 -5.4229 -5.5941 -5.7586 -5.9192 -6.0767
 -6.2279 -6.3722 -6.5099 -6.6419 -6.7687 -6.8910 -7.0096 -7.1248 -7.2367 -7.3460
 -4.4061 -4.4593 -4.5149 -4.5734 -4.6347 -4.6980 -4.7624 -4.8264 -4.8894 -4.9512
 -5.0126 -5.0752 -5.1393 -5.2001 -5.2616 -5.4273 -5.5960 -5.7605 -5.9215 -6.0800
 -6.2323 -6.3771 -6.5150 -6.6469 -6.7733 -6.8950 -7.0127 -7.1266 -7.2371 -7.3448
 -7.4505
 -4.4787 -4.5246 -4.5703 -4.6180 -4.6695 -4.7247 -4.7830 -4.8430 -4.9039 -4.9647
 -5.0251 -5.0855 -5.1470 -5.2087 -5.2682 -5.4311 -5.5972 -5.7603 -5.9204 -6.0795
 -6.2338 -6.3800 -6.5186 -6.6507 -6.7772 -6.8986 -7.0156 -7.1287 -7.2382 -7.3445
 -7.4484
 -4.5604 -4.6041 -4.6441 -4.6822 -4.7230 -4.7680 -4.8177 -4.8710 -4.9272 -4.9851
 -5.0437 -5.1026 -5.1619 -5.2217 -5.2798 -5.4369 -5.5998 -5.7613 -5.9198 -6.0782
 -6.2343 -6.3830 -6.5231 -6.6562 -6.7831 -6.9047 -7.0216 -7.1343 -7.2433 -7.3488
 -7.4514
 -4.6417 -4.6877 -4.7272 -4.7611 -4.7931 -4.8281 -4.8673 -4.9116 -4.9603 -5.0125
 -5.0671 -5.1232 -5.1802 -5.2377 -5.2948 -5.4440 -5.6012 -5.7597 -5.9162 -6.0721
 -6.2279 -6.3789 -6.5216 -6.6563 -6.7842 -6.9064 -7.0235 -7.1361 -7.2447 -7.3497
 -7.4535
 -4.7206 -4.7704 -4.8123 -4.8477 -4.8776 -4.9048 -4.9347 -4.9689 -5.0081 -5.0520
 -5.1000 -5.1511 -5.2044 -5.2589 -5.3140 -5.4560 -5.6058 -5.7596 -5.9135 -6.0667
 -6.2201 -6.3713 -6.5165 -6.6539 -6.7837 -6.9070 -7.0249 -7.1379 -7.2465 -7.3513
 -7.4527
 -4.7970 -4.8522 -4.8957 -4.9357 -4.9674 -4.9935 -5.0177 -5.0432 -5.0728 -5.1071
 -5.1461 -5.1897 -5.2369 -5.2868 -5.3374 -5.4729 -5.6136 -5.7610 -5.9117
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value = F444W
 -4.3163 -4.3775 -4.4338 -4.4869 -4.5397 -4.5943 -4.6526 -4.7151 -4.7794 -4.8441
 -4.9099 -4.9779 -5.0480 -5.1199 -5.1974 -5.3742 -5.5394 -5.6989 -5.8508
 -4.3397 -4.4133 -4.4791 -4.5391 -4.5955 -4.6506 -4.7068 -4.7650 -4.8242 -4.8836
 -4.9444 -5.0085 -5.0768 -5.1484 -5.2207 -5.3978 -5.5643 -5.7226 -5.8744 -6.0289
 -4.3226 -4.4046 -4.4817 -4.5630 -4.6301 -4.6908 -4.7475 -4.8031 -4.8588 -4.9143
 -4.9705 -5.0297 -5.0942 -5.1643 -5.2367 -5.4143 -5.5826 -5.7410 -5.8931 -6.0466
 -6.1966
 -4.2964 -4.3808 -4.4643 -4.5466 -4.6258 -4.7000 -4.7678 -4.8288 -4.8858 -4.9405
 -4.9942 -5.0490 -5.1078 -5.1740 -5.2454 -5.4237 -5.5943 -5.7541 -5.9069 -6.0595
 -6.2094 -6.3536
 -4.2893 -4.3696 -4.4504 -4.5303 -4.6083 -4.6839 -4.7566 -4.8262 -4.8922 -4.9543
 -5.0120 -5.0672 -5.1226 -5.1825 -5.2506 -5.4284 -5.6008 -5.7628 -5.9169 -6.0689
 -6.2183 -6.3623 -6.5002 -6.6327
 -4.2958 -4.3709 -4.4474 -4.5245 -4.6011 -4.6759 -4.7475 -4.8154 -4.8812 -4.9472
 -5.0130 -5.0763 -5.1353 -5.1933 -5.2557 -5.4300 -5.6035 -5.7677 -5.9234 -6.0756
 -6.2248 -6.3688 -6.5065 -6.6387 -6.7657 -6.8884 -7.0075 -7.1229 -7.2348 -7.3439
 -4.3180 -4.3862 -4.4565 -4.5285 -4.6012 -4.6737 -4.7449 -4.8134 -4.8791 -4.9428
 -5.0066 -5.0722 -5.1377 -5.1997 -5.2616 -5.4304 -5.6035 -5.7692 -5.9267 -6.0795
 -6.2291 -6.3734 -6.5113 -6.6434 -6.7701 -6.8920 -7.0100 -7.1243 -7.2351 -7.3427
 -7.4484
 -4.3597 -4.4188 -4.4810 -4.5456 -4.6122 -4.6801 -4.7483 -4.8159 -4.8820 -4.9461
 -5.0087 -5.0715 -5.1360 -5.2005 -5.2634 -5.4308 -5.6021 -5.7682 -5.9268 -6.0805
