 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = F140M
  1.1657  1.1853  1.2149  1.2808  1.3707  1.4464  1.5007  1.5439  1.5710  1.5753
  1.5707  1.5608  1.5470  1.5274  1.5012  1.4155  1.3103  1.1974  1.0821
  1.2455  1.2695  1.2932  1.3264  1.3660  1.4096  1.4532  1.4913  1.5192  1.5354
  1.5397  1.5329  1.5176  1.4960  1.4694  1.3861  1.2858  1.1764  1.0636  0.9490
  1.3092  1.3340  1.3532  1.3687  1.3821  1.4037  1.4318  1.4594  1.4836  1.5024
  1.5105  1.5068  1.4924  1.4701  1.4430  1.3608  1.2640  1.1579  1.0477  0.9365
  0.8249
  1.3568  1.3788  1.3949  1.4077  1.4190  1.4287  1.4365  1.4482  1.4642  1.4763
  1.4831  1.4825  1.4714  1.4497  1.4220  1.3396  1.2449  1.1419  1.0343  0.9256
  0.8169  0.7084
  1.4011  1.4188  1.4312  1.4394  1.4453  1.4497  1.4528  1.4538  1.4532  1.4550
  1.4578  1.4565  1.4498  1.4324  1.4053  1.3222  1.2285  1.1279  1.0226  0.9157
  0.8092  0.7032  0.5976  0.4923
  1.4498  1.4607  1.4680  1.4719  1.4726  1.4708  1.4672  1.4621  1.4548  1.4455
  1.4363  1.4287  1.4208  1.4091  1.3880  1.3080  1.2147  1.1157  1.0125  0.9072
  0.8019  0.6975  0.5941  0.4914  0.3892  0.2873  0.1856  0.0834 -0.0189 -0.1180
  1.5015  1.5051  1.5064  1.5055  1.5019  1.4952  1.4858  1.4743  1.4608  1.4455
  1.4287  1.4117  1.3955  1.3812  1.3631  1.2935  1.2028  1.1051  1.0037  0.9000
  0.7956  0.6920  0.5898  0.4889  0.3890  0.2899  0.1911  0.0927 -0.0063 -0.1057
 -0.2023
  1.5462  1.5455  1.5421  1.5368  1.5296  1.5195  1.5065  1.4906  1.4721  1.4516
  1.4295  1.4066  1.3836  1.3617  1.3406  1.2750  1.1907  1.0955  0.9959  0.8940
  0.7907  0.6876  0.5858  0.4857  0.3873  0.2901  0.1938  0.0981  0.0027 -0.0932
 -0.1899
  1.5723  1.5712  1.5667  1.5594  1.5501  1.5384  1.5238  1.5059  1.4848  1.4610
