 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = F356W
  3.1848  3.0964  3.0215  2.9757  2.9589  2.9571  2.9566  2.9503  2.9304  2.8910
  2.8404  2.7749  2.7031  2.6331  2.5599  2.3749  2.1933  2.0190  1.8526
  3.2201  3.1354  3.0559  2.9883  2.9340  2.8932  2.8644  2.8436  2.8256  2.8059
  2.7790  2.7379  2.6792  2.6094  2.5361  2.3523  2.1724  1.9991  1.8335  1.6751
  3.2409  3.1604  3.0807  3.0037  2.9314  2.8693  2.8207  2.7846  2.7591  2.7410
  2.7221  2.6951  2.6501  2.5865  2.5155  2.3340  2.1558  1.9834  1.8182  1.6605
  1.5098
  3.2472  3.1714  3.0959  3.0219  2.9511  2.8854  2.8255  2.7733  2.7309  2.6963
  2.6697  2.6465  2.6158  2.5644  2.4981  2.3200  2.1435  1.9719  1.8068  1.6493
  1.4992  1.3554
  3.2385  3.1691  3.0990  3.0291  2.9604  2.8949  2.8344  2.7800  2.7304  2.6849
  2.6433  2.6062  2.5756  2.5369  2.4800  2.3088  2.1345  1.9640  1.7987  1.6410
  1.4911  1.3478  1.2105  1.0783
  3.2116  3.1508  3.0883  3.0246  2.9604  2.8968  2.8355  2.7785  2.7267  2.6789
  2.6326  2.5864  2.5437  2.5052  2.4561  2.2980  2.1276  1.9591  1.7941  1.6355
  1.4850  1.3418  1.2049  1.0735  0.9469  0.8244  0.7054  0.5896  0.4769  0.3671
  3.1641  3.1133  3.0605  3.0053  2.9481  2.8894  2.8303  2.7727  2.7180  2.6670
  2.6189  2.5713  2.5225  2.4785  2.4310  2.2842  2.1209  1.9560  1.7925  1.6331
  1.4812  1.3373  1.2004  1.0693  0.9434  0.8220  0.7043  0.5901  0.4791  0.3708
  0.2648
  3.0976  3.0554  3.0127  2.9679  2.9199  2.8688  2.8153  2.7606  2.7061  2.6530
  2.6023  2.5532  2.5041  2.4552  2.4085  2.2676  2.1124  1.9527  1.7926  1.6339
  1.4805  1.3349  1.1971  1.0658  0.9401  0.8192  0.7026  0.5896  0.4801  0.3734
  0.2690
  3.0181  2.9804  2.9451  2.9101  2.8723  2.8308  2.7853  2.7367  2.6859  2.6341
  2.5827  2.5322  2.4822  2.4324  2.3849  2.2494  2.1005  1.9459  1.7902  1.6343
  1.4805  1.3328  1.1931  1.0607  0.9345  0.8136  0.6972  0.5849  0.4763  0.3709
  0.2681
  2.9351  2.8972  2.8646  2.8355  2.8068  2.7748  2.7389  2.6987  2.6547  2.6078
  2.5590  2.5093  2.4595  2.4097  2.3608  2.2314  2.0895  1.9405  1.7891  1.6373
  1.4858  1.3374  1.1955  1.0611  0.9337  0.8122  0.6956  0.5835  0.4754  0.3708
  0.2674
  2.8507  2.8111  2.7781  2.7499  2.7250  2.7010  2.6739  2.6429  2.6076  2.5681
  2.5252  2.4795  2.4322  2.3839  2.3353  2.2104  2.0756  1.9333  1.7866  1.6388
  1.4909  1.3442  1.2013  1.0646  0.9350  0.8120  0.6946  0.5821  0.4739  0.3695
  0.2686
  2.7649  2.7221  2.6903  2.6594  2.6348  2.6133  2.5923  2.5694  2.5427  2.5121
  2.4773  2.4384  2.3964  2.3520  2.3084  2.1864  2.0588  1.9243  1.7827
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value = F356W
  3.2135  3.1609  3.1161  3.0782  3.0449  3.0134  2.9815  2.9479  2.9133  2.8756
  2.8301  2.7729  2.7055  2.6332  2.5566  2.3753  2.1960  2.0216  1.8547
  3.1896  3.1213  3.0631  3.0141  2.9727  2.9370  2.9043  2.8733  2.8441  2.8148
  2.7806  2.7350  2.6745  2.6046  2.5319  2.3507  2.1733  2.0011  1.8356  1.6774
