 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  r   
 -5.0876 -4.7308 -4.4634 -4.1689 -3.8494 -3.5901 -3.4390 -3.3536 -3.2698 -3.1648
 -3.0480 -2.9233 -2.8002 -2.6874 -2.5812 -2.3530 -2.1817 -2.0637 -1.9768
 -4.7133 -4.3008 -3.9914 -3.7391 -3.5349 -3.3752 -3.2513 -3.1518 -3.0652 -2.9834
 -2.9002 -2.8104 -2.7119 -2.6110 -2.5158 -2.3156 -2.1678 -2.0659 -1.9954 -1.9502
 -4.4662 -4.0325 -3.7024 -3.4643 -3.3047 -3.1878 -3.0856 -2.9946 -2.9163 -2.8481
 -2.7829 -2.7153 -2.6381 -2.5516 -2.4669 -2.2887 -2.1586 -2.0695 -2.0106 -1.9711
 -1.9441
 -4.3463 -3.9259 -3.5964 -3.3445 -3.1588 -3.0279 -2.9419 -2.8820 -2.8231 -2.7589
 -2.6961 -2.6380 -2.5788 -2.5092 -2.4345 -2.2723 -2.1541 -2.0745 -2.0223 -1.9867
 -1.9617 -1.9441
 -4.2652 -3.8708 -3.5564 -3.3087 -3.1157 -2.9693 -2.8623 -2.7855 -2.7308 -2.6859
 -2.6359 -2.5802 -2.5275 -2.4722 -2.4092 -2.2614 -2.1513 -2.0782 -2.0322 -2.0010
 -1.9786 -1.9624 -1.9509 -1.9434
 -4.1755 -3.8172 -3.5279 -3.2949 -3.1065 -2.9547 -2.8351 -2.7441 -2.6751 -2.6205
 -2.5739 -2.5283 -2.4808 -2.4347 -2.3826 -2.2513 -2.1478 -2.0786 -2.0377 -2.0120
 -1.9935 -1.9799 -1.9700 -1.9633 -1.9592 -1.9579 -1.9600 -1.9694 -1.9883 -2.0119
 -4.0607 -3.7432 -3.4850 -3.2743 -3.0995 -2.9524 -2.8288 -2.7273 -2.6473 -2.5838
 -2.5306 -2.4826 -2.4367 -2.3949 -2.3518 -2.2377 -2.1419 -2.0752 -2.0373 -2.0170
 -2.0042 -1.9947 -1.9879 -1.9832 -1.9802 -1.9789 -1.9802 -1.9843 -1.9961 -2.0184
 -2.0462
 -3.9253 -3.6476 -3.4210 -3.2351 -3.0791 -2.9442 -2.8252 -2.7208 -2.6323 -2.5604
 -2.5017 -2.4509 -2.4043 -2.3605 -2.3210 -2.2196 -2.1327 -2.0686 -2.0315 -2.0148
 -2.0079 -2.0043 -2.0021 -2.0010 -2.0006 -2.0011 -2.0027 -2.0064 -2.0134 -2.0268
 -2.0523
 -3.7726 -3.5341 -3.3372 -3.1749 -3.0384 -2.9189 -2.8107 -2.7113 -2.6215 -2.5434
 -2.4784 -2.4244 -2.3772 -2.3335 -2.2941 -2.1996 -2.1198 -2.0595 -2.0223 -2.0066
 -2.0040 -2.0066 -2.0105 -2.0145 -2.0184 -2.0220 -2.0259 -2.0303 -2.0363 -2.0457
 -2.0617
 -3.6181 -3.4171 -3.2458 -3.1032 -2.9836 -2.8791 -2.7836 -2.6937 -2.6088 -2.5302
 -2.4607 -2.4020 -2.3528 -2.3099 -2.2711 -2.1823 -2.1068 -2.0499 -2.0128 -1.9958
 -1.9941 -2.0009 -2.0109 -2.0212 -2.0307 -2.0391 -2.0468 -2.0541 -2.0615 -2.0700
 -2.0796
 -3.4658 -3.2988 -3.1513 -3.0251 -2.9182 -2.8260 -2.7424 -2.6632 -2.5868 -2.5133
 -2.4442 -2.3823 -2.3294 -2.2853 -2.2474 -2.1654 -2.0939 -2.0396 -2.0035 -1.9852
 -1.9822 -1.9899 -2.0037 -2.0198 -2.0355 -2.0499 -2.0630 -2.0746 -2.0853 -2.0957
 -2.1070
 -3.3157 -3.1792 -3.0576 -2.9462 -2.8495 -2.7656 -2.6908 -2.6212 -2.5539 -2.4881
 -2.4241 -2.3635 -2.3085 -2.2614 -2.2230 -2.1489 -2.0811 -2.0286 -1.9944
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value =  r   
 -6.1717 -5.6198 -5.1373 -4.7240 -4.3756 -4.0757 -3.8077 -3.5620 -3.3465 -3.1680
 -3.0166 -2.8823 -2.7590 -2.6467 -2.5345 -2.3256 -2.1678 -2.0551 -1.9791
 -5.8313 -5.2810 -4.7948 -4.3814 -4.0397 -3.7602 -3.5291 -3.3273 -3.1558 -3.0135
 -2.8925 -2.7830 -2.6783 -2.5787 -2.4872 -2.2973 -2.1564 -2.0566 -1.9897 -1.9457
 -5.4217 -4.8813 -4.4328 -4.1225 -3.8180 -3.5616 -3.3494 -3.1724 -3.0251 -2.9039
 -2.8024 -2.7122 -2.6247 -2.5367 -2.4531 -2.2786 -2.1503 -2.0601 -2.0002 -1.9604
 -1.9330
 -5.0962 -4.5622 -4.1416 -3.8200 -3.5729 -3.3769 -3.2126 -3.0660 -2.9355 -2.8244
 -2.7325 -2.6547 -2.5828 -2.5080 -2.4322 -2.2695 -2.1495 -2.0656 -2.0106 -1.9746
 -1.9499 -1.9327
 -4.9704 -4.4319 -3.9964 -3.6596 -3.4036 -3.2095 -3.0615 -2.9460 -2.8520 -2.7681
 -2.6842 -2.6092 -2.5440 -2.4824 -2.4162 -2.2643 -2.1503 -2.0708 -2.0197 -1.9874
 -1.9655 -1.9500 -1.9392 -1.9325
 -4.9172 -4.3811 -3.9450 -3.5997 -3.3297 -3.1201 -2.9596 -2.8388 -2.7494 -2.6846
 -2.6297 -2.5712 -2.5118 -2.4552 -2.3986 -2.2590 -2.1501 -2.0737 -2.0255 -1.9971
 -1.9790 -1.9663 -1.9573 -1.9514 -1.9483 -1.9482 -1.9515 -1.9620 -1.9815 -2.0050
 -4.8643 -4.3530 -3.9285 -3.5884 -3.3193 -3.1068 -2.9389 -2.8074 -2.7061 -2.6279
 -2.5665 -2.5167 -2.4699 -2.4232 -2.3755 -2.2509 -2.1472 -2.0732 -2.0269 -2.0020
 -1.9886 -1.9800 -1.9741 -1.9703 -1.9684 -1.9683 -1.9708 -1.9762 -1.9889 -2.0115
 -2.0394
 -4.7852 -4.3082 -3.9088 -3.5841 -3.3233 -3.1142 -2.9447 -2.8066 -2.6953 -2.6069
 -2.5359 -2.4774 -2.4275 -2.3834 -2.3431 -2.2361 -2.1407 -2.0692 -2.0238 -2.0009
 -1.9921 -1.9888 -1.9875 -1.9873 -1.9880 -1.9895 -1.9924 -1.9973 -2.0055 -2.0199
 -2.0458
 -4.6634 -4.2283 -3.8632 -3.5618 -3.3174 -3.1184 -2.9541 -2.8160 -2.6994 -2.6021
 -2.5222 -2.4566 -2.4011 -2.3525 -2.3104 -2.2141 -2.1282 -2.0612 -2.0167 -1.9944
 -1.9887 -1.9909 -1.9954 -2.0002 -2.0050 -2.0097 -2.0147 -2.0205 -2.0278 -2.0382
 -2.0551
 -4.5074 -4.1309 -3.8034 -3.5278 -3.3011 -3.1149 -2.9591 -2.8259 -2.7098 -2.6085
 -2.5213 -2.4480 -2.3867 -2.3343 -2.2887 -2.1936 -2.1135 -2.0512 -2.0081 -1.9851
 -1.9798 -1.9855 -1.9956 -2.0065 -2.0168 -2.0262 -2.0350 -2.0434 -2.0521 -2.0619
 -2.0726
 -4.3297 -4.0112 -3.7258 -3.4790 -3.2717 -3.0988 -2.9530 -2.8269 -2.7153 -2.6151
 -2.5253 -2.4463 -2.3786 -2.3215 -2.2729 -2.1761 -2.0985 -2.0394 -1.9984 -1.9749
 -1.9685 -1.9749 -1.9886 -2.0050 -2.0215 -2.0367 -2.0507 -2.0634 -2.0753 -2.0870
 -2.0994
 -4.1328 -3.8709 -3.6345 -3.4219 -3.2343 -3.0731 -2.9371 -2.8184 -2.7124 -2.6161
 -2.5277 -2.4471 -2.3749 -2.3125 -2.2630 -2.1616 -2.0832 -2.0258 -1.9876
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value =  r   
 -7.0751 -6.5987 -6.1551 -5.7374 -5.3470 -4.9475 -4.4988 -4.0076 -3.5967 -3.2801
 -3.0420 -2.8620 -2.7211 -2.6053 -2.5060 -2.3056 -2.1545 -2.0434 -1.9674
 -6.7956 -6.2657 -5.7750 -5.3270 -4.9180 -4.5363 -4.1477 -3.7498 -3.4155 -3.1509
 -2.9462 -2.7871 -2.6603 -2.5547 -2.4633 -2.2791 -2.1426 -2.0438 -1.9758 -1.9310
 -6.5613 -6.0278 -5.5202 -5.0534 -4.6357 -4.2653 -3.9245 -3.5902 -3.3021 -3.0691
 -2.8855 -2.7408 -2.6241 -2.5258 -2.4401 -2.2670 -2.1396 -2.0482 -1.9855 -1.9443
 -1.9174
 -6.1619 -5.6429 -5.2256 -4.8196 -4.4327 -4.0777 -3.7635 -3.4762 -3.2220 -3.0111
 -2.8419 -2.7076 -2.5992 -2.5078 -2.4270 -2.2624 -2.1411 -2.0543 -1.9952 -1.9569
 -1.9322 -1.9156
 -5.7882 -5.2610 -4.8193 -4.4472 -4.1299 -3.8550 -3.6086 -3.3725 -3.1544 -2.9651
 -2.8077 -2.6803 -2.5779 -2.4930 -2.4176 -2.2604 -2.1439 -2.0604 -2.0040 -1.9681
 -1.9459 -1.9312 -1.9215 -1.9160
 -5.6551 -5.0795 -4.5919 -4.1896 -3.8609 -3.5909 -3.3704 -3.1907 -3.0387 -2.9020
 -2.7731 -2.6571 -2.5585 -2.4771 -2.4074 -2.2580 -2.1455 -2.0648 -2.0105 -1.9770
 -1.9576 -1.9457 -1.9379 -1.9334 -1.9317 -1.9332 -1.9384 -1.9506 -1.9709 -1.9942
 -5.6407 -5.0356 -4.5139 -4.0846 -3.7383 -3.4600 -3.2352 -3.0523 -2.9036 -2.7857
 -2.6931 -2.6126 -2.5348 -2.4607 -2.3942 -2.2536 -2.1449 -2.0664 -2.0139 -1.9823
 -1.9659 -1.9576 -1.9530 -1.9507 -1.9502 -1.9518 -1.9562 -1.9640 -1.9778 -2.0008
 -2.0282
 -5.6536 -5.0473 -4.5118 -4.0631 -3.7004 -3.4114 -3.1804 -2.9940 -2.8433 -2.7211
 -2.6228 -2.5451 -2.4828 -2.4269 -2.3730 -2.2457 -2.1412 -2.0649 -2.0136 -1.9834
 -1.9659 -1.9652 -1.9648 -1.9661 -1.9683 -1.9715 -1.9763 -1.9822 -1.9920 -2.0089
 -2.0350
 -5.6255 -5.0441 -4.5165 -4.0682 -3.6994 -3.4036 -3.1676 -2.9773 -2.8226 -2.6964
 -2.5934 -2.5092 -2.4402 -2.3835 -2.3356 -2.2289 -2.1328 -2.0592 -2.0091 -1.9798
 -1.9676 -1.9670 -1.9716 -1.9777 -1.9840 -1.9904 -1.9972 -2.0048 -2.0141 -2.0263
 -2.0443
 -5.5417 -5.0013 -4.5091 -4.0752 -3.7128 -3.4175 -3.1801 -2.9874 -2.8297 -2.6989
 -2.5899 -2.4994 -2.4241 -2.3611 -2.3080 -2.2060 -2.1197 -2.0511 -2.0023 -1.9730
 -1.9611 -1.9626 -1.9717 -1.9832 -1.9948 -2.0057 -2.0163 -2.0265 -2.0370 -2.0487
 -2.0611
 -5.4024 -4.9165 -4.4690 -4.0627 -3.7173 -3.4307 -3.1964 -3.0052 -2.8471 -2.7143
 -2.6010 -2.5044 -2.4223 -2.3532 -2.2948 -2.1853 -2.1034 -2.0390 -1.9930 -1.9639
 -1.9515 -1.9534 -1.9652 -1.9816 -1.9990 -2.0155 -2.0310 -2.0453 -2.0589 -2.0725
 -2.0867
 -5.2076 -4.7903 -4.3971 -4.0311 -3.7097 -3.4371 -3.2103 -3.0225 -2.8658 -2.7330
 -2.6184 -2.5183 -2.4308 -2.3552 -2.2960 -2.1668 -2.0839 -2.0229 -1.9812
 [Fe/H] = -1.00 [alpha/Fe] = 0.40 BC value =  r   
 -7.4947 -7.1266 -6.7966 -6.4998 -6.2595 -5.9556 -5.4527 -4.7286 -4.0501 -3.5185
 -3.1432 -2.8874 -2.7105 -2.5802 -2.4766 -2.2798 -2.1353 -2.0275 -1.9495
 -7.2452 -6.8275 -6.4529 -6.1204 -5.8170 -5.4977 -5.0520 -4.4479 -3.8848 -3.4253
 -3.0822 -2.8387 -2.6678 -2.5431 -2.4451 -2.2603 -2.1260 -2.0277 -1.9579 -1.9107
 -7.0979 -6.6403 -6.2204 -5.8422 -5.5017 -5.1739 -4.7827 -4.2751 -3.7907 -3.3809
 -3.0599 -2.8218 -2.6504 -2.5259 -2.4299 -2.2524 -2.1249 -2.0324 -1.9672 -1.9229
 -1.8946
 -6.9411 -6.4851 -6.0496 -5.6422 -5.2671 -4.9202 -4.5722 -4.1470 -3.7247 -3.3552
 -3.0541 -2.8209 -2.6473 -2.5200 -2.4236 -2.2503 -2.1274 -2.0385 -1.9764 -1.9344
 -1.9076 -1.8911
 -6.5479 -6.1643 -5.8024 -5.4429 -5.0795 -4.7259 -4.3869 -4.0332 -3.6664 -3.3335
 -3.0523 -2.8263 -2.6515 -2.5205 -2.4219 -2.2502 -2.1307 -2.0445 -1.9846 -1.9446
 -1.9194 -1.9044 -1.8957 -1.8917
 -6.1917 -5.7423 -5.3678 -5.0495 -4.7623 -4.4843 -4.1965 -3.8977 -3.5925 -3.3020
 -3.0458 -2.8312 -2.6583 -2.5244 -2.4226 -2.2501 -2.1332 -2.0492 -1.9911 -1.9528
 -1.9293 -1.9163 -1.9095 -1.9066 -1.9070 -1.9107 -1.9188 -1.9331 -1.9552 -1.9788
 -6.0698 -5.5478 -5.1002 -4.7270 -4.4148 -4.1421 -3.8919 -3.6545 -3.4230 -3.2053
 -3.0033 -2.8202 -2.6608 -2.5293 -2.4243 -2.2491 -2.1339 -2.0518 -1.9950 -1.9582
 -1.9366 -1.9260 -1.9219 -1.9213 -1.9230 -1.9270 -1.9337 -1.9443 -1.9607 -1.9851
 -2.0122
 -6.0998 -5.5290 -5.0210 -4.5878 -4.2272 -3.9274 -3.6707 -3.4419 -3.2313 -3.0404
 -2.8784 -2.7440 -2.6269 -2.5201 -2.4238 -2.2469 -2.1324 -2.0518 -1.9961 -1.9604
 -1.9404 -1.9322 -1.9314 -1.9342 -1.9387 -1.9443 -1.9517 -1.9612 -1.9747 -1.9922
 -2.0179
 -6.1724 -5.5881 -5.0460 -4.5669 -4.1612 -3.8265 -3.5507 -3.3184 -3.1171 -2.9397
 -2.7849 -2.6551 -2.5513 -2.4682 -2.3960 -2.2410 -2.1273 -2.0481 -1.9936 -1.9588
 -1.9402 -1.9342 -1.9368 -1.9438 -1.9521 -1.9609 -1.9704 -1.9807 -1.9927 -2.0077
 -2.0279
 -6.2227 -5.6555 -5.1086 -4.6096 -4.1749 -3.8103 -3.5114 -3.2670 -3.0638 -2.8916
 -2.7438 -2.6175 -2.5117 -2.4253 -2.3559 -2.2256 -2.1206 -2.0425 -1.9889 -1.9545
 -1.9365 -1.9318 -1.9372 -1.9483 -1.9613 -1.9744 -1.9874 -2.0002 -2.0134 -2.0279
 -2.0449
