 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = G_RP 
 -0.7303  0.3380  1.5656  1.8280  0.7209 -1.4226 -0.6763  0.6009  1.3702  1.4410
  1.5022  1.4827  1.0796  0.5935  0.3309  0.4593
 -0.6274 -0.1631  0.4299  0.6126  0.2344 -0.7176 -0.4021  0.1607  0.5759  0.7309
  0.8397  0.8645  0.7061  0.4991  0.3890  0.4903  0.5566  0.5849  0.5298
 -0.4003 -0.2754 -0.0757  0.0429  0.0482 -0.1765 -0.0996  0.0451  0.2037  0.3419
  0.4391  0.4810  0.4667  0.4338  0.4234  0.5022  0.5393  0.5618  0.5468  0.5282
  0.5365
 -0.0490  0.0011  0.0488  0.1189  0.1624  0.2006  0.2312  0.2541  0.2534  0.2740
  0.3005  0.3320  0.3616  0.3976  0.4341  0.4950  0.5343  0.5481  0.5455  0.5321
  0.5127  0.4892  0.4630
  0.1465  0.1645  0.1852  0.2181  0.2461  0.2743  0.3002  0.3226  0.3409  0.3564
  0.3728  0.3921  0.4121  0.4341  0.4584  0.5033  0.5244  0.5295  0.5240  0.5110
  0.4928  0.4708  0.4460  0.4181  0.3864
  0.3277  0.3210  0.3196  0.3246  0.3356  0.3506  0.3675  0.3845  0.4004  0.4147
  0.4275  0.4396  0.4530  0.4656  0.4809  0.5125  0.5221  0.5191  0.5090  0.4942
  0.4756  0.4539  0.4297  0.4032  0.3743  0.3423
  0.4948  0.4706  0.4520  0.4384  0.4309  0.4295  0.4331  0.4398  0.4483  0.4577
  0.4670  0.4761  0.4847  0.4923  0.5016  0.5226  0.5274  0.5169  0.5005  0.4817
  0.4611  0.4385  0.4140  0.3879  0.3603  0.3305  0.2980  0.2601  0.2153  0.1676
  0.6476  0.6133  0.5824  0.5546  0.5314  0.5140  0.5027  0.4968  0.4950  0.4964
  0.4999  0.5047  0.5101  0.5155  0.5206  0.5338  0.5363  0.5231  0.5008  0.4761
  0.4511  0.4259  0.3999  0.3730  0.3454  0.3166  0.2867  0.2532  0.2136  0.1670
  0.1170
  0.7786  0.7408  0.7036  0.6670  0.6330  0.6028  0.5777  0.5587  0.5454  0.5371
  0.5330  0.5318  0.5327  0.5349  0.5380  0.5454  0.5464  0.5340  0.5094  0.4793
  0.4484  0.4184  0.3892  0.3601  0.3311  0.3018  0.2715  0.2404  0.2060  0.1656
  0.1173
  0.8902  0.8504  0.8098  0.7685  0.7282  0.6899  0.6550  0.6247  0.6002  0.5819
  0.5692  0.5610  0.5563  0.5543  0.5543  0.5576  0.5568  0.5458  0.5222  0.4897
  0.4537  0.4177  0.3833  0.3504  0.3186  0.2874  0.2563  0.2247  0.1917  0.1552
  0.1150
  0.9814  0.9414  0.9005  0.8588  0.8160  0.7737  0.7328  0.6948  0.6609  0.6329
  0.6111  0.5949  0.5834  0.5759  0.5717  0.5691  0.5672  0.5569  0.5356  0.5045
  0.4666  0.4260  0.3859  0.3476  0.3114  0.2769  0.2434  0.2104  0.1774  0.1432
  0.1072
  1.0496  1.0138  0.9756  0.9353  0.8928  0.8498  0.8064  0.7642  0.7245  0.6895
  0.6597  0.6351  0.6157  0.6013  0.5917  0.5811  0.5767  0.5671  0.5477  0.5186
  0.4818  0.4399  0.3959  0.3523  0.3108  0.2716  0.2343  0.1985  0.1637  0.1290
  0.0934
  1.0950  1.0676  1.0351  0.9980  0.9586  0.9182  0.8729  0.8293  0.7869  0.7479
  0.7126  0.6807  0.6520  0.6305  0.6143  0.5935  0.5853  0.5764  0.5585
 [Fe/H] = -3.00 [alpha/Fe] = 0.40 BC value = G_RP 
  0.0240  0.1066  0.1483  0.1437  0.0859 -0.1445 -0.0448  0.0636  0.1484  0.2132
  0.3081  0.3974  0.4082  0.3797  0.3829  0.5107
 -0.0028  0.0797  0.1337  0.1545  0.1364  0.0184  0.0578  0.1083  0.1556  0.1997
  0.2581  0.3165  0.3474  0.3635  0.3919  0.5037  0.5660  0.5910  0.5933
 -0.0052  0.0725  0.1320  0.1695  0.1803  0.1426  0.1477  0.1616  0.1828  0.2100
  0.2420  0.2777  0.3164  0.3573  0.3996  0.4973  0.5493  0.5690  0.5693  0.5572
  0.5376
