 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = F150W
 -0.7343 -1.6849 -2.8913 -2.8828 -1.4069  0.5543 -0.1261 -1.2245 -1.7481 -1.6280
 -1.4717 -1.3657 -1.2384 -1.1596 -1.1425 -1.2672
 -0.7604 -1.1412 -1.6867 -1.7257 -1.1590 -0.3036 -0.5719 -1.0069 -1.2485 -1.2571
 -1.2363 -1.2173 -1.1864 -1.1731 -1.1885 -1.3036 -1.4289 -1.5603 -1.7030
 -0.8913 -0.9558 -1.1011 -1.1392 -1.0640 -0.8617 -0.9030 -0.9718 -1.0365 -1.0880
 -1.1243 -1.1478 -1.1682 -1.1921 -1.2236 -1.3308 -1.4472 -1.5747 -1.7082 -1.8391
 -1.9637
 -1.1270 -1.1287 -1.1345 -1.1233 -1.1219 -1.1199 -1.1194 -1.1192 -1.1120 -1.1208
 -1.1357 -1.1573 -1.1838 -1.2165 -1.2478 -1.3488 -1.4656 -1.5905 -1.7183 -1.8445
 -1.9695 -2.0934 -2.2169
 -1.1684 -1.1704 -1.1748 -1.1728 -1.1727 -1.1718 -1.1719 -1.1743 -1.1803 -1.1895
 -1.2023 -1.2191 -1.2400 -1.2658 -1.2970 -1.3872 -1.4909 -1.6062 -1.7286 -1.8524
 -1.9752 -2.0965 -2.2163 -2.3348 -2.4520
 -1.2327 -1.2309 -1.2311 -1.2314 -1.2306 -1.2291 -1.2279 -1.2295 -1.2352 -1.2455
 -1.2596 -1.2761 -1.2954 -1.3174 -1.3435 -1.4244 -1.5183 -1.6246 -1.7405 -1.8606
 -1.9809 -2.0998 -2.2168 -2.3324 -2.4466 -2.5596
 -1.3198 -1.3102 -1.3034 -1.2991 -1.2957 -1.2918 -1.2874 -1.2848 -1.2863 -1.2932
 -1.3055 -1.3226 -1.3423 -1.3633 -1.3873 -1.4604 -1.5478 -1.6457 -1.7540 -1.8691
 -1.9866 -2.1033 -2.2184 -2.3317 -2.4433 -2.5535 -2.6624 -2.7706 -2.8778 -2.9810
 -1.4297 -1.4083 -1.3917 -1.3794 -1.3697 -1.3615 -1.3531 -1.3454 -1.3405 -1.3410
 -1.3479 -1.3611 -1.3797 -1.4016 -1.4248 -1.4932 -1.5758 -1.6684 -1.7696 -1.8787
