 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = F140M
  3.0905  3.4920  3.6033  3.0621  1.9807  1.4498  1.6257  1.4362  1.2746  1.4607
  1.5264  1.6224  1.8353  1.9996  2.0689  1.9533
  2.5701  2.8274  2.9879  2.8448  2.4348  2.1577  2.1478  1.9912  1.8558  1.8642
  1.8620  1.8933  1.9727  2.0320  2.0446  1.9322  1.8236  1.7145  1.5902
  2.2621  2.3861  2.5082  2.5473  2.4957  2.3922  2.3194  2.2209  2.1357  2.0764
  2.0464  2.0392  2.0403  2.0354  2.0167  1.9100  1.8019  1.6941  1.5795  1.4643
  1.3521
  2.1665  2.1681  2.1642  2.1696  2.1632  2.1534  2.1405  2.1254  2.1142  2.0972
  2.0797  2.0600  2.0380  2.0097  1.9852  1.8867  1.7826  1.6745  1.5643  1.4541
  1.3428  1.2313  1.1197
  2.1720  2.1640  2.1546  2.1504  2.1439  2.1355  2.1233  2.1066  2.0853  2.0617
  2.0384  2.0159  1.9939  1.9698  1.9418  1.8580  1.7616  1.6578  1.5501  1.4418
  1.3336  1.2257  1.1180  1.0102  0.9022
  2.1514  2.1402  2.1294  2.1207  2.1142  2.1074  2.0978  2.0831  2.0628  2.0378
  2.0100  1.9822  1.9560  1.9310  1.9046  1.8294  1.7402  1.6414  1.5370  1.4308
  1.3249  1.2196  1.1149  1.0104  0.9061  0.8018
  2.1048  2.0967  2.0886  2.0805  2.0740  2.0691  2.0640  2.0549  2.0394  2.0176
  1.9906  1.9605  1.9300  1.9015  1.8736  1.8009  1.7184  1.6253  1.5250  1.4211
  1.3167  1.2130  1.1105  1.0087  0.9075  0.8065  0.7056  0.6041  0.5021  0.4031
  2.0321  2.0335  2.0322  2.0285  2.0246  2.0217  2.0201  2.0173  2.0096  1.9946
  1.9724  1.9447  1.9136  1.8817  1.8511  1.7769  1.6976  1.6095  1.5136  1.4125
  1.3095  1.2068  1.1055  1.0055  0.9066  0.8085  0.7109  0.6131  0.5145  0.4154
  0.3188
  1.9321  1.9474  1.9572  1.9622  1.9647  1.9660  1.9678  1.9701  1.9703  1.9644
  1.9504  1.9284  1.9005  1.8691  1.8366  1.7586  1.6798  1.5947  1.5025  1.4048
  1.3037  1.2018  1.1009  1.0018  0.9043  0.8081  0.7127  0.6180  0.5233  0.4279
  0.3313
  1.8195  1.8437  1.8630  1.8779  1.8901  1.8992  1.9071  1.9145  1.9210  1.9243
  1.9203  1.9070  1.8854  1.8575  1.8262  1.7442  1.6653  1.5813  1.4912  1.3963
  1.2975  1.1967  1.0959  0.9967  0.8996  0.8043  0.7105  0.6177  0.5256  0.4334
  0.3409
  1.7012  1.7291  1.7556  1.7808  1.8027  1.8218  1.8378  1.8518  1.8645  1.8752
  1.8788  1.8745  1.8628  1.8442  1.8193  1.7402  1.6539  1.5711  1.4825  1.3896
  1.2933  1.1943  1.0944  0.9951  0.8978  0.8028  0.7097  0.6183  0.5282  0.4388
  0.3484
  1.5600  1.6036  1.6411  1.6732  1.7036  1.7316  1.7569  1.7793  1.7994  1.8167
  1.8294  1.8358  1.8347  1.8247  1.8056  1.7316  1.6449  1.5623  1.4754  1.3838
  1.2891  1.1920  1.0936  0.9949  0.8973  0.8019  0.7087  0.6178  0.5287  0.4410
  0.3542
  1.3959  1.4671  1.5195  1.5551  1.5928  1.6286  1.6653  1.6960  1.7240  1.7480
  1.7679  1.7841  1.7968  1.7990  1.7851  1.7186  1.6383  1.5549  1.4699
 [Fe/H] = -3.00 [alpha/Fe] = 0.40 BC value = F140M
  1.7810  1.8210  1.8601  1.8999  1.9259  1.9736  2.0587  2.0672  2.0551  2.0531
  2.0381  2.0403  2.0665  2.0799  2.0694  1.9703
  1.8329  1.8655  1.8964  1.9270  1.9490  1.9797  2.0321  2.0514  2.0581  2.0637
  2.0595  2.0571  2.0594  2.0530  2.0332  1.9396  1.8310  1.7176  1.6010
  1.8830  1.9083  1.9315  1.9537  1.9712  1.9890  2.0166  2.0380  2.0531  2.0615
  2.0632  2.0580  2.0458  2.0267  2.0006  1.9112  1.8073  1.6967  1.5834  1.4689
  1.3537
  1.9313  1.9494  1.9654  1.9800  1.9923  2.0015  2.0122  2.0269  2.0399  2.0467
  2.0492  2.0428  2.0256  2.0008  1.9716  1.8851  1.7853  1.6779  1.5676  1.4565
  1.3452  1.2336  1.1220
  1.9778  1.9888  1.9981  2.0059  2.0124  2.0172  2.0189  2.0181  2.0186  2.0192
  2.0175  2.0116  1.9988  1.9754  1.9462  1.8613  1.7650  1.6612  1.5535  1.4450
  1.3368  1.2287  1.1206  1.0125  0.9041
  2.0225  2.0265  2.0296  2.0314  2.0315  2.0297  2.0258  2.0188  2.0089  1.9986
  1.9881  1.9774  1.9658  1.9479  1.9221  1.8396  1.7462  1.6459  1.5410  1.4346
  1.3285  1.2229  1.1179  1.0131  0.9084  0.8037
  2.0603  2.0594  2.0573  2.0544  2.0500  2.0434  2.0344  2.0226  2.0077  1.9901
  1.9714  1.9527  1.9345  1.9169  1.8939  1.8189  1.7288  1.6318  1.5299  1.4254
  1.3207  1.2168  1.1139  1.0117  0.9101  0.8087  0.7075  0.6057  0.5036  0.4045
  2.0818  2.0798  2.0756  2.0698  2.0628  2.0538  2.0423  2.0277  2.0100  1.9890
  1.9656  1.9410  1.9163  1.8930  1.8684  1.7971  1.7121  1.6185  1.5197  1.4175
  1.3140  1.2110  1.1093  1.0089  0.9095  0.8109  0.7126  0.6146  0.5160  0.4168
  0.3202
  2.0934  2.0847  2.0776  2.0720  2.0646  2.0552  2.0436  2.0291  2.0110  1.9893
  1.9643  1.9369  1.9082  1.8796  1.8515  1.7777  1.6960  1.6059  1.5133  1.4105
  1.3104  1.2061  1.1049  1.0053  0.9074  0.8108  0.7150  0.6193  0.5236  0.4280
  0.3327
