 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = F115W
  0.5801  0.9867  1.6682  1.9598  1.5517  1.0073  1.6557  2.3439  2.6012  2.4859
  2.4490  2.3841  2.0735  1.6936  1.4195  1.3263
  1.2277  1.3521  1.6200  1.7221  1.5533  1.2810  1.5172  1.7983  1.9420  1.9479
  1.9524  1.9121  1.7550  1.5629  1.4191  1.3326  1.2641  1.1958  1.0961
  1.5885  1.5689  1.6002  1.6014  1.5601  1.4611  1.4730  1.5165  1.5647  1.6011
  1.6111  1.5865  1.5264  1.4550  1.3973  1.3190  1.2359  1.1666  1.0844  1.0036
  0.9379
  1.6625  1.6371  1.6088  1.5977  1.5721  1.5475  1.5231  1.4985  1.4694  1.4455
  1.4252  1.4073  1.3877  1.3699  1.3541  1.2855  1.2177  1.1445  1.0687  0.9917
  0.9154  0.8393  0.7647
  1.7039  1.6740  1.6428  1.6181  1.5892  1.5609  1.5328  1.5050  1.4766  1.4483
  1.4219  1.3983  1.3758  1.3549  1.3348  1.2721  1.1996  1.1243  1.0482  0.9725
  0.8974  0.8231  0.7500  0.6771  0.6035
  1.7191  1.6906  1.6609  1.6312  1.6017  1.5722  1.5425  1.5128  1.4833  1.4539
  1.4247  1.3965  1.3705  1.3453  1.3222  1.2612  1.1875  1.1104  1.0331  0.9571
  0.8822  0.8086  0.7362  0.6647  0.5937  0.5223
  1.7081  1.6869  1.6631  1.6370  1.6096  1.5814  1.5522  1.5219  1.4909  1.4601
  1.4297  1.3997  1.3706  1.3424  1.3163  1.2528  1.1814  1.1028  1.0234  0.9455
  0.8698  0.7958  0.7234  0.6524  0.5826  0.5132  0.4436  0.3715  0.2957  0.2194
  1.6709  1.6629  1.6494  1.6310  1.6093  1.5850  1.5587  1.5302  1.4997  1.4680
  1.4363  1.4050  1.3743  1.3445  1.3158  1.2488  1.1787  1.1009  1.0198  0.9392
  0.8611  0.7855  0.7121  0.6406  0.5709  0.5024  0.4349  0.3666  0.2951  0.2199
  0.1436
  1.6044  1.6139  1.6152  1.6091  1.5972  1.5802  1.5592  1.5348  1.5071  1.4766
  1.4446  1.4122  1.3802  1.3490  1.3190  1.2483  1.1784  1.1027  1.0214  0.9387
  0.8575  0.7790  0.7035  0.6305  0.5598  0.4911  0.4235  0.3570  0.2897  0.2193
  0.1445
  1.5149  1.5413  1.5582  1.5666  1.5681  1.5621  1.5499  1.5323  1.5097  1.4828
  1.4526  1.4203  1.3874  1.3550  1.3238  1.2501  1.1793  1.1052  1.0253  0.9420
  0.8583  0.7764  0.6976  0.6219  0.5492  0.4791  0.4109  0.3441  0.2779  0.2105
  0.1418
  1.4079  1.4478  1.4799  1.5050  1.5215  1.5299  1.5298  1.5219  1.5068  1.4857
  1.4590  1.4284  1.3960  1.3632  1.3313  1.2553  1.1821  1.1088  1.0310  0.9490
