 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = F360M
  4.1274  4.2293  4.1696  3.6840  2.8301  2.3220  2.2758  2.1196  1.9922  1.9767
  1.8383  1.8713  2.1568  2.4890  2.6550  2.4783
  3.7379  3.8026  3.8094  3.6197  3.2453  2.9852  2.8821  2.7121  2.5585  2.4651
  2.3687  2.3737  2.4907  2.6187  2.6632  2.4694  2.2931  2.1218  1.9506
  3.5013  3.5064  3.5108  3.4601  3.3489  3.2368  3.1282  2.9894  2.8595  2.7549
  2.6901  2.6700  2.6782  2.6798  2.6504  2.4597  2.2754  2.1003  1.9331  1.7750
  1.6236
  3.4176  3.3407  3.2738  3.2052  3.1409  3.0767  3.0141  2.9516  2.8952  2.8460
  2.8024  2.7600  2.7191  2.6724  2.6166  2.4492  2.2546  2.0827  1.9182  1.7595
  1.6080  1.4630  1.3235
  3.3222  3.2667  3.2138  3.1576  3.0999  3.0403  2.9802  2.9201  2.8605  2.8035
  2.7524  2.7068  2.6636  2.6190  2.5702  2.4247  2.2487  2.0729  1.9060  1.7479
  1.5973  1.4533  1.3150  1.1816  1.0523
  3.2208  3.1809  3.1396  3.0950  3.0462  2.9939  2.9391  2.8833  2.8268  2.7705
  2.7159  2.6651  2.6190  2.5761  2.5294  2.3983  2.2392  2.0658  1.8977  1.7391
  1.5887  1.4452  1.3078  1.1756  1.0480  0.9241
  3.1135  3.0833  3.0512  3.0174  2.9799  2.9375  2.8908  2.8412  2.7898  2.7372
  2.6841  2.6322  2.5831  2.5382  2.4942  2.3700  2.2261  2.0614  1.8933  1.7331
  1.5822  1.4387  1.3018  1.1705  1.0440  0.9217  0.8028  0.6871  0.5744  0.4645
  3.0002  2.9739  2.9486  2.9242  2.8980  2.8674  2.8319  2.7913  2.7471  2.7004
  2.6516  2.6018  2.5525  2.5058  2.4615  2.3455  2.2092  2.0563  1.8924  1.7308
  1.5780  1.4339  1.2969  1.1659  1.0401  0.9190  0.8017  0.6877  0.5767  0.4684
  0.3622
  2.8832  2.8583  2.8368  2.8184  2.8009  2.7817  2.7587  2.7301  2.6958  2.6571
  2.6153  2.5704  2.5236  2.4767  2.4319  2.3209  2.1933  2.0482  1.8923  1.7322
  1.5774  1.4313  1.2934  1.1621  1.0366  0.9160  0.7995  0.6869  0.5777  0.4711
  0.3667
  2.7788  2.7452  2.7200  2.7024  2.6903  2.6800  2.6682  2.6524  2.6308  2.6032
  2.5705  2.5333  2.4922  2.4483  2.4046  2.2951  2.1759  2.0378  1.8882  1.7329
  1.5779  1.4292  1.2892  1.1568  1.0307  0.9101  0.7940  0.6820  0.5736  0.4683
  0.3659
  2.6824  2.6424  2.6123  2.5911  2.5791  2.5721  2.5674  2.5619  2.5529  2.5377
  2.5153  2.4870  2.4542  2.4182  2.3799  2.2750  2.1579  2.0283  1.8852  1.7356
  1.5838  1.4343  1.2916  1.1569  1.0296  0.9084  0.7922  0.6804  0.5726  0.4682
  0.3651
  2.5995  2.5499  2.5128  2.4870  2.4709  2.4625  2.4604  2.4604  2.4602  2.4555
  2.4452  2.4294  2.4078  2.3807  2.3482  2.2495  2.1369  2.0163  1.8804  1.7363
  1.5890  1.4417  1.2978  1.1604  1.0306  0.9078  0.7908  0.6787  0.5709  0.4668
  0.3660
  2.5302  2.4676  2.4215  2.3901  2.3657  2.3512  2.3539  2.3549  2.3584  2.3600
  2.3589  2.3554  2.3495  2.3358  2.3095  2.2185  2.1129  2.0018  1.8738
 [Fe/H] = -3.00 [alpha/Fe] = 0.40 BC value = F360M
  3.3763  3.2946  3.2222  3.1554  3.0959  3.1047  3.1490  3.1271  3.0563  2.9537
  2.8290  2.7387  2.7157  2.7159  2.6881  2.4996
  3.4138  3.3313  3.2548  3.1832  3.1182  3.0903  3.0850  3.0549  3.0052  2.9416
  2.8667  2.8011  2.7571  2.7187  2.6662  2.4772  2.2949  2.1207  1.9536
  3.4309  3.3503  3.2729  3.1993  3.1311  3.0788  3.0396  3.0011  2.9618  2.9203
  2.8754  2.8261  2.7715  2.7110  2.6441  2.4573  2.2752  2.1008  1.9345  1.7759
  1.6239
  3.4276  3.3516  3.2765  3.2037  3.1346  3.0702  3.0128  2.9658  2.9260  2.8900
  2.8553  2.8137  2.7590  2.6928  2.6218  2.4399  2.2595  2.0852  1.9192  1.7610
  1.6100  1.4650  1.3248
  3.4039  3.3352  3.2656  3.1964  3.1288  3.0645  3.0046  2.9489  2.8978  2.8506
  2.8063  2.7639  2.7195  2.6640  2.5993  2.4250  2.2478  2.0739  1.9076  1.7497
  1.5992  1.4552  1.3168  1.1832  1.0536
  3.3598  3.3011  3.2402  3.1774  3.1137  3.0507  2.9901  2.9327  2.8781  2.8260
  2.7750  2.7250  2.6782  2.6287  2.5717  2.4100  2.2388  2.0664  1.8994  1.7411
  1.5908  1.4473  1.3099  1.1776  1.0497  0.9255
  3.2943  3.2466  3.1966  3.1433  3.0869  3.0285  2.9698  2.9123  2.8565  2.8024
  2.7493  2.6967  2.6447  2.5960  2.5420  2.3918  2.2298  2.0620  1.8949  1.7353
  1.5845  1.4411  1.3041  1.1726  1.0460  0.9235  0.8044  0.6885  0.5756  0.4656
  3.2116  3.1728  3.1331  3.0909  3.0446  2.9941  2.9409  2.8864  2.8318  2.7777
  2.7241  2.6707  2.6175  2.5668  2.5149  2.3723  2.2184  2.0583  1.8939  1.7329
  1.5805  1.4364  1.2994  1.1682  1.0423  0.9209  0.8033  0.6891  0.5780  0.4695
  0.3634
  3.1540  3.0969  3.0526  3.0199  2.9844  2.9442  2.8994  2.8512  2.8006  2.7490
  2.6969  2.6443  2.5914  2.5391  2.4886  2.3531  2.2062  2.0527  1.8942  1.7342
  1.5805  1.4338  1.2959  1.1646  1.0389  0.9181  0.8015  0.6884  0.5786  0.4718
  0.3679
  3.0112  2.9946  2.9680  2.9324  2.9055  2.8759  2.8413  2.8019  2.7584  2.7120
  2.6637  2.6138  2.5628  2.5113  2.4610  2.3314  2.1923  2.0441  1.8911  1.7349
  1.5801  1.4317  1.2917  1.1593  1.0331  0.9122  0.7960  0.6838  0.5752  0.4699
  0.3671
  2.9254  2.8968  2.8671  2.8365  2.8151  2.7922  2.7674  2.7381  2.7039  2.6655
  2.6235  2.5787  2.5318  2.4831  2.4339  2.3089  2.1779  2.0370  1.8892  1.7381
  1.5858  1.4365  1.2940  1.1595  1.0320  0.9106  0.7942  0.6823  0.5743  0.4698
  0.3663
  2.8410  2.8033  2.7712  2.7441  2.7247  2.7092  2.6919  2.6579  2.6337  2.6048
  2.5716  2.5342  2.4935  2.4500  2.4043  2.2847  2.1603  2.0273  1.8857  1.7393
  1.5912  1.4437  1.3001  1.1628  1.0331  0.9101  0.7929  0.6806  0.5726  0.4683
  0.3674
  2.7578  2.7142  2.6804  2.6553  2.6344  2.6269  2.5923  2.5784  2.5614  2.5288
  2.5052  2.4773  2.4449  2.4087  2.3722  2.2588  2.1395  2.0150  1.8806
 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = F360M
  3.3212  3.2295  3.1645  3.1555  3.1971  3.2495  3.2746  3.2622  3.2082  3.1141
  3.0121  2.9122  2.8324  2.7646  2.6931  2.5068
  3.3671  3.2770  3.2019  3.1577  3.1428  3.1415  3.1365  3.1196  3.0843  3.0285
  2.9615  2.8859  2.8109  2.7384  2.6647  2.4790  2.2970  2.1221  1.9555
  3.3993  3.3117  3.2309  3.1637  3.1110  3.0721  3.0430  3.0180  2.9906  2.9567
  2.9123  2.8551  2.7872  2.7143  2.6402  2.4558  2.2757  2.1021  1.9362  1.7775
  1.6255
  3.4178  3.3336  3.2515  3.1735  3.1017  3.0413  2.9941  2.9574  2.9271  2.8987
  2.8645  2.8198  2.7613  2.6923  2.6196  2.4372  2.2588  2.0862  1.9207  1.7627
  1.6117  1.4667  1.3268
  3.4226  3.3427  3.2637  3.1871  3.1149  3.0491  2.9898  2.9378  2.8938  2.8545
  2.8181  2.7800  2.7332  2.6724  2.6029  2.4232  2.2463  2.0744  1.9091  1.7515
  1.6011  1.4570  1.3186  1.1849  1.0552
  3.4123  3.3389  3.2649  3.1915  3.1200  3.0525  2.9907  2.9353  2.8837  2.8348
  2.7882  2.7432  2.6998  2.6491  2.5866  2.4122  2.2374  2.0665  1.9009  1.7431
  1.5929  1.4494  1.3119  1.1795  1.0514  0.9270
  3.3823  3.3182  3.2521  3.1847  3.1170  3.0504  2.9866  2.9274  2.8731  2.8217
  2.7708  2.7194  2.6694  2.6208  2.5653  2.4020  2.2307  2.0617  1.8963  1.7374
  1.5867  1.4433  1.3063  1.1747  1.0479  0.9252  0.8059  0.6898  0.5768  0.4668
