 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = F150W
  1.3724  0.3820 -0.8498 -0.8278  0.7062  2.7082  2.0056  0.8989  0.3611  0.4814
  0.6358  0.7460  0.8792  0.9522  0.9745  0.8434
  1.3513  0.9527  0.3921  0.3583  0.9474  1.8223  1.5461  1.1092  0.8620  0.8539
  0.8739  0.8942  0.9273  0.9375  0.9243  0.8072  0.6800  0.5494  0.4054
  1.2210  1.1520  1.0003  0.9628  1.0411  1.2495  1.2078  1.1398  1.0745  1.0234
  0.9870  0.9634  0.9432  0.9182  0.8871  0.7799  0.6625  0.5352  0.4016  0.2706
  0.1453
  0.9815  0.9799  0.9748  0.9857  0.9872  0.9897  0.9907  0.9909  0.9987  0.9901
  0.9752  0.9536  0.9270  0.8943  0.8629  0.7615  0.6447  0.5194  0.3911  0.2650
  0.1398  0.0152 -0.1080
  0.9394  0.9377  0.9338  0.9358  0.9361  0.9373  0.9375  0.9353  0.9297  0.9208
  0.9082  0.8915  0.8706  0.8448  0.8135  0.7232  0.6193  0.5038  0.3811  0.2570
  0.1340  0.0124 -0.1077 -0.2264 -0.3438
  0.8744  0.8766  0.8768  0.8767  0.8777  0.8795  0.8809  0.8796  0.8741  0.8642
  0.8503  0.8340  0.8149  0.7930  0.7668  0.6859  0.5918  0.4854  0.3693  0.2488
  0.1283  0.0092 -0.1082 -0.2240 -0.3383 -0.4515
  0.7865  0.7966  0.8038  0.8084  0.8121  0.8163  0.8209  0.8238  0.8225  0.8159
  0.8039  0.7871  0.7676  0.7467  0.7228  0.6496  0.5622  0.4642  0.3557  0.2404
  0.1227  0.0056 -0.1096 -0.2231 -0.3350 -0.4453 -0.5544 -0.6628 -0.7701 -0.8734
  0.6757  0.6977  0.7148  0.7275  0.7375  0.7461  0.7547  0.7627  0.7679  0.7676
  0.7610  0.7482  0.7298  0.7080  0.6850  0.6167  0.5341  0.4413  0.3400  0.2308
  0.1168  0.0020 -0.1115 -0.2232 -0.3330 -0.4411 -0.5476 -0.6529 -0.7578 -0.8618
 -0.9623
  0.5433  0.5783  0.6076  0.6316  0.6511  0.6671  0.6814  0.6949  0.7068  0.7145
  0.7159  0.7097  0.6965  0.6773  0.6541  0.5882  0.5092  0.4197  0.3228  0.2194
  0.1103 -0.0018 -0.1136 -0.2238 -0.3319 -0.4381 -0.5428 -0.6459 -0.7479 -0.8492
 -0.9501
  0.4036  0.4457  0.4836  0.5177  0.5489  0.5754  0.5984  0.6190  0.6378  0.6539
  0.6644  0.6671  0.6615  0.6480  0.6281  0.5624  0.4871  0.4000  0.3053  0.2055
  0.1008 -0.0078 -0.1177 -0.2268 -0.3338 -0.4387 -0.5417 -0.6430 -0.7430 -0.8420
 -0.9401
  0.2653  0.3077  0.3505  0.3936  0.4346  0.4723  0.5055  0.5350  0.5616  0.5853
  0.6037  0.6155  0.6197  0.6156  0.6031  0.5451  0.4676  0.3839  0.2911  0.1934
  0.0920 -0.0127 -0.1198 -0.2272 -0.3333 -0.4371 -0.5388 -0.6384 -0.7363 -0.8330
 -0.9303
  0.1104  0.1643  0.2151  0.2629  0.3108  0.3571  0.4005  0.4398  0.4755  0.5084
  0.5367  0.5585  0.5722  0.5763  0.5703  0.5227  0.4501  0.3691  0.2790  0.1828
  0.0832 -0.0188 -0.1228 -0.2280 -0.3328 -0.4359 -0.5368 -0.6354 -0.7318 -0.8266
 -0.9200
 -0.0611  0.0156  0.0774  0.1256  0.1775  0.2298  0.2859  0.3338  0.3782  0.4180
  0.4533  0.4843  0.5115  0.5301  0.5298  0.4951  0.4346  0.3556  0.2690
 [Fe/H] = -3.00 [alpha/Fe] = 0.40 BC value = F150W
  0.8103  0.8311  0.8774  0.9643  1.0867  1.2770  1.1746  1.0885  1.0489  1.0459
  1.0342  1.0188  1.0129  0.9978  0.9658  0.8409
  0.8505  0.8614  0.8885  0.9423  1.0213  1.1417  1.1184  1.0915  1.0742  1.0645
  1.0468  1.0240  1.0014  0.9728  0.9354  0.8161  0.6852  0.5521  0.4184
  0.8797  0.8836  0.8963  0.9246  0.9695  1.0364  1.0587  1.0686  1.0676  1.0573
  1.0389  1.0136  0.9824  0.9461  0.9055  0.7908  0.6667  0.5372  0.4063  0.2757
  0.1460
  0.8979  0.8977  0.9008  0.9112  0.9312  0.9611  0.9955  1.0196  1.0290  1.0242
  1.0105  0.9876  0.9558  0.9176  0.8761  0.7650  0.6468  0.5222  0.3948  0.2675
  0.1415  0.0166 -0.1064
  0.9051  0.9037  0.9020  0.9021  0.9064  0.9158  0.9288  0.9447  0.9584  0.9653
