 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = F182M
  1.5915  0.4848 -1.0929 -1.2389  0.7664  2.6789  1.0819 -0.4818 -1.0115 -0.7474
 -0.6787 -0.5609 -0.0050  0.5951  0.9484  0.7990
  1.2978  0.8950  0.2153  0.1135  0.9174  1.8420  1.2658  0.6266  0.3050  0.2682
  0.2094  0.2374  0.4759  0.7433  0.8905  0.7492  0.5825  0.4220  0.2579
  1.0299  0.9988  0.8479  0.8009  0.9411  1.2336  1.1975  1.0907  0.9615  0.8409
  0.7572  0.7391  0.7830  0.8366  0.8505  0.7177  0.5723  0.4142  0.2545  0.1007
 -0.0470
  0.7878  0.7962  0.8049  0.8233  0.8374  0.8538  0.8770  0.9104  0.9582  0.9706
  0.9649  0.9441  0.9162  0.8750  0.8284  0.7045  0.5560  0.4004  0.2457  0.0964
 -0.0491 -0.1917 -0.3303
  0.6384  0.6821  0.7159  0.7428  0.7605  0.7751  0.7910  0.8115  0.8372  0.8611
  0.8714  0.8648  0.8461  0.8158  0.7755  0.6606  0.5307  0.3879  0.2388  0.0909
 -0.0530 -0.1929 -0.3288 -0.4610 -0.5900
  0.4625  0.5362  0.5939  0.6361  0.6651  0.6855  0.7017  0.7174  0.7344  0.7535
  0.7707  0.7780  0.7704  0.7517  0.7209  0.6179  0.5011  0.3703  0.2289  0.0845
 -0.0574 -0.1952 -0.3289 -0.4588 -0.5852 -0.7086
  0.2603  0.3585  0.4389  0.5032  0.5512  0.5850  0.6091  0.6281  0.6450  0.6614
  0.6773  0.6897  0.6935  0.6859  0.6646  0.5764  0.4672  0.3476  0.2160  0.0772
 -0.0623 -0.1986 -0.3306 -0.4587 -0.5831 -0.7042 -0.8223 -0.9381 -1.0514 -1.1600
  0.0316  0.1490  0.2509  0.3388  0.4104  0.4648  0.5049  0.5339  0.5567  0.5759
  0.5932  0.6077  0.6173  0.6182  0.6080  0.5366  0.4345  0.3212  0.1993  0.0681
 -0.0675 -0.2023 -0.3333 -0.4601 -0.5830 -0.7023 -0.8184 -0.9319 -1.0432 -1.1522
 -1.2572
 -0.2027 -0.0790  0.0364  0.1443  0.2391  0.3180  0.3801  0.4269  0.4617  0.4887
  0.5111  0.5297  0.5440  0.5518  0.5501  0.4986  0.4047  0.2955  0.1793  0.0562
 -0.0735 -0.2057 -0.3359 -0.4622 -0.5843 -0.7025 -0.8174 -0.9291 -1.0382 -1.1451
 -1.2502
 -0.4294 -0.3098 -0.1910 -0.0731  0.0399  0.1419  0.2284  0.2982  0.3519  0.3930
  0.4252  0.4509  0.4712  0.4855  0.4902  0.4589  0.3766  0.2714  0.1577  0.0397
 -0.0837 -0.2116 -0.3403 -0.4666 -0.5889 -0.7070 -0.8213 -0.9322 -1.0399 -1.1451
 -1.2481
 -0.6424 -0.5302 -0.4142 -0.2949 -0.1723 -0.0552  0.0520  0.1451  0.2217  0.2820
  0.3305  0.3686  0.3968  0.4154  0.4248  0.4113  0.3497  0.2511  0.1401  0.0246
 -0.0939 -0.2162 -0.3411 -0.4660 -0.5882 -0.7067 -0.8212 -0.9319 -1.0392 -1.1433
 -1.2465
 -0.8510 -0.7402 -0.6260 -0.5088 -0.3861 -0.2631 -0.1426 -0.0317  0.0665  0.1485
  0.2151  0.2680  0.3086  0.3384  0.3583  0.3676  0.3219  0.2317  0.1247  0.0112
 -0.1049 -0.2231 -0.3435 -0.4651 -0.5860 -0.7044 -0.8195 -0.9308 -1.0384 -1.1426
 -1.2438
 -1.0553 -0.9399 -0.8264 -0.7148 -0.6015 -0.4818 -0.3435 -0.2222 -0.1096 -0.0108
  0.0740  0.1458  0.2056  0.2545  0.2907  0.3277  0.2932  0.2132  0.1115
 [Fe/H] = -3.00 [alpha/Fe] = 0.40 BC value = F182M
  0.7206  0.7203  0.7423  0.8140  0.9800  1.1940  1.0696  1.0143  1.0057  0.9949
  0.9186  0.8460  0.8745  0.9330  0.9411  0.7717
  0.7877  0.7830  0.7910  0.8307  0.9321  1.0763  1.0549  1.0483  1.0507  1.0449
  1.0079  0.9657  0.9545  0.9498  0.9202  0.7547  0.5864  0.4229  0.2630
  0.8192  0.8155  0.8164  0.8342  0.8875  0.9754  1.0142  1.0401  1.0537  1.0553
  1.0452  1.0239  0.9917  0.9490  0.8961  0.7349  0.5743  0.4140  0.2564  0.1029
