 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  G   
 -2.2795 -1.0431  0.3107  0.4986 -0.8368 -3.3188 -2.5257 -1.1430 -0.3265 -0.2803
 -0.1940 -0.1896 -0.5789 -1.0631 -1.3024 -1.0777
 -2.3138 -1.7799 -1.1318 -0.9792 -1.4517 -2.5629 -2.2333 -1.6243 -1.1730 -1.0047
 -0.8681 -0.8207 -0.9620 -1.1565 -1.2405 -1.0458 -0.9060 -0.8188 -0.8167
 -2.1691 -2.0253 -1.8076 -1.6885 -1.6962 -1.9623 -1.8823 -1.7223 -1.5399 -1.3755
 -1.2534 -1.1909 -1.1860 -1.1997 -1.1839 -1.0203 -0.9041 -0.8240 -0.7882 -0.7606
 -0.7053
 -1.8454 -1.7793 -1.7167 -1.6293 -1.5703 -1.5170 -1.4727 -1.4370 -1.4271 -1.3927
 -1.3501 -1.3002 -1.2509 -1.1925 -1.1326 -1.0012 -0.8979 -0.8268 -0.7788 -0.7469
 -0.7247 -0.7077 -0.6943
 -1.6350 -1.6018 -1.5660 -1.5164 -1.4716 -1.4264 -1.3838 -1.3454 -1.3119 -1.2811
 -1.2487 -1.2114 -1.1720 -1.1290 -1.0824 -0.9754 -0.8930 -0.8345 -0.7936 -0.7647
 -0.7439 -0.7281 -0.7156 -0.7064 -0.7005
 -1.4371 -1.4293 -1.4157 -1.3947 -1.3667 -1.3340 -1.2990 -1.2641 -1.2308 -1.1996
 -1.1701 -1.1407 -1.1087 -1.0763 -1.0400 -0.9527 -0.8854 -0.8376 -0.8040 -0.7795
 -0.7614 -0.7476 -0.7367 -0.7279 -0.7212 -0.7171
 -1.2516 -1.2618 -1.2658 -1.2642 -1.2556 -1.2398 -1.2183 -1.1931 -1.1663 -1.1390
 -1.1123 -1.0861 -1.0601 -1.0342 -1.0054 -0.9331 -0.8751 -0.8361 -0.8100 -0.7913
 -0.7772 -0.7662 -0.7575 -0.7503 -0.7442 -0.7397 -0.7374 -0.7401 -0.7499 -0.7667
 -1.0784 -1.0993 -1.1163 -1.1298 -1.1381 -1.1398 -1.1344 -1.1228 -1.1065 -1.0872
 -1.0660 -1.0440 -1.0218 -0.9995 -0.9768 -0.9164 -0.8647 -0.8299 -0.8096 -0.7974
 -0.7887 -0.7820 -0.7766 -0.7720 -0.7679 -0.7644 -0.7614 -0.7616 -0.7677 -0.7815
 -0.8029
 -0.9263 -0.9511 -0.9752 -0.9987 -1.0192 -1.0352 -1.0453 -1.0485 -1.0451 -1.0363
 -1.0232 -1.0073 -0.9899 -0.9714 -0.9519 -0.9016 -0.8549 -0.8217 -0.8036 -0.7960
 -0.7934 -0.7924 -0.7918 -0.7911 -0.7903 -0.7892 -0.7885 -0.7879 -0.7905 -0.7996
 -0.8175
 -0.7927 -0.8206 -0.8492 -0.8784 -0.9064 -0.9322 -0.9541 -0.9703 -0.9798 -0.9825
 -0.9791 -0.9709 -0.9593 -0.9454 -0.9297 -0.8866 -0.8449 -0.8128 -0.7947 -0.7887
 -0.7904 -0.7954 -0.8008 -0.8055 -0.8093 -0.8119 -0.8141 -0.8162 -0.8193 -0.8258
 -0.8358
 -0.6797 -0.7091 -0.7393 -0.7702 -0.8020 -0.8331 -0.8622 -0.8881 -0.9090 -0.9231
 -0.9302 -0.9312 -0.9273 -0.9193 -0.9082 -0.8726 -0.8352 -0.8046 -0.7858 -0.7789
 -0.7817 -0.7906 -0.8018 -0.8127 -0.8222 -0.8300 -0.8366 -0.8422 -0.8474 -0.8533
 -0.8600
 -0.5902 -0.6166 -0.6453 -0.6761 -0.7089 -0.7420 -0.7751 -0.8065 -0.8349 -0.8576
 -0.8741 -0.8848 -0.8900 -0.8899 -0.8850 -0.8589 -0.8257 -0.7966 -0.7773 -0.7694
 -0.7713 -0.7809 -0.7955 -0.8118 -0.8275 -0.8414 -0.8535 -0.8639 -0.8730 -0.8816
 -0.8906
 -0.5241 -0.5430 -0.5672 -0.5961 -0.6271 -0.6589 -0.6950 -0.7291 -0.7614 -0.7895
 -0.8132 -0.8329 -0.8487 -0.8572 -0.8600 -0.8455 -0.8164 -0.7888 -0.7692
 [Fe/H] = -3.00 [alpha/Fe] = 0.40 BC value =  G   
 -1.8149 -1.7117 -1.6523 -1.6451 -1.6981 -1.9460 -1.8248 -1.6987 -1.6013 -1.5267
 -1.4130 -1.3014 -1.2736 -1.2852 -1.2609 -1.0633
 -1.8276 -1.7218 -1.6471 -1.6103 -1.6178 -1.7380 -1.6822 -1.6165 -1.5555 -1.4985
 -1.4233 -1.3460 -1.2973 -1.2625 -1.2129 -1.0371 -0.9061 -0.8170 -0.7565
 -1.8171 -1.7142 -1.6318 -1.5751 -1.5490 -1.5780 -1.5590 -1.5311 -1.4954 -1.4531
 -1.4051 -1.3522 -1.2952 -1.2346 -1.1711 -1.0146 -0.8999 -0.8206 -0.7668 -0.7302
 -0.7047
 -1.7834 -1.6889 -1.6064 -1.5395 -1.4919 -1.4660 -1.4552 -1.4425 -1.4211 -1.3907
 -1.3586 -1.3202 -1.2671 -1.2014 -1.1355 -0.9958 -0.8947 -0.8248 -0.7773 -0.7444
 -0.7210 -0.7039 -0.6904
 -1.7265 -1.6459 -1.5709 -1.5035 -1.4464 -1.4020 -1.3708 -1.3507 -1.3325 -1.3112
 -1.2837 -1.2499 -1.2131 -1.1629 -1.1061 -0.9807 -0.8905 -0.8296 -0.7881 -0.7589
 -0.7378 -0.7221 -0.7101 -0.7013 -0.6959
 -1.6464 -1.5852 -1.5253 -1.4671 -1.4125 -1.3641 -1.3238 -1.2918 -1.2660 -1.2434
 -1.2184 -1.1881 -1.1576 -1.1220 -1.0776 -0.9675 -0.8856 -0.8325 -0.7976 -0.7727
 -0.7544 -0.7407 -0.7300 -0.7217 -0.7156 -0.7119
 -1.5439 -1.5025 -1.4610 -1.4178 -1.3732 -1.3290 -1.2877 -1.2515 -1.2204 -1.1926
 -1.1656 -1.1374 -1.1072 -1.0798 -1.0450 -0.9537 -0.8792 -0.8316 -0.8030 -0.7837
 -0.7694 -0.7585 -0.7501 -0.7433 -0.7380 -0.7342 -0.7326 -0.7359 -0.7461 -0.7631
 -1.4269 -1.4019 -1.3773 -1.3507 -1.3203 -1.2863 -1.2503 -1.2153 -1.1831 -1.1539
 -1.1265 -1.0989 -1.0699 -1.0430 -1.0140 -0.9370 -0.8708 -0.8266 -0.8026 -0.7893
 -0.7804 -0.7737 -0.7686 -0.7646 -0.7611 -0.7584 -0.7571 -0.7576 -0.7636 -0.7778
 -0.7993
 -1.3148 -1.2955 -1.2797 -1.2672 -1.2512 -1.2304 -1.2045 -1.1755 -1.1463 -1.1183
 -1.0919 -1.0662 -1.0400 -1.0134 -0.9876 -0.9197 -0.8610 -0.8190 -0.7960 -0.7879
 -0.7821 -0.7839 -0.7835 -0.7834 -0.7832 -0.7827 -0.7828 -0.7859 -0.7924 -0.8019
 -0.8140
 -1.1789 -1.1825 -1.1804 -1.1732 -1.1685 -1.1601 -1.1462 -1.1271 -1.1044 -1.0803
 -1.0565 -1.0334 -1.0104 -0.9871 -0.9640 -0.9027 -0.8493 -0.8102 -0.7882 -0.7808
 -0.7822 -0.7871 -0.7926 -0.7977 -0.8020 -0.8053 -0.8081 -0.8109 -0.8146 -0.8207
 -0.8322
 -1.0603 -1.0713 -1.0759 -1.0746 -1.0783 -1.0788 -1.0759 -1.0678 -1.0547 -1.0377
 -1.0186 -0.9992 -0.9799 -0.9604 -0.9407 -0.8876 -0.8384 -0.8013 -0.7793 -0.7711
 -0.7737 -0.7826 -0.7938 -0.8050 -0.8150 -0.8233 -0.8305 -0.8367 -0.8425 -0.8490
 -0.8563
 -0.9468 -0.9620 -0.9745 -0.9844 -0.9949 -1.0043 -1.0104 -0.9980 -0.9949 -0.9871
 -0.9754 -0.9613 -0.9463 -0.9309 -0.9151 -0.8724 -0.8274 -0.7926 -0.7706 -0.7616
 -0.7634 -0.7732 -0.7880 -0.8045 -0.8205 -0.8349 -0.8476 -0.8585 -0.8681 -0.8772
 -0.8868
 -0.8385 -0.8546 -0.8762 -0.9027 -0.9184 -0.9366 -0.9269 -0.9355 -0.9398 -0.9280
 -0.9249 -0.9182 -0.9089 -0.8982 -0.8872 -0.8571 -0.8163 -0.7841 -0.7621
 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  G   
 -1.9072 -1.9515 -2.0503 -2.0492 -1.9188 -1.7850 -1.7640 -1.8072 -1.8070 -1.7307
 -1.6247 -1.5068 -1.4043 -1.3212 -1.2382 -1.0540
 -1.8698 -1.8345 -1.8401 -1.8138 -1.7434 -1.6768 -1.6555 -1.6579 -1.6415 -1.5920
 -1.5238 -1.4413 -1.3557 -1.2748 -1.1970 -1.0296 -0.9030 -0.8140 -0.7461
 -1.8406 -1.7526 -1.6939 -1.6453 -1.6058 -1.5765 -1.5547 -1.5345 -1.5102 -1.4782
 -1.4354 -1.3792 -1.3100 -1.2350 -1.1629 -1.0101 -0.8966 -0.8171 -0.7606 -0.7225
 -0.7004
 -1.8196 -1.7058 -1.6117 -1.5437 -1.5060 -1.4841 -1.4616 -1.4370 -1.4131 -1.3893
 -1.3595 -1.3205 -1.2672 -1.2018 -1.1359 -0.9955 -0.8924 -0.8210 -0.7729 -0.7397
 -0.7160 -0.6989 -0.6867
 -1.8068 -1.6941 -1.5935 -1.5090 -1.4440 -1.3996 -1.3762 -1.3654 -1.3502 -1.3253
 -1.2961 -1.2652 -1.2273 -1.1752 -1.1160 -0.9858 -0.8904 -0.8257 -0.7829 -0.7533
 -0.7321 -0.7163 -0.7046 -0.6957 -0.6903
 -1.7793 -1.6780 -1.5837 -1.4992 -1.4273 -1.3697 -1.3270 -1.2975 -1.2791 -1.2653
 -1.2445 -1.2160 -1.1861 -1.1481 -1.0987 -0.9785 -0.8888 -0.8291 -0.7915 -0.7661
 -0.7478 -0.7341 -0.7237 -0.7158 -0.7103 -0.7073
 -1.7276 -1.6432 -1.5622 -1.4865 -1.4176 -1.3569 -1.3063 -1.2661 -1.2348 -1.2097
 -1.1883 -1.1657 -1.1400 -1.1126 -1.0760 -0.9710 -0.8861 -0.8297 -0.7966 -0.7763
 -0.7619 -0.7513 -0.7430 -0.7368 -0.7320 -0.7288 -0.7280 -0.7318 -0.7422 -0.7593
 -1.6510 -1.5850 -1.5207 -1.4588 -1.3994 -1.3434 -1.2922 -1.2471 -1.2093 -1.1775
 -1.1492 -1.1226 -1.0959 -1.0717 -1.0439 -0.9588 -0.8812 -0.8270 -0.7967 -0.7814
 -0.7723 -0.7658 -0.7611 -0.7574 -0.7545 -0.7524 -0.7518 -0.7530 -0.7595 -0.7740
 -0.7956
 -1.5558 -1.5062 -1.4581 -1.4114 -1.3652 -1.3191 -1.2732 -1.2292 -1.1888 -1.1535
 -1.1222 -1.0931 -1.0648 -1.0374 -1.0122 -0.9399 -0.8725 -0.8213 -0.7922 -0.7802
 -0.7765 -0.7756 -0.7755 -0.7757 -0.7759 -0.7762 -0.7769 -0.7788 -0.7829 -0.7918
 -0.8104
 -1.4485 -1.4132 -1.3787 -1.3455 -1.3125 -1.2782 -1.2418 -1.2040 -1.1661 -1.1303
 -1.0976 -1.0679 -1.0397 -1.0120 -0.9864 -0.9196 -0.8596 -0.8129 -0.7844 -0.7736
 -0.7738 -0.7786 -0.7843 -0.7897 -0.7944 -0.7983 -0.8019 -0.8054 -0.8097 -0.8165
 -0.8285
 -1.3376 -1.3139 -1.2902 -1.2674 -1.2454 -1.2222 -1.1968 -1.1680 -1.1367 -1.1044
 -1.0728 -1.0434 -1.0160 -0.9900 -0.9650 -0.9026 -0.8467 -0.8036 -0.7759 -0.7644
 -0.7658 -0.7743 -0.7856 -0.7970 -0.8073 -0.8162 -0.8240 -0.8308 -0.8373 -0.8444
 -0.8524
 -1.2251 -1.2114 -1.1968 -1.1821 -1.1679 -1.1538 -1.1379 -1.1188 -1.0962 -1.0707
 -1.0435 -1.0163 -0.9904 -0.9663 -0.9433 -0.8873 -0.8345 -0.7938 -0.7673 -0.7551
 -0.7556 -0.7652 -0.7800 -0.7966 -0.8129 -0.8277 -0.8409 -0.8524 -0.8627 -0.8724
 -0.8825
 -1.1109 -1.1057 -1.1020 -1.0934 -1.0854 -1.0775 -1.0687 -1.0580 -1.0441 -1.0269
 -1.0066 -0.9845 -0.9617 -0.9397 -0.9213 -0.8737 -0.8230 -0.7835 -0.7586
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value =  G   
 -2.2542 -2.1952 -2.1517 -2.1245 -2.0858 -2.0359 -1.9666 -1.8817 -1.7848 -1.6862
 -1.5870 -1.4886 -1.3947 -1.3075 -1.2126 -1.0406
 -2.1022 -2.0417 -1.9900 -1.9426 -1.8975 -1.8498 -1.7947 -1.7295 -1.6573 -1.5833
 -1.5063 -1.4251 -1.3412 -1.2599 -1.1797 -1.0200 -0.8978 -0.8096 -0.7487
 -1.9971 -1.9203 -1.8560 -1.8001 -1.7495 -1.7021 -1.6553 -1.6039 -1.5496 -1.4941
 -1.4353 -1.3704 -1.2983 -1.2240 -1.1535 -1.0045 -0.8925 -0.8124 -0.7575 -0.7199
 -0.6934
 -1.9389 -1.8310 -1.7497 -1.6970 -1.6419 -1.5929 -1.5484 -1.5049 -1.4617 -1.4186
 -1.3740 -1.3245 -1.2660 -1.1998 -1.1340 -0.9941 -0.8900 -0.8162 -0.7663 -0.7323
 -0.7079 -0.6912 -0.6797
