 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = F200W
  1.8387  1.2540  0.0185 -0.5647  0.4170  1.9322  0.7126 -0.6170 -1.1268 -0.8891
 -0.8349 -0.6861 -0.1358  0.4508  0.7996  0.6455
  1.2637  1.1266  0.6482  0.3978  0.7803  1.5093  1.0548  0.4893  0.1716  0.1281
  0.0693  0.1122  0.3487  0.6075  0.7499  0.6010  0.4303  0.2670  0.1012
  0.8859  0.9445  0.8804  0.8266  0.8847  1.1120  1.0697  0.9561  0.8231  0.7044
  0.6254  0.6115  0.6548  0.7038  0.7137  0.5720  0.4195  0.2574  0.0968 -0.0571
 -0.2059
  0.7053  0.7077  0.7151  0.7217  0.7302  0.7402  0.7573  0.7834  0.8279  0.8397
  0.8335  0.8118  0.7825  0.7396  0.6910  0.5585  0.4028  0.2438  0.0879 -0.0628
 -0.2095 -0.3525 -0.4916
  0.5195  0.5690  0.6090  0.6357  0.6523  0.6632  0.6739  0.6886  0.7093  0.7306
  0.7402  0.7328  0.7128  0.6810  0.6391  0.5180  0.3809  0.2328  0.0807 -0.0689
 -0.2139 -0.3543 -0.4906 -0.6232 -0.7524
  0.3145  0.4006  0.4691  0.5188  0.5513  0.5716  0.5848  0.5964  0.6090  0.6245
  0.6399  0.6467  0.6384  0.6184  0.5859  0.4779  0.3544  0.2173  0.0716 -0.0752
 -0.2184 -0.3569 -0.4910 -0.6212 -0.7479 -0.8715
  0.0904  0.2025  0.2954  0.3710  0.4273  0.4654  0.4900  0.5068  0.5204  0.5332
  0.5465  0.5580  0.5618  0.5539  0.5314  0.4382  0.3233  0.1973  0.0606 -0.0817
 -0.2230 -0.3603 -0.4929 -0.6212 -0.7458 -0.8671 -0.9854 -1.1013 -1.2146 -1.3236
 -0.1527 -0.0253  0.0879  0.1882  0.2714  0.3347  0.3798  0.4101  0.4312  0.4477
  0.4622  0.4747  0.4841  0.4858  0.4756  0.4003  0.2926  0.1737  0.0462 -0.0893
 -0.2275 -0.3637 -0.4953 -0.6225 -0.7455 -0.8649 -0.9811 -1.0947 -1.2060 -1.3150
 -1.4203
 -0.3922 -0.2652 -0.1428 -0.0246  0.0822  0.1727  0.2442  0.2966  0.3332  0.3592
  0.3794  0.3957  0.4088  0.4169  0.4165  0.3639  0.2647  0.1500  0.0286 -0.0993
 -0.2325 -0.3666 -0.4977 -0.6243 -0.7465 -0.8647 -0.9795 -1.0912 -1.2002 -1.3071
 -1.4122
 -0.6231 -0.5031 -0.3807 -0.2563 -0.1342 -0.0206  0.0774  0.1567  0.2165  0.2599
  0.2915  0.3156  0.3343  0.3479  0.3535  0.3248  0.2382  0.1276  0.0090 -0.1138
 -0.2412 -0.3719 -0.5019 -0.6286 -0.7508 -0.8686 -0.9826 -1.0932 -1.2007 -1.3058
 -1.4088
 -0.8427 -0.7286 -0.6100 -0.4875 -0.3588 -0.2334 -0.1155 -0.0112  0.0749  0.1416
  0.1927  0.2308  0.2579  0.2756  0.2852  0.2742  0.2127  0.1089 -0.0070 -0.1269
 -0.2496 -0.3753 -0.5025 -0.6284 -0.7507 -0.8687 -0.9826 -1.0927 -1.1993 -1.3030
 -1.4060
 -1.0517 -0.9417 -0.8266 -0.7070 -0.5805 -0.4523 -0.3240 -0.2033 -0.0947 -0.0050
  0.0664  0.1223  0.1650  0.1963  0.2179  0.2304  0.1850  0.0910 -0.0208 -0.1387
 -0.2588 -0.3807 -0.5040 -0.6276 -0.7494 -0.8678 -0.9821 -1.0924 -1.1989 -1.3022
 -1.4025
 -1.2502 -1.1425 -1.0305 -0.9148 -0.7993 -0.6773 -0.5349 -0.4064 -0.2850 -0.1778
 -0.0855 -0.0070  0.0588  0.1100  0.1514  0.1934  0.1551  0.0739 -0.0324
 [Fe/H] = -3.00 [alpha/Fe] = 0.40 BC value = F200W
  0.6850  0.6688  0.6681  0.7104  0.8352  1.0533  0.9774  0.9238  0.8957  0.8670
  0.7814  0.7097  0.7359  0.7904  0.7944  0.6206
  0.7508  0.7330  0.7233  0.7406  0.8121  0.9485  0.9447  0.9376  0.9312  0.9168
  0.8741  0.8299  0.8159  0.8076  0.7748  0.6042  0.4328  0.2675  0.1063
  0.7762  0.7627  0.7507  0.7523  0.7849  0.8589  0.8953  0.9184  0.9287  0.9269
  0.9134  0.8887  0.8533  0.8076  0.7521  0.5855  0.4206  0.2577  0.0987 -0.0557
 -0.2057
  0.7612  0.7579  0.7503  0.7455  0.7538  0.7845  0.8292  0.8659  0.8883  0.8974
  0.8995  0.8861  0.8482  0.7904  0.7263  0.5645  0.4057  0.2471  0.0908 -0.0611
 -0.2083 -0.3513 -0.4899
  0.7058  0.7186  0.7221  0.7202  0.7187  0.7253  0.7464  0.7803  0.8099  0.8282
  0.8323  0.8220  0.8005  0.7559  0.6974  0.5412  0.3881  0.2357  0.0827 -0.0670
 -0.2120 -0.3526 -0.4889 -0.6217 -0.7512
  0.6100  0.6448  0.6661  0.6764  0.6796  0.6817  0.6884  0.7041  0.7263  0.7472
  0.7569  0.7506  0.7357  0.7066  0.6604  0.5155  0.3675  0.2220  0.0743 -0.0730
 -0.2163 -0.3550 -0.4892 -0.6196 -0.7465 -0.8703
  0.4733  0.5324  0.5766  0.6058  0.6225  0.6304  0.6353  0.6423  0.6540  0.6677
  0.6769  0.6758  0.6632  0.6444  0.6094  0.4856  0.3447  0.2053  0.0643 -0.0790
 -0.2207 -0.3581 -0.4908 -0.6193 -0.7441 -0.8656 -0.9841 -1.1001 -1.2135 -1.3225
  0.3034  0.3833  0.4505  0.5028  0.5389  0.5608  0.5729  0.5802  0.5875  0.5966
