 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = F140M
  2.9393  3.3434  3.4546  2.8913  1.8039  1.2774  1.4433  1.2518  1.0889  1.2760
  1.3452  1.4437  1.6574  1.8235  1.8970  1.7841
  2.4050  2.6644  2.8274  2.6741  2.2623  1.9875  1.9727  1.8143  1.6770  1.6862
  1.6850  1.7178  1.7970  1.8586  1.8721  1.7609  1.6531  1.5399  1.4172
  2.0900  2.2146  2.3392  2.3756  2.3243  2.2218  2.1473  2.0478  1.9611  1.9023
  1.8723  1.8657  1.8663  1.8631  1.8439  1.7375  1.6292  1.5204  1.4055  1.2910
  1.1790
  1.9943  1.9940  1.9900  1.9958  1.9898  1.9802  1.9671  1.9522  1.9412  1.9243
  1.9069  1.8872  1.8653  1.8369  1.8124  1.7139  1.6098  1.5014  1.3910  1.2804
  1.1693  1.0578  0.9459
  1.9983  1.9897  1.9804  1.9764  1.9701  1.9619  1.9499  1.9333  1.9121  1.8886
  1.8654  1.8430  1.8210  1.7969  1.7689  1.6851  1.5886  1.4847  1.3769  1.2684
  1.1601  1.0520  0.9441  0.8362  0.7281
  1.9768  1.9657  1.9551  1.9465  1.9401  1.9335  1.9242  1.9096  1.8895  1.8646
  1.8368  1.8091  1.7829  1.7580  1.7316  1.6564  1.5671  1.4683  1.3638  1.2575
  1.1514  1.0459  0.9411  0.8365  0.7321  0.6276
  1.9298  1.9220  1.9141  1.9061  1.8997  1.8950  1.8900  1.8811  1.8658  1.8441
  1.8173  1.7872  1.7568  1.7283  1.7005  1.6278  1.5453  1.4522  1.3517  1.2477
  1.1432  1.0395  0.9368  0.8348  0.7335  0.6324  0.5314  0.4298  0.3277  0.2286
  1.8572  1.8586  1.8574  1.8539  1.8501  1.8473  1.8459  1.8433  1.8358  1.8209
  1.7989  1.7713  1.7402  1.7084  1.6779  1.6037  1.5244  1.4362  1.3403  1.2392
  1.1361  1.0333  0.9318  0.8317  0.7327  0.6344  0.5367  0.4389  0.3402  0.2410
  0.1443
  1.7572  1.7722  1.7821  1.7874  1.7900  1.7914  1.7934  1.7959  1.7962  1.7905
