 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = F115W
 -0.3264  0.0805  0.7752  1.0557  0.6476  0.1016  0.7525  1.4398  1.6944  1.5750
  1.5486  1.4762  1.1692  0.7935  0.5191  0.4213
  0.3231  0.4466  0.7222  0.8191  0.6500  0.3770  0.6139  0.8946  1.0373  1.0414
  1.0498  1.0068  0.8518  0.6603  0.5156  0.4277  0.3603  0.2949  0.1870
  0.6851  0.6645  0.6991  0.6986  0.6570  0.5577  0.5696  0.6130  0.6611  0.6970
  0.7075  0.6826  0.6234  0.5512  0.4927  0.4145  0.3318  0.2625  0.1797  0.0992
  0.0335
  0.7596  0.7342  0.7059  0.6942  0.6685  0.6437  0.6196  0.5950  0.5658  0.5418
  0.5215  0.5035  0.4839  0.4660  0.4504  0.3817  0.3133  0.2403  0.1645  0.0871
  0.0107 -0.0649 -0.1399
  0.8006  0.7707  0.7395  0.7146  0.6856  0.6572  0.6292  0.6013  0.5729  0.5445
  0.5181  0.4945  0.4720  0.4511  0.4309  0.3682  0.2955  0.2201  0.1440  0.0681
 -0.0070 -0.0813 -0.1546 -0.2276 -0.3013
  0.8155  0.7870  0.7573  0.7276  0.6981  0.6685  0.6388  0.6090  0.5795  0.5501
  0.5209  0.4926  0.4665  0.4413  0.4182  0.3572  0.2835  0.2062  0.1289  0.0528
 -0.0221 -0.0959 -0.1683 -0.2399 -0.3110 -0.3825
  0.8043  0.7831  0.7593  0.7332  0.7059  0.6776  0.6484  0.6181  0.5871  0.5563
  0.5258  0.4958  0.4666  0.4384  0.4123  0.3487  0.2773  0.1986  0.1192  0.0412
 -0.0346 -0.1087 -0.1811 -0.2522 -0.3221 -0.3916 -0.4613 -0.5335 -0.6093 -0.6857
  0.7670  0.7590  0.7455  0.7271  0.7054  0.6811  0.6548  0.6263  0.5958  0.5641
  0.5323  0.5010  0.4703  0.4405  0.4118  0.3447  0.2745  0.1967  0.1155  0.0349
 -0.0433 -0.1190 -0.1924 -0.2639 -0.3338 -0.4023 -0.4698 -0.5383 -0.6099 -0.6852
 -0.7616
