 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = F356W
  4.0627  4.1712  4.1020  3.6071  2.7041  2.1280  2.0238  1.9056  1.8555  1.9006
  1.6241  1.4847  1.8234  2.3234  2.6275  2.4532
  3.6465  3.7178  3.7279  3.5405  3.1531  2.8747  2.7565  2.6108  2.4862  2.4021
  2.2362  2.1662  2.3102  2.5231  2.6370  2.4442  2.2725  2.0988  1.9256
  3.4083  3.4189  3.4304  3.3862  3.2793  3.1724  3.0690  2.9431  2.8174  2.7034
  2.6165  2.5801  2.5994  2.6307  2.6249  2.4348  2.2519  2.0774  1.9100  1.7520
  1.6010
  3.3481  3.2745  3.2095  3.1442  3.0826  3.0212  2.9613  2.9023  2.8494  2.8044
  2.7650  2.7265  2.6911  2.6464  2.5912  2.4250  2.2314  2.0595  1.8952  1.7369
  1.5855  1.4408  1.3015
  3.2559  3.2039  3.1536  3.1005  3.0455  2.9885  2.9309  2.8735  2.8169  2.7633
  2.7159  2.6736  2.6341  2.5922  2.5444  2.4000  2.2251  2.0498  1.8832  1.7253
  1.5750  1.4312  1.2932  1.1601  1.0310
  3.1560  3.1199  3.0818  3.0403  2.9943  2.9445  2.8921  2.8386  2.7846  2.7309
  2.6792  2.6312  2.5879  2.5481  2.5028  2.3731  2.2151  2.0426  1.8750  1.7166
  1.5665  1.4232  1.2860  1.1541  1.0267  0.9030
  3.0485  3.0225  2.9941  2.9636  2.9290  2.8892  2.8449  2.7976  2.7484  2.6980
  2.6472  2.5976  2.5508  2.5088  2.4664  2.3443  2.2014  2.0379  1.8706  1.7108
  1.5600  1.4168  1.2800  1.1488  1.0226  0.9005  0.7819  0.6665  0.5541  0.4443
  2.9334  2.9117  2.8905  2.8698  2.8468  2.8191  2.7862  2.7479  2.7059  2.6612
  2.6145  2.5667  2.5193  2.4748  2.4324  2.3190  2.1840  2.0322  1.8694  1.7085
  1.5560  1.4120  1.2751  1.1443  1.0187  0.8977  0.7806  0.6668  0.5561  0.4480
  0.3420
  2.8136  2.7935  2.7764  2.7621  2.7483  2.7324  2.7122  2.6861  2.6541  2.6176
  2.5777  2.5348  2.4898  2.4446  2.4016  2.2936  2.1675  2.0236  1.8688  1.7097
  1.5554  1.4094  1.2717  1.1405  1.0151  0.8946  0.7783  0.6659  0.5568  0.4504
  0.3462
  2.7055  2.6771  2.6567  2.6435  2.6354  2.6287  2.6202  2.6072  2.5880  2.5627
  2.5321  2.4969  2.4576  2.4154  2.3733  2.2669  2.1495  2.0126  1.8641  1.7100
  1.5558  1.4075  1.2676  1.1352  1.0093  0.8887  0.7727  0.6609  0.5527  0.4475
  0.3452
  2.6060  2.5709  2.5455  2.5288  2.5212  2.5182  2.5171  2.5148  2.5086  2.4959
