 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = F210M
  1.8863  1.5111  0.5146 -0.2460  0.2013  1.5617  0.6140 -0.5784 -1.1072 -0.9428
 -0.8572 -0.6526 -0.1341  0.3896  0.6744  0.5094
  1.2245  1.1893  0.8349  0.5214  0.6761  1.3184  0.9539  0.4322  0.1101  0.0493
  0.0113  0.0786  0.2985  0.5232  0.6323  0.4736  0.3011  0.1376 -0.0245
  0.8144  0.9022  0.8810  0.8193  0.8259  1.0160  0.9709  0.8530  0.7207  0.6085
  0.5394  0.5307  0.5672  0.6024  0.5998  0.4494  0.2910  0.1273 -0.0333 -0.1884
 -0.3396
  0.6560  0.6498  0.6529  0.6477  0.6508  0.6544  0.6650  0.6840  0.7246  0.7348
  0.7272  0.7038  0.6721  0.6273  0.5769  0.4368  0.2749  0.1124 -0.0452 -0.1970
 -0.3443 -0.4878 -0.6271
  0.4350  0.4873  0.5304  0.5554  0.5700  0.5768  0.5823  0.5912  0.6066  0.6248
  0.6331  0.6246  0.6029  0.5694  0.5259  0.3993  0.2558  0.1028 -0.0522 -0.2034
 -0.3493 -0.4904 -0.6271 -0.7600 -0.8896
  0.2021  0.2973  0.3735  0.4283  0.4627  0.4820  0.4921  0.4995  0.5078  0.5194
  0.5326  0.5386  0.5295  0.5081  0.4739  0.3615  0.2320  0.0893 -0.0604 -0.2095
 -0.3540 -0.4934 -0.6281 -0.7587 -0.8857 -1.0095
 -0.0428  0.0798  0.1822  0.2664  0.3289  0.3700  0.3944  0.4089  0.4191  0.4285
  0.4389  0.4492  0.4528  0.4445  0.4209  0.3234  0.2035  0.0719 -0.0698 -0.2153
 -0.3584 -0.4968 -0.6300 -0.7588 -0.8837 -1.0052 -1.1238 -1.2399 -1.3533 -1.4627
 -0.2996 -0.1652 -0.0435  0.0667  0.1592  0.2295  0.2784  0.3093  0.3288  0.3426
  0.3543  0.3649  0.3737  0.3759  0.3658  0.2872  0.1747  0.0507 -0.0819 -0.2214
 -0.3623 -0.4999 -0.6323 -0.7600 -0.8833 -1.0030 -1.1194 -1.2331 -1.3445 -1.4537
 -1.5593
 -0.5431 -0.4157 -0.2889 -0.1629 -0.0463  0.0538  0.1330  0.1900  0.2279  0.2527
  0.2708  0.2850  0.2966  0.3047  0.3056  0.2521  0.1484  0.0289 -0.0972 -0.2295
 -0.3660 -0.5022 -0.6344 -0.7616 -0.8841 -1.0024 -1.1174 -1.2292 -1.3383 -1.4453
 -1.5505
 -0.7768 -0.6591 -0.5356 -0.4071 -0.2781 -0.1550 -0.0473  0.0400  0.1050  0.1501
  0.1812  0.2037  0.2207  0.2335  0.2397  0.2134  0.1233  0.0081 -0.1150 -0.2420
 -0.3732 -0.5065 -0.6381 -0.7655 -0.8879 -1.0059 -1.1199 -1.2304 -1.3380 -1.4432
 -1.5461
 -1.0014 -0.8881 -0.7694 -0.6460 -0.5134 -0.3817 -0.2549 -0.1411 -0.0469  0.0253
  0.0785  0.1165  0.1425  0.1594  0.1691  0.1603  0.0989 -0.0092 -0.1294 -0.2533
 -0.3797 -0.5086 -0.6380 -0.7651 -0.8878 -1.0058 -1.1196 -1.2294 -1.3358 -1.4393
 -1.5423
 -1.2090 -1.1027 -0.9891 -0.8692 -0.7413 -0.6100 -0.4758 -0.3470 -0.2294 -0.1331
 -0.0574  0.0011  0.0454  0.0780  0.1009  0.1164  0.0712 -0.0259 -0.1419 -0.2637
 -0.3873 -0.5124 -0.6383 -0.7638 -0.8865 -1.0051 -1.1193 -1.2291 -1.3351 -1.4379
 -1.5378
 -1.3998 -1.3028 -1.1947 -1.0767 -0.9618 -0.8399 -0.6950 -0.5609 -0.4324 -0.3182
 -0.2195 -0.1350 -0.0636 -0.0107  0.0352  0.0816  0.0402 -0.0420 -0.1525
 [Fe/H] = -3.00 [alpha/Fe] = 0.40 BC value = F210M
  0.6921  0.6600  0.6481  0.6724  0.7703  0.9927  0.9405  0.8759  0.8224  0.7730
  0.6860  0.6210  0.6404  0.6798  0.6725  0.4937
  0.7559  0.7243  0.7031  0.7047  0.7551  0.8855  0.8875  0.8724  0.8518  0.8248
  0.7768  0.7308  0.7105  0.6934  0.6538  0.4782  0.3043  0.1376 -0.0245
  0.7749  0.7502  0.7274  0.7158  0.7323  0.7946  0.8253  0.8416  0.8446  0.8354
  0.8146  0.7832  0.7419  0.6914  0.6322  0.4607  0.2920  0.1268 -0.0336 -0.1889
 -0.3395
  0.7491  0.7377  0.7210  0.7057  0.7021  0.7200  0.7539  0.7835  0.8008  0.8047
  0.7996  0.7783  0.7347  0.6739  0.6077  0.4412  0.2779  0.1161 -0.0422 -0.1952
 -0.3432 -0.4867 -0.6258
  0.6785  0.6868  0.6839  0.6744  0.6644  0.6617  0.6733  0.6980  0.7203  0.7328
  0.7317  0.7160  0.6888  0.6409  0.5803  0.4197  0.2620  0.1055 -0.0502 -0.2015
 -0.3475 -0.4887 -0.6255 -0.7586 -0.8884
  0.5631  0.5975  0.6161  0.6219  0.6192  0.6144  0.6136  0.6219  0.6373  0.6519
  0.6563  0.6456  0.6260  0.5931  0.5448  0.3960  0.2436  0.0935 -0.0579 -0.2073
 -0.3519 -0.4914 -0.6262 -0.7570 -0.8842 -1.0083
  0.4035  0.4655  0.5112  0.5396  0.5534  0.5569  0.5565  0.5577  0.5637  0.5725
  0.5775  0.5725  0.5563  0.5334  0.4959  0.3678  0.2229  0.0790 -0.0664 -0.2127
 -0.3561 -0.4945 -0.6279 -0.7569 -0.8820 -1.0037 -1.1225 -1.2387 -1.3522 -1.4615
  0.2113  0.2946  0.3660  0.4214  0.4584  0.4791  0.4884  0.4917  0.4945  0.4994
  0.5036  0.5026  0.4916  0.4729  0.4434  0.3335  0.1998  0.0619 -0.0769 -0.2184
 -0.3597 -0.4974 -0.6300 -0.7579 -0.8814 -1.0013 -1.1181 -1.2320 -1.3434 -1.4525
 -1.5581
  0.0717  0.1216  0.1870  0.2662  0.3290  0.3729  0.3998  0.4141  0.4208  0.4251
  0.4292  0.4313  0.4274  0.4143  0.3927  0.2980  0.1752  0.0433 -0.0864 -0.2255
 -0.3620 -0.4996 -0.6320 -0.7593 -0.8820 -1.0006 -1.1157 -1.2279 -1.3375 -1.4447
 -1.5494
 -0.2131 -0.0914  0.0058  0.0808  0.1646  0.2333  0.2830  0.3156  0.3345  0.3449
  0.3513  0.3556  0.3569  0.3522  0.3398  0.2624  0.1497  0.0234 -0.1061 -0.2368
 -0.3698 -0.5038 -0.6356 -0.7632 -0.8858 -1.0039 -1.1181 -1.2289 -1.3366 -1.4418
 -1.5450
 -0.4019 -0.2974 -0.2044 -0.1218 -0.0241  0.0613  0.1340  0.1891  0.2272  0.2511
  0.2654  0.2742  0.2798  0.2819  0.2786  0.2265  0.1263  0.0067 -0.1195 -0.2471
 -0.3756 -0.5056 -0.6355 -0.7628 -0.8857 -1.0038 -1.1177 -1.2277 -1.3343 -1.4380
 -1.5411
 -0.5864 -0.4966 -0.4044 -0.3100 -0.2104 -0.1105 -0.0210  0.0311  0.0916  0.1352
  0.1646  0.1834  0.1956  0.2035  0.2074  0.1841  0.1013 -0.0096 -0.1316 -0.2569
 -0.3826 -0.5090 -0.6356 -0.7615 -0.8844 -1.0031 -1.1174 -1.2274 -1.3336 -1.4365
 -1.5365
 -0.7665 -0.6889 -0.5940 -0.4839 -0.3941 -0.2822 -0.2185 -0.1275 -0.0505 -0.0087
  0.0407  0.0760  0.1000  0.1164  0.1262  0.1352  0.0747 -0.0255 -0.1424
 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = F210M
  0.6230  0.6452  0.7616  0.8807  0.9148  0.9244  1.0026  1.1000  1.1274  1.0673
  0.9774  0.8821  0.8090  0.7478  0.6790  0.4978
  0.7034  0.6916  0.7320  0.7872  0.8209  0.8520  0.9092  0.9685  0.9933  0.9742
  0.9295  0.8666  0.7994  0.7319  0.6611  0.4820  0.3074  0.1394 -0.0231
  0.7547  0.7237  0.7145  0.7239  0.7487  0.7853  0.8260  0.8619  0.8854  0.8917
  0.8771  0.8392  0.7815  0.7135  0.6427  0.4662  0.2946  0.1285 -0.0321 -0.1875
 -0.3380
  0.7769  0.7415  0.7091  0.6908  0.6982  0.7243  0.7530  0.7802  0.8037  0.8198
  0.8202  0.7999  0.7553  0.6926  0.6238  0.4504  0.2818  0.1182 -0.0404 -0.1935
 -0.3416 -0.4852 -0.6249
  0.7700  0.7450  0.7158  0.6879  0.6694  0.6690  0.6902  0.7234  0.7482  0.7585
  0.7588  0.7487  0.7208  0.6692  0.6044  0.4346  0.2690  0.1085 -0.0480 -0.1995
 -0.3456 -0.4869 -0.6238 -0.7570 -0.8869
  0.7257  0.7185  0.7019  0.6802  0.6581  0.6427  0.6402  0.6521  0.6742  0.6956
  0.7019  0.6925  0.6741  0.6380  0.5822  0.4184  0.2555  0.0984 -0.0551 -0.2050
 -0.3497 -0.4893 -0.6243 -0.7552 -0.8826 -1.0069
  0.6353  0.6527  0.6564  0.6495  0.6359  0.6201  0.6081  0.6049  0.6107  0.6202
  0.6278  0.6262  0.6128  0.5894  0.5486  0.4007  0.2413  0.0874 -0.0624 -0.2100
 -0.3537 -0.4922 -0.6257 -0.7549 -0.8802 -1.0021 -1.1210 -1.2374 -1.3510 -1.4603
  0.4987  0.5424  0.5715  0.5864  0.5891  0.5832  0.5732  0.5646  0.5609  0.5621
  0.5629  0.5582  0.5456  0.5275  0.4978  0.3761  0.2257  0.0750 -0.0709 -0.2149
 -0.3570 -0.4949 -0.6277 -0.7557 -0.8794 -0.9995 -1.1165 -1.2305 -1.3421 -1.4513
 -1.5568
  0.3277  0.3914  0.4449  0.4851  0.5099  0.5212  0.5223  0.5177  0.5120  0.5083
  0.5063  0.5013  0.4888  0.4692  0.4442  0.3409  0.2059  0.0613 -0.0810 -0.2208
 -0.3600 -0.4969 -0.6294 -0.7570 -0.8798 -0.9986 -1.1139 -1.2261 -1.3356 -1.4428
 -1.5481
  0.1416  0.2153  0.2843  0.3464  0.3949  0.4282  0.4466  0.4538  0.4537  0.4506
  0.4473  0.4433  0.4349  0.4187  0.3960  0.3032  0.1801  0.0437 -0.0944 -0.2305
 -0.3659 -0.5008 -0.6330 -0.7607 -0.8835 -1.0018 -1.1162 -1.2272 -1.3351 -1.4404
 -1.5437
 -0.0452  0.0290  0.1035  0.1785  0.2467  0.3013  0.3413  0.3658  0.3781  0.3821
  0.3815  0.3789  0.3744  0.3650  0.3487  0.2693  0.1559  0.0273 -0.1063 -0.2392
 -0.3708 -0.5022 -0.6327 -0.7602 -0.8832 -1.0016 -1.1157 -1.2259 -1.3327 -1.4366
 -1.5398
