 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = F250M
 -1.6234 -1.5457 -1.8553 -2.6922 -3.6099 -3.7559 -4.1946 -4.5038 -4.3801 -3.8558
 -4.1424 -4.7443 -4.4275 -3.5260 -2.8743 -3.0594
 -2.3973 -2.2555 -2.2779 -2.5464 -2.9054 -2.9311 -3.1230 -3.2990 -3.3507 -3.2758
 -3.4691 -3.7333 -3.5998 -3.1869 -2.8920 -3.0780 -3.3110 -3.4414 -3.6294
 -2.7931 -2.6811 -2.5978 -2.5961 -2.6512 -2.6324 -2.6815 -2.7567 -2.8464 -2.9442
 -3.0424 -3.1096 -3.0835 -2.9828 -2.9216 -3.0968 -3.3111 -3.4577 -3.6206 -3.7757
 -3.9182
 -2.8108 -2.8225 -2.8150 -2.8413 -2.8472 -2.8597 -2.8701 -2.8769 -2.8672 -2.8609
 -2.8622 -2.8732 -2.8787 -2.9136 -2.9631 -3.1158 -3.2918 -3.4605 -3.6219 -3.7765
 -3.9265 -4.0710 -4.2112
 -3.0182 -2.9742 -2.9313 -2.9142 -2.9046 -2.9078 -2.9174 -2.9275 -2.9333 -2.9318
 -2.9290 -2.9352 -2.9461 -2.9707 -3.0121 -3.1460 -3.3040 -3.4682 -3.6297 -3.7846
 -3.9332 -4.0761 -4.2143 -4.3483 -4.4786
 -3.2291 -3.1477 -3.0778 -3.0261 -2.9949 -2.9816 -2.9819 -2.9884 -2.9962 -3.0016
 -3.0026 -3.0034 -3.0122 -3.0267 -3.0607 -3.1783 -3.3211 -3.4776 -3.6365 -3.7909
 -3.9387 -4.0805 -4.2171 -4.3493 -4.4776 -4.6026
 -3.4436 -3.3430 -3.2545 -3.1770 -3.1181 -3.0811 -3.0636 -3.0596 -3.0626 -3.0677
 -3.0722 -3.0746 -3.0778 -3.0850 -3.1089 -3.2127 -3.3431 -3.4887 -3.6423 -3.7954
 -3.9430 -4.0842 -4.2197 -4.3505 -4.4770 -4.6000 -4.7200 -4.8371 -4.9511 -5.0614
 -3.6618 -3.5601 -3.4614 -3.3655 -3.2806 -3.2147 -3.1706 -3.1471 -3.1382 -3.1372
 -3.1393 -3.1423 -3.1450 -3.1482 -3.1603 -3.2448 -3.3672 -3.5033 -3.6489 -3.7986
 -3.9458 -4.0870 -4.2221 -4.3518 -4.4770 -4.5983 -4.7163 -4.8313 -4.9438 -5.0537
 -5.1603
 -3.8664 -3.7774 -3.6813 -3.5790 -3.4775 -3.3862 -3.3122 -3.2605 -3.2304 -3.2161
 -3.2103 -3.2091 -3.2104 -3.2128 -3.2174 -3.2769 -3.3894 -3.5199 -3.6579 -3.8017
 -3.9468 -4.0883 -4.2237 -4.3532 -4.4775 -4.5976 -4.7140 -4.8272 -4.9376 -5.0456
 -5.1515
 -4.0618 -3.9859 -3.8982 -3.8000 -3.6952 -3.5883 -3.4903 -3.4092 -3.3499 -3.3127
 -3.2920 -3.2812 -3.2767 -3.2759 -3.2780 -3.3140 -3.4114 -3.5368 -3.6707 -3.8086
 -3.9497 -4.0903 -4.2264 -4.3566 -4.4810 -4.6005 -4.7160 -4.8278 -4.9366 -5.0428
 -5.1466
 -4.2544 -4.1819 -4.1005 -4.0112 -3.9087 -3.8015 -3.6919 -3.5891 -3.5019 -3.4358
 -3.3914 -3.3641 -3.3492 -3.3424 -3.3408 -3.3634 -3.4338 -3.5506 -3.6809 -3.8149
 -3.9510 -4.0884 -4.2239 -4.3549 -4.4802 -4.6000 -4.7151 -4.8261 -4.9336 -5.0380
 -5.1420
 -4.4290 -4.3654 -4.2907 -4.2062 -4.1110 -4.0093 -3.8996 -3.7890 -3.6835 -3.5970
 -3.5301 -3.4798 -3.4432 -3.4181 -3.4027 -3.4043 -3.4613 -3.5651 -3.6901 -3.8213
 -3.9540 -4.0875 -4.2206 -4.3514 -4.4776 -4.5985 -4.7142 -4.8252 -4.9322 -5.0357
 -5.1363
 -4.5857 -4.5364 -4.4688 -4.3850 -4.3021 -4.2117 -4.0996 -3.9898 -3.8803 -3.7807
 -3.6926 -3.6151 -3.5474 -3.5030 -3.4636 -3.4369 -3.4939 -3.5803 -3.6983
 [Fe/H] = -3.00 [alpha/Fe] = 0.40 BC value = F250M
 -2.9469 -2.9899 -3.0328 -3.0800 -3.1113 -3.0144 -2.9538 -2.8810 -2.8140 -2.7920
 -2.9133 -3.0948 -3.1206 -2.9972 -2.9217 -3.0755
 -2.8679 -2.9035 -2.9420 -2.9844 -3.0174 -2.9807 -2.9536 -2.9145 -2.8739 -2.8509
 -2.8860 -2.9515 -2.9689 -2.9375 -2.9335 -3.0924 -3.2623 -3.4315 -3.5964
 -2.8298 -2.8549 -2.8855 -2.9204 -2.9517 -2.9544 -2.9512 -2.9368 -2.9169 -2.8973
 -2.8829 -2.8778 -2.8852 -2.9080 -2.9486 -3.1093 -3.2764 -3.4454 -3.6089 -3.7657
 -3.9172
 -2.8326 -2.8441 -2.8633 -2.8880 -2.9141 -2.9355 -2.9466 -2.9479 -2.9429 -2.9312
 -2.9041 -2.8737 -2.8694 -2.9086 -2.9670 -3.1262 -3.2899 -3.4571 -3.6194 -3.7752
 -3.9249 -4.0696 -4.2098
 -2.8763 -2.8711 -2.8754 -2.8872 -2.9046 -2.9240 -2.9398 -2.9480 -2.9520 -2.9525
 -2.9495 -2.9393 -2.9216 -2.9393 -2.9887 -3.1431 -3.3028 -3.4666 -3.6279 -3.7829
 -3.9314 -4.0744 -4.2126 -4.3468 -4.4773
 -2.9609 -2.9359 -2.9218 -2.9180 -2.9232 -2.9347 -2.9490 -2.9608 -2.9673 -2.9685
 -2.9725 -2.9809 -2.9773 -2.9830 -3.0197 -3.1613 -3.3165 -3.4753 -3.6345 -3.7888
 -3.9367 -4.0785 -4.2152 -4.3475 -4.4761 -4.6013
 -3.0837 -3.0403 -3.0047 -2.9811 -2.9697 -2.9693 -2.9763 -2.9868 -2.9963 -3.0025
 -3.0072 -3.0151 -3.0275 -3.0293 -3.0594 -3.1840 -3.3321 -3.4847 -3.6399 -3.7932
 -3.9407 -4.0820 -4.2176 -4.3485 -4.4753 -4.5985 -4.7187 -4.8359 -4.9500 -5.0602
 -3.2327 -3.1785 -3.1259 -3.0802 -3.0477 -3.0299 -3.0243 -3.0277 -3.0353 -3.0432
 -3.0502 -3.0578 -3.0699 -3.0779 -3.1009 -3.2115 -3.3502 -3.4960 -3.6455 -3.7961
 -3.9434 -4.0846 -4.2198 -4.3497 -4.4751 -4.5966 -4.7149 -4.8302 -4.9427 -5.0526
 -5.1592
 -3.3206 -3.3130 -3.2768 -3.2149 -3.1610 -3.1216 -3.0978 -3.0879 -3.0879 -3.0932
 -3.1001 -3.1077 -3.1175 -3.1292 -3.1441 -3.2403 -3.3699 -3.5097 -3.6510 -3.7987
 -3.9434 -4.0859 -4.2213 -4.3509 -4.4754 -4.5957 -4.7123 -4.8258 -4.9366 -5.0448
 -5.1504
 -3.5560 -3.4844 -3.4251 -3.3768 -3.3089 -3.2484 -3.2034 -3.1741 -3.1599 -3.1565
 -3.1591 -3.1649 -3.1725 -3.1822 -3.1927 -3.2713 -3.3907 -3.5253 -3.6640 -3.8048
 -3.9470 -4.0878 -4.2240 -4.3543 -4.4788 -4.5985 -4.7141 -4.8262 -4.9352 -5.0415
 -5.1455
 -3.7062 -3.6511 -3.5995 -3.5511 -3.4774 -3.4071 -3.3424 -3.2921 -3.2579 -3.2390
 -3.2315 -3.2313 -3.2352 -3.2416 -3.2493 -3.3053 -3.4105 -3.5382 -3.6733 -3.8101
 -3.9478 -4.0858 -4.2216 -4.3527 -4.4780 -4.5979 -4.7132 -4.8244 -4.9320 -5.0367
 -5.1408
 -3.8491 -3.8130 -3.7658 -3.7086 -3.6399 -3.5620 -3.4861 -3.4432 -3.3878 -3.3485
 -3.3244 -3.3122 -3.3083 -3.3093 -3.3135 -3.3476 -3.4336 -3.5516 -3.6820 -3.8159
 -3.9503 -4.0847 -4.2182 -4.3492 -4.4755 -4.5964 -4.7123 -4.8234 -4.9306 -5.0343
 -5.1350
 -3.9845 -3.9703 -3.9241 -3.8494 -3.7965 -3.7131 -3.6694 -3.5919 -3.5240 -3.4890
 -3.4447 -3.4146 -3.3970 -3.3884 -3.3853 -3.3982 -3.4600 -3.5655 -3.6901
 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = F250M
 -3.0613 -3.1081 -3.1075 -3.0479 -2.9589 -2.8667 -2.7655 -2.6688 -2.6245 -2.6602
 -2.7158 -2.7895 -2.8622 -2.8994 -2.9500 -3.0966
 -2.9487 -2.9932 -3.0168 -3.0102 -2.9832 -2.9448 -2.8935 -2.8369 -2.7968 -2.7865
 -2.7885 -2.8099 -2.8533 -2.9017 -2.9601 -3.1137 -3.2654 -3.4303 -3.5908
 -2.8711 -2.9103 -2.9467 -2.9732 -2.9874 -2.9873 -2.9731 -2.9477 -2.9167 -2.8844
 -2.8565 -2.8435 -2.8611 -2.9095 -2.9705 -3.1283 -3.2817 -3.4445 -3.6061 -3.7630
 -3.9157
 -2.8285 -2.8594 -2.8972 -2.9369 -2.9715 -2.9942 -3.0043 -3.0012 -2.9842 -2.9539
 -2.9198 -2.8903 -2.8856 -2.9228 -2.9812 -3.1404 -3.2956 -3.4564 -3.6179 -3.7735
 -3.9233 -4.0681 -4.2084
 -2.8209 -2.8405 -2.8683 -2.9013 -2.9355 -2.9655 -2.9871 -2.9974 -2.9993 -2.9950
 -2.9784 -2.9503 -2.9268 -2.9416 -2.9922 -3.1500 -3.3071 -3.4660 -3.6263 -3.7810
 -3.9296 -4.0727 -4.2110 -4.3453 -4.4760
