 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = F360M
  1.2570  1.3586  1.2890  0.8079 -0.0482 -0.5548 -0.6031 -0.7489 -0.8765 -0.8958
 -1.0345 -1.0058 -0.7195 -0.3902 -0.2248 -0.3954
  0.8652  0.9299  0.9316  0.7431  0.3677  0.1084  0.0052 -0.1604 -0.3151 -0.4090
 -0.5054 -0.5021 -0.3848 -0.2589 -0.2141 -0.4068 -0.5809 -0.7570 -0.9259
  0.6265  0.6319  0.6345  0.5835  0.4720  0.3602  0.2522  0.1144 -0.0165 -0.1205
 -0.1851 -0.2055 -0.1973 -0.1968 -0.2258 -0.4173 -0.6008 -0.7759 -0.9433 -1.1014
 -1.2524
  0.5409  0.4646  0.3977  0.3291  0.2648  0.2006  0.1379  0.0755  0.0191 -0.0302
 -0.0737 -0.1161 -0.1571 -0.2038 -0.2599 -0.4269 -0.6213 -0.7935 -0.9580 -1.1166
 -1.2679 -1.4131 -1.5532
  0.4458  0.3906  0.3377  0.2815  0.2238  0.1642  0.1041  0.0440 -0.0157 -0.0727
 -0.1237 -0.1694 -0.2126 -0.2571 -0.3060 -0.4514 -0.6274 -0.8033 -0.9702 -1.1283
 -1.2788 -1.4229 -1.5612 -1.6946 -1.8239
  0.3446  0.3048  0.2635  0.2189  0.1701  0.1178  0.0630  0.0072 -0.0493 -0.1057
 -0.1603 -0.2111 -0.2572 -0.3001 -0.3467 -0.4778 -0.6370 -0.8104 -0.9785 -1.1371
 -1.2875 -1.4310 -1.5683 -1.7005 -1.8282 -1.9521
  0.2374  0.2072  0.1751  0.1413  0.1038  0.0614  0.0146 -0.0349 -0.0863 -0.1390
 -0.1921 -0.2440 -0.2931 -0.3379 -0.3820 -0.5061 -0.6501 -0.8148 -0.9829 -1.1430
 -1.2940 -1.4374 -1.5744 -1.7057 -1.8322 -1.9545 -2.0733 -2.1890 -2.3018 -2.4117
  0.1241  0.0978  0.0725  0.0481  0.0218 -0.0087 -0.0442 -0.0848 -0.1290 -0.1758
 -0.2246 -0.2744 -0.3237 -0.3703 -0.4146 -0.5307 -0.6669 -0.8199 -0.9838 -1.1454
 -1.2981 -1.4423 -1.5793 -1.7103 -1.8360 -1.9572 -2.0746 -2.1885 -2.2995 -2.4078
 -2.5139
  0.0070 -0.0178 -0.0393 -0.0578 -0.0753 -0.0944 -0.1175 -0.1461 -0.1803 -0.2190
 -0.2609 -0.3057 -0.3525 -0.3995 -0.4442 -0.5552 -0.6828 -0.8279 -0.9839 -1.1439
 -1.2988 -1.4449 -1.5828 -1.7140 -1.8396 -1.9602 -2.0766 -2.1892 -2.2985 -2.4051
 -2.5094
 -0.0973 -0.1309 -0.1561 -0.1737 -0.1858 -0.1961 -0.2079 -0.2237 -0.2454 -0.2730
 -0.3057 -0.3429 -0.3840 -0.4278 -0.4714 -0.5811 -0.7003 -0.8383 -0.9880 -1.1432
 -1.2983 -1.4470 -1.5870 -1.7194 -1.8454 -1.9661 -2.0822 -2.1942 -2.3025 -2.4078
 -2.5103
 -0.1935 -0.2337 -0.2639 -0.2851 -0.2970 -0.3040 -0.3088 -0.3143 -0.3233 -0.3384
 -0.3607 -0.3890 -0.4218 -0.4579 -0.4963 -0.6012 -0.7183 -0.8478 -0.9910 -1.1406
 -1.2924 -1.4419 -1.5846 -1.7192 -1.8465 -1.9678 -2.0840 -2.1958 -2.3036 -2.4079
 -2.5112
 -0.2766 -0.3262 -0.3633 -0.3891 -0.4052 -0.4136 -0.4157 -0.4157 -0.4159 -0.4206
 -0.4309 -0.4468 -0.4684 -0.4955 -0.5280 -0.6267 -0.7392 -0.8598 -0.9958 -1.1399
 -1.2872 -1.4345 -1.5784 -1.7158 -1.8455 -1.9683 -2.0854 -2.1975 -2.3053 -2.4094
 -2.5102
 -0.3466 -0.4085 -0.4543 -0.4857 -0.5104 -0.5249 -0.5222 -0.5212 -0.5178 -0.5162
 -0.5173 -0.5208 -0.5266 -0.5406 -0.5667 -0.6574 -0.7630 -0.8743 -1.0024
