 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  v   
-10.0725 -7.7745 -5.5527 -5.5986 -8.7868-14.4618-12.4443 -8.3025 -5.2858 -4.6394
 -4.4206 -4.3909 -5.3620 -6.1768 -6.4411 -5.2245
-10.7781 -9.3826 -7.9822 -7.6597 -8.7863-11.3706-10.5731 -8.8404 -7.3714 -6.7288
 -6.3311 -6.1380 -6.3897 -6.5680 -6.4202 -5.1787 -4.4363 -3.9058 -3.7951
-10.7521 -9.9665 -9.1593 -8.6718 -8.6121 -9.1974 -8.9846 -8.5615 -8.0534 -7.5638
 -7.1669 -6.8967 -6.7243 -6.5144 -6.1711 -5.0135 -4.1971 -3.7103 -3.4295 -3.1697
 -2.7517
 -9.9945 -9.5262 -9.0840 -8.6349 -8.2645 -7.9423 -7.6788 -7.4658 -7.3319 -7.1441
 -6.9281 -6.6670 -6.3658 -6.0161 -5.6938 -4.7289 -4.0300 -3.5262 -3.1585 -2.8831
 -2.6707 -2.4992 -2.3563
 -9.6039 -9.1819 -8.7727 -8.3614 -7.9791 -7.6238 -7.3064 -7.0317 -6.7949 -6.5821
 -6.3713 -6.1407 -5.8829 -5.5976 -5.2973 -4.5253 -3.8809 -3.4205 -3.0943 -2.8530
 -2.6653 -2.5125 -2.3841 -2.2730 -2.1740
 -9.2234 -8.8394 -8.4605 -8.0829 -7.7079 -7.3436 -6.9993 -6.6865 -6.4096 -6.1638
 -5.9379 -5.7172 -5.4855 -5.2392 -4.9806 -4.3465 -3.7703 -3.3461 -3.0489 -2.8326
 -2.6651 -2.5285 -2.4131 -2.3132 -2.2247 -2.1449
 -8.8532 -8.4987 -8.1474 -7.7994 -7.4509 -7.1017 -6.7575 -6.4302 -6.1306 -5.8624
 -5.6222 -5.4004 -5.1860 -4.9688 -4.7437 -4.1925 -3.6982 -3.3030 -3.0223 -2.8219
 -2.6701 -2.5472 -2.4434 -2.3535 -2.2741 -2.2029 -2.1388 -2.0798 -2.0260 -1.9835
