 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = F335M
 -2.6445 -2.3636 -2.3223 -2.8385 -3.9246 -4.9361 -5.3205 -5.5778 -5.6192 -5.4723
 -5.8146 -5.9506 -5.3651 -4.5594 -4.0619 -4.2305
 -3.1029 -2.9478 -2.8681 -3.0294 -3.4631 -3.9117 -4.1394 -4.3640 -4.5303 -4.6235
 -4.8397 -4.9022 -4.6328 -4.2656 -4.0535 -4.2410 -4.4174 -4.5894 -4.7593
 -3.3552 -3.3167 -3.2710 -3.2809 -3.3718 -3.5025 -3.6207 -3.7778 -3.9459 -4.1010
 -4.2144 -4.2428 -4.1785 -4.0941 -4.0658 -4.2517 -4.4347 -4.6088 -4.7756 -4.9325
 -5.0838
 -3.4014 -3.4703 -3.5310 -3.5930 -3.6505 -3.7084 -3.7644 -3.8191 -3.8661 -3.9049
 -3.9386 -3.9724 -4.0023 -4.0449 -4.0988 -4.2626 -4.4548 -4.6264 -4.7903 -4.9476
 -5.0987 -5.2435 -5.3828
 -3.4865 -3.5346 -3.5814 -3.6315 -3.6832 -3.7370 -3.7912 -3.8450 -3.8975 -3.9466
 -3.9892 -4.0270 -4.0619 -4.1006 -4.1468 -4.2885 -4.4613 -4.6356 -4.8018 -4.9592
 -5.1092 -5.2527 -5.3906 -5.5236 -5.6527
 -3.5825 -3.6148 -3.6496 -3.6882 -3.7313 -3.7782 -3.8276 -3.8780 -3.9289 -3.9793
 -4.0275 -4.0717 -4.1113 -4.1472 -4.1902 -4.3166 -4.4720 -4.6428 -4.8097 -4.9678
 -5.1176 -5.2605 -5.3974 -5.5292 -5.6565 -5.7800
 -3.6894 -3.7109 -3.7356 -3.7631 -3.7949 -3.8320 -3.8736 -3.9181 -3.9645 -4.0122
 -4.0602 -4.1070 -4.1508 -4.1893 -4.2290 -4.3469 -4.4869 -4.6480 -4.8140 -4.9734
 -5.1239 -5.2669 -5.4033 -5.5342 -5.6603 -5.7821 -5.9005 -6.0159 -6.1284 -6.2380
 -3.8071 -3.8229 -3.8394 -3.8565 -3.8765 -3.9016 -3.9320 -3.9677 -4.0071 -4.0491
 -4.0934 -4.1388 -4.1837 -4.2257 -4.2654 -4.3739 -4.5058 -4.6548 -4.8156 -4.9756
 -5.1278 -5.2716 -5.4082 -5.5388 -5.6641 -5.7849 -5.9018 -6.0153 -6.1259 -6.2340
 -6.3398
 -3.9313 -3.9443 -3.9556 -3.9654 -3.9755 -3.9885 -4.0063 -4.0300 -4.0594 -4.0935
 -4.1309 -4.1715 -4.2143 -4.2573 -4.2981 -4.4011 -4.5236 -4.6648 -4.8171 -4.9746
 -5.1283 -5.2740 -5.4116 -5.5425 -5.6678 -5.7880 -5.9041 -6.0163 -6.1252 -6.2314
 -6.3355
 -4.0443 -4.0651 -4.0790 -4.0867 -4.0902 -4.0933 -4.0990 -4.1095 -4.1264 -4.1493
 -4.1775 -4.2104 -4.2474 -4.2875 -4.3277 -4.4296 -4.5430 -4.6770 -4.8230 -4.9750
 -5.1279 -5.2757 -5.4155 -5.5477 -5.6736 -5.7940 -5.9098 -6.0215 -6.1294 -6.2343
 -6.3365
 -4.1494 -4.1766 -4.1949 -4.2052 -4.2074 -4.2060 -4.2035 -4.2029 -4.2069 -4.2173
 -4.2350 -4.2589 -4.2876 -4.3198 -4.3546 -4.4520 -4.5632 -4.6882 -4.8278 -4.9741
 -5.1230 -5.2707 -5.4126 -5.5471 -5.6743 -5.7955 -5.9116 -6.0232 -6.1308 -6.2348
 -6.3376
 -4.2440 -4.2788 -4.3028 -4.3171 -4.3226 -4.3216 -4.3155 -4.3085 -4.3027 -4.3020
 -4.3075 -4.3189 -4.3364 -4.3598 -4.3889 -4.4799 -4.5863 -4.7020 -4.8341 -4.9750
 -5.1193 -5.2641 -5.4063 -5.5430 -5.6725 -5.7953 -5.9124 -6.0246 -6.1325 -6.2364
 -6.3369
 -4.3280 -4.3716 -4.4027 -4.4224 -4.4358 -4.4401 -4.4280 -4.4190 -4.4087 -4.4011
 -4.3970 -4.3961 -4.3981 -4.4075 -4.4303 -4.5133 -4.6123 -4.7184 -4.8419
 [Fe/H] = -3.00 [alpha/Fe] = 0.40 BC value = F335M
 -3.5896 -3.6602 -3.7347 -3.8137 -3.8935 -3.9166 -3.8441 -3.7956 -3.7933 -3.8589
 -4.0206 -4.1610 -4.1504 -4.0631 -4.0312 -4.2152
 -3.5323 -3.6033 -3.6763 -3.7514 -3.8259 -3.8697 -3.8597 -3.8506 -3.8545 -3.8836
 -3.9517 -4.0176 -4.0339 -4.0275 -4.0499 -4.2359 -4.4165 -4.5900 -4.7564
 -3.4951 -3.5644 -3.6345 -3.7052 -3.7747 -3.8312 -3.8631 -3.8831 -3.8964 -3.9081
 -3.9224 -3.9430 -3.9729 -4.0147 -4.0704 -4.2548 -4.4354 -4.6088 -4.7744 -4.9324
 -5.0840
 -3.4780 -3.5435 -3.6093 -3.6751 -3.7398 -3.8011 -3.8543 -3.8933 -3.9190 -3.9323
 -3.9327 -3.9374 -3.9674 -4.0247 -4.0927 -4.2719 -4.4506 -4.6237 -4.7890 -4.9465
 -5.0971 -5.2416 -5.3812
 -3.4810 -3.5406 -3.6007 -3.6611 -3.7212 -3.7794 -3.8333 -3.8811 -3.9223 -3.9563
 -3.9826 -4.0007 -4.0173 -4.0575 -4.1168 -4.2872 -4.4621 -4.6347 -4.8002 -4.9575
 -5.1073 -5.2509 -5.3888 -5.5220 -5.6513
 -3.5041 -3.5557 -3.6087 -3.6632 -3.7189 -3.7745 -3.8283 -3.8782 -3.9234 -3.9636
 -4.0021 -4.0389 -4.0662 -4.0987 -4.1479 -4.3032 -4.4718 -4.6420 -4.8080 -4.9658
 -5.1155 -5.2584 -5.3954 -5.5272 -5.6547 -5.7786
 -3.5500 -3.5919 -3.6356 -3.6820 -3.7311 -3.7824 -3.8342 -3.8849 -3.9331 -3.9781
 -4.0209 -4.0627 -4.1036 -4.1360 -4.1818 -4.3234 -4.4820 -4.6470 -4.8124 -4.9713
 -5.1217 -5.2645 -5.4010 -5.5321 -5.6583 -5.7804 -5.8991 -6.0146 -6.1272 -6.2369
 -3.6175 -3.6502 -3.6842 -3.7206 -3.7607 -3.8048 -3.8517 -3.9001 -3.9484 -3.9956
 -4.0414 -4.0863 -4.1309 -4.1699 -4.2130 -4.3457 -4.4952 -4.6521 -4.8139 -4.9735
 -5.1254 -5.2691 -5.4057 -5.5365 -5.6620 -5.7830 -5.9001 -6.0138 -6.1246 -6.2328
 -6.3387
