 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = F210M
 -1.1731 -1.5373 -2.5387 -3.3058 -2.8522 -1.4855 -2.4287 -3.6245 -4.1415 -3.9840
 -3.8975 -3.6942 -3.1810 -2.6604 -2.3778 -2.5423
 -1.8280 -1.8609 -2.2177 -2.5360 -2.3772 -1.7321 -2.0948 -2.6169 -2.9340 -2.9976
 -3.0349 -2.9683 -2.7508 -2.5276 -2.4197 -2.5781 -2.7506 -2.9141 -3.0738
 -2.2364 -2.1491 -2.1708 -2.2354 -2.2266 -2.0359 -2.0808 -2.1981 -2.3292 -2.4419
 -2.5105 -2.5195 -2.4837 -2.4490 -2.4519 -2.6023 -2.7607 -2.9244 -3.0850 -3.2401
 -3.3914
 -2.3983 -2.4019 -2.3980 -2.4040 -2.4005 -2.3970 -2.3867 -2.3680 -2.3270 -2.3168
 -2.3244 -2.3478 -2.3796 -2.4244 -2.4744 -2.6149 -2.7768 -2.9390 -3.0968 -3.2486
 -3.3960 -3.5394 -3.6791
 -2.6177 -2.5644 -2.5210 -2.4963 -2.4816 -2.4748 -2.4693 -2.4605 -2.4450 -2.4268
 -2.4186 -2.4271 -2.4488 -2.4823 -2.5257 -2.6524 -2.7959 -2.9488 -3.1039 -3.2551
 -3.4010 -3.5421 -3.6788 -3.8117 -3.9413
 -2.8496 -2.7544 -2.6782 -2.6234 -2.5890 -2.5697 -2.5595 -2.5521 -2.5439 -2.5323
 -2.5190 -2.5131 -2.5222 -2.5436 -2.5778 -2.6902 -2.8197 -2.9624 -3.1121 -3.2612
 -3.4057 -3.5451 -3.6797 -3.8104 -3.9374 -4.0612
 -3.0941 -2.9719 -2.8696 -2.7853 -2.7228 -2.6817 -2.6573 -2.6428 -2.6325 -2.6231
 -2.6127 -2.6025 -2.5989 -2.6072 -2.6307 -2.7283 -2.8482 -2.9798 -3.1214 -3.2669
 -3.4101 -3.5484 -3.6817 -3.8105 -3.9354 -4.0569 -4.1755 -4.2916 -4.4050 -4.5144
 -3.3513 -3.2169 -3.0952 -2.9850 -2.8925 -2.8221 -2.7732 -2.7423 -2.7228 -2.7091
 -2.6974 -2.6868 -2.6780 -2.6758 -2.6858 -2.7645 -2.8770 -3.0010 -3.1336 -3.2731
 -3.4140 -3.5516 -3.6840 -3.8117 -3.9350 -4.0547 -4.1711 -4.2848 -4.3962 -4.5053
 -4.6110
 -3.5948 -3.4674 -3.3406 -3.2146 -3.0980 -2.9979 -2.9187 -2.8617 -2.8238 -2.7989
 -2.7809 -2.7667 -2.7551 -2.7470 -2.7461 -2.7996 -2.9033 -3.0227 -3.1488 -3.2812
 -3.4177 -3.5539 -3.6861 -3.8133 -3.9357 -4.0541 -4.1690 -4.2807 -4.3899 -4.4969
 -4.6022
 -3.8285 -3.7108 -3.5873 -3.4588 -3.3298 -3.2068 -3.0991 -3.0117 -2.9467 -2.9015
 -2.8705 -2.8480 -2.8310 -2.8182 -2.8120 -2.8383 -2.9283 -3.0436 -3.1667 -3.2936
 -3.4249 -3.5582 -3.6898 -3.8172 -3.9396 -4.0575 -4.1716 -4.2821 -4.3897 -4.4949
 -4.5978
 -4.0531 -3.9398 -3.8211 -3.6977 -3.5651 -3.4334 -3.3066 -3.1928 -3.0986 -3.0264
 -2.9732 -2.9352 -2.9092 -2.8923 -2.8826 -2.8915 -2.9528 -3.0608 -3.1811 -3.3050
 -3.4314 -3.5603 -3.6897 -3.8168 -3.9395 -4.0575 -4.1712 -4.2811 -4.3875 -4.4910
 -4.5940
 -4.2607 -4.1544 -4.0408 -3.9209 -3.7930 -3.6618 -3.5275 -3.3987 -3.2811 -3.1848
 -3.1091 -3.0506 -3.0063 -2.9737 -2.9508 -2.9353 -2.9805 -3.0776 -3.1935 -3.3153
 -3.4390 -3.5641 -3.6900 -3.8155 -3.9382 -4.0568 -4.1709 -4.2808 -4.3868 -4.4895
 -4.5894
 -4.4515 -4.3545 -4.2464 -4.1284 -4.0135 -3.8920 -3.7467 -3.6126 -3.4841 -3.3699
 -3.2712 -3.1867 -3.1153 -3.0624 -3.0165 -2.9699 -3.0114 -3.0940 -3.2039
 [Fe/H] = -3.00 [alpha/Fe] = 0.40 BC value = F210M
 -2.3585 -2.3900 -2.4019 -2.3791 -2.2803 -2.0578 -2.1100 -2.1746 -2.2281 -2.2777
 -2.3639 -2.4297 -2.4105 -2.3716 -2.3792 -2.5580
