 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =F322W2
 -2.5327 -2.3666 -2.4614 -3.1074 -4.1547 -4.8011 -5.0852 -5.1786 -5.0332 -4.6795
 -5.0606 -5.5555 -5.2303 -4.4436 -3.8916 -4.0659
 -3.0961 -2.9754 -2.9458 -3.1627 -3.5860 -3.8637 -4.0285 -4.1446 -4.1936 -4.1796
 -4.4063 -4.6266 -4.4867 -4.1308 -3.8908 -4.0800 -4.2647 -4.4278 -4.6000
 -3.3918 -3.3441 -3.2963 -3.3143 -3.4023 -3.4791 -3.5634 -3.6620 -3.7698 -3.8818
 -3.9889 -4.0525 -4.0265 -3.9456 -3.9070 -4.0920 -4.2778 -4.4455 -4.6110 -4.7671
 -4.9173
 -3.4198 -3.4727 -3.5129 -3.5622 -3.6035 -3.6473 -3.6899 -3.7307 -3.7617 -3.7861
 -3.8084 -3.8329 -3.8498 -3.8880 -3.9402 -4.1019 -4.2891 -4.4600 -4.6231 -4.7797
 -4.9300 -5.0746 -5.2140
 -3.5313 -3.5566 -3.5792 -3.6095 -3.6425 -3.6805 -3.7209 -3.7613 -3.7997 -3.8331
 -3.8608 -3.8876 -3.9124 -3.9445 -3.9887 -4.1287 -4.2973 -4.4685 -4.6333 -4.7900
 -4.9395 -5.0828 -5.2206 -5.3538 -5.4830
 -3.6506 -3.6566 -3.6652 -3.6794 -3.7011 -3.7298 -3.7640 -3.8007 -3.8382 -3.8746
 -3.9080 -3.9380 -3.9669 -3.9940 -4.0338 -4.1578 -4.3099 -4.4763 -4.6408 -4.7978
 -4.9471 -5.0897 -5.2265 -5.3584 -5.4859 -5.6097
 -3.7776 -3.7727 -3.7709 -3.7719 -3.7793 -3.7952 -3.8192 -3.8489 -3.8818 -3.9161
 -3.9505 -3.9833 -4.0140 -4.0413 -4.0755 -4.1892 -4.3269 -4.4834 -4.6456 -4.8031
 -4.9528 -5.0953 -5.2316 -5.3625 -5.4887 -5.6110 -5.7298 -5.8455 -5.9582 -6.0679
 -3.9124 -3.9049 -3.8963 -3.8867 -3.8803 -3.8810 -3.8904 -3.9087 -3.9334 -3.9621
 -3.9931 -4.0253 -4.0570 -4.0863 -4.1168 -4.2176 -4.3471 -4.4926 -4.6487 -4.8055
 -4.9563 -5.0994 -5.2357 -5.3662 -5.4917 -5.6127 -5.7300 -5.8440 -5.9552 -6.0637
 -6.1696
 -4.0495 -4.0438 -4.0332 -4.0183 -4.0022 -3.9889 -3.9822 -3.9848 -3.9969 -4.0164
 -4.0405 -4.0680 -4.0978 -4.1281 -4.1574 -4.2463 -4.3662 -4.5045 -4.6526 -4.8058
 -4.9568 -5.1014 -5.2385 -5.3692 -5.4944 -5.6148 -5.7312 -5.8439 -5.9534 -6.0602
 -6.1648
 -4.1751 -4.1796 -4.1743 -4.1602 -4.1399 -4.1169 -4.0965 -4.0827 -4.0784 -4.0839
 -4.0975 -4.1169 -4.1410 -4.1683 -4.1965 -4.2776 -4.3861 -4.5180 -4.6605 -4.8082
 -4.9575 -5.1031 -5.2419 -5.3737 -5.4994 -5.6198 -5.7358 -5.8479 -5.9564 -6.0619
 -6.1648
 -4.2936 -4.3046 -4.3053 -4.2968 -4.2775 -4.2526 -4.2248 -4.1985 -4.1782 -4.1674
 -4.1672 -4.1759 -4.1911 -4.2111 -4.2344 -4.3082 -4.4068 -4.5298 -4.6669 -4.8095
 -4.9545 -5.0990 -5.2390 -5.3725 -5.4994 -5.6205 -5.7366 -5.8484 -5.9563 -6.0608
 -6.1644
 -4.3983 -4.4188 -4.4268 -4.4236 -4.4100 -4.3883 -4.3592 -4.3275 -4.2966 -4.2733
 -4.2588 -4.2524 -4.2537 -4.2623 -4.2776 -4.3406 -4.4314 -4.5435 -4.6739 -4.8121
 -4.9530 -5.0943 -5.2336 -5.3685 -5.4972 -5.6196 -5.7366 -5.8487 -5.9567 -6.0610
 -6.1619
 -4.4889 -4.5221 -4.5388 -4.5406 -4.5374 -4.5240 -4.4910 -4.4595 -4.4256 -4.3950
 -4.3688 -4.3467 -4.3283 -4.3219 -4.3259 -4.3749 -4.4599 -4.5591 -4.6815
 [Fe/H] = -3.00 [alpha/Fe] = 0.40 BC value =F322W2
 -3.5701 -3.6370 -3.7049 -3.7791 -3.8489 -3.8317 -3.7662 -3.6985 -3.6545 -3.6684
 -3.8102 -3.9878 -4.0183 -3.9257 -3.8777 -4.0553
 -3.5145 -3.5776 -3.6418 -3.7096 -3.7744 -3.7931 -3.7815 -3.7590 -3.7399 -3.7416
 -3.7945 -3.8675 -3.8943 -3.8815 -3.8944 -4.0745 -4.2534 -4.4256 -4.5914
 -3.4829 -3.5406 -3.5996 -3.6605 -3.7199 -3.7611 -3.7856 -3.7957 -3.7976 -3.7972
 -3.7996 -3.8092 -3.8295 -3.8635 -3.9137 -4.0926 -4.2706 -4.4429 -4.6078 -4.7653
 -4.9167
 -3.4753 -3.5260 -3.5783 -3.6318 -3.6852 -3.7357 -3.7785 -3.8087 -3.8276 -3.8350
 -3.8256 -3.8131 -3.8241 -3.8716 -3.9356 -4.1096 -4.2851 -4.4568 -4.6212 -4.7781
 -4.9283 -5.0728 -5.2123
 -3.4917 -3.5338 -3.5779 -3.6235 -3.6704 -3.7169 -3.7602 -3.7980 -3.8300 -3.8551
 -3.8724 -3.8791 -3.8780 -3.9058 -3.9601 -4.1255 -4.2969 -4.4673 -4.6316 -4.7882
 -4.9376 -5.0810 -5.2188 -5.3522 -5.4817
 -3.5321 -3.5640 -3.5984 -3.6356 -3.6755 -3.7170 -3.7586 -3.7975 -3.8320 -3.8611
 -3.8894 -3.9167 -3.9303 -3.9493 -3.9924 -4.1425 -4.3077 -4.4749 -4.6390 -4.7958
 -4.9450 -5.0877 -5.2245 -5.3564 -5.4842 -5.6083
 -3.5971 -3.6181 -3.6411 -3.6678 -3.6987 -3.7336 -3.7709 -3.8088 -3.8453 -3.8789
 -3.9100 -3.9408 -3.9714 -3.9897 -4.0287 -4.1637 -4.3195 -4.4812 -4.6437 -4.8009
 -4.9505 -5.0930 -5.2294 -5.3604 -5.4868 -5.6093 -5.7283 -5.8442 -5.9571 -6.0668
