 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F160W
  1.0859  1.1058  1.1584  1.1656  1.1384  1.1309  1.1410  1.1442  1.1354  1.1262
  1.1087  1.0814  1.0453  1.0063  0.9636  0.8511  0.7032  0.5327  0.4094
  1.1269  1.0958  1.0777  1.0844  1.1151  1.1342  1.1321  1.1231  1.1138  1.1008
  1.0801  1.0518  1.0178  0.9792  0.9369  0.8186  0.6888  0.5530  0.4158  0.2791
  1.1297  1.0946  1.0654  1.0457  1.0402  1.0600  1.0908  1.1031  1.0973  1.0813
  1.0599  1.0314  0.9970  0.9580  0.9154  0.7981  0.6719  0.5405  0.4067  0.2734
  0.1415
  1.1287  1.0963  1.0643  1.0368  1.0160  1.0038  1.0065  1.0289  1.0507  1.0540
  1.0385  1.0113  0.9773  0.9383  0.8956  0.7784  0.6548  0.5275  0.3979  0.2675
  0.1385  0.0112
  1.1163  1.0927  1.0637  1.0344  1.0080  0.9863  0.9702  0.9622  0.9697  0.9833
  0.9902  0.9798  0.9542  0.9183  0.8765  0.7598  0.6376  0.5142  0.3889  0.2617
  0.1351  0.0102 -0.1127 -0.2339
  1.0907  1.0766  1.0563  1.0303  1.0032  0.9777  0.9553  0.9364  0.9223  0.9158
  0.9160  0.9161  0.9066  0.8846  0.8520  0.7418  0.6207  0.5000  0.3788  0.2556
  0.1316  0.0088 -0.1121 -0.2310 -0.3487 -0.4648 -0.5788 -0.6902 -0.7987 -0.9041
  1.0520  1.0469  1.0374  1.0177  0.9947  0.9697  0.9448  0.9218  0.9010  0.8834
  0.8685  0.8563  0.8454  0.8309  0.8086  0.7197  0.6039  0.4848  0.3671  0.2483
  0.1277  0.0071 -0.1120 -0.2291 -0.3441 -0.4570 -0.5681 -0.6777 -0.7860 -0.8925
 -0.9947
  1.0004  1.0037  1.0027  0.9921  0.9756  0.9553  0.9323  0.9085  0.8852  0.8634
  0.8426  0.8223  0.8021  0.7820  0.7606  0.6869  0.5846  0.4696  0.3543  0.2394
  0.1228  0.0048 -0.1124 -0.2277 -0.3410 -0.4522 -0.5614 -0.6689 -0.7748 -0.8793
 -0.9826
  0.9361  0.9472  0.9525  0.9510  0.9419  0.9283  0.9108  0.8901  0.8674  0.8446
  0.8221  0.7993  0.7752  0.7499  0.7238  0.6514  0.5597  0.4525  0.3397  0.2275
  0.1145 -0.0001 -0.1153 -0.2293 -0.3413 -0.4510 -0.5587 -0.6645 -0.7686 -0.8712
 -0.9722
  0.8592  0.8776  0.8888  0.8936  0.8926  0.8863  0.8754  0.8607  0.8424  0.8218
  0.8000  0.7773  0.7532  0.7271  0.6991  0.6220  0.5353  0.4351  0.3268  0.2168
  0.1067 -0.0043 -0.1164 -0.2285 -0.3392 -0.4476 -0.5538 -0.6578 -0.7599 -0.8603
 -0.9611
  0.7716  0.7953  0.8123  0.8231  0.8284  0.8288  0.8246  0.8163  0.8042  0.7888
  0.7707  0.7504  0.7283  0.7041  0.6772  0.5996  0.5127  0.4181  0.3146  0.2067
  0.0984 -0.0101 -0.1191 -0.2286 -0.3376 -0.4449 -0.5500 -0.6527 -0.7532 -0.8518
 -0.9488
  0.6805  0.7014  0.7201  0.7358  0.7479  0.7557  0.7589  0.7573  0.7514  0.7419
  0.7293  0.7140  0.6960  0.6755  0.6521  0.5800  0.4936  0.4010  0.3022
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value = F160W
  1.0917  1.1063  1.1140  1.1043  1.0929  1.0877  1.0867  1.0838  1.0785  1.0696
  1.0550  1.0337  1.0058  0.9729  0.9358  0.8317  0.7053  0.5605  0.4236
  1.0865  1.0600  1.0673  1.0943  1.0988  1.0891  1.0799  1.0735  1.0667  1.0568
  1.0410  1.0184  0.9896  0.9557  0.9179  0.8103  0.6878  0.5553  0.4188  0.2822
  1.1042  1.0628  1.0350  1.0298  1.0569  1.0817  1.0793  1.0669  1.0557  1.0446
  1.0282  1.0053  0.9759  0.9415  0.9031  0.7945  0.6731  0.5437  0.4105  0.2772
  0.1451
  1.1240  1.0806  1.0415  1.0112  0.9978  1.0084  1.0393  1.0556  1.0469  1.0329
  1.0160  0.9933  0.9641  0.9294  0.8906  0.7811  0.6601  0.5331  0.4028  0.2721
  0.1428  0.0152
  1.1381  1.0989  1.0583  1.0210  0.9916  0.9722  0.9677  0.9808  1.0053  1.0133
  1.0027  0.9811  0.9527  0.9185  0.8797  0.7694  0.6484  0.5231  0.3956  0.2674
  0.1402  0.0149 -0.1085 -0.2301
  1.1392  1.1108  1.0741  1.0360  0.9999  0.9695  0.9462  0.9315  0.9286  0.9414
  0.9562  0.9554  0.9371  0.9065  0.8689  0.7589  0.6376  0.5133  0.3882  0.2627
  0.1377  0.0142 -0.1072 -0.2266 -0.3442 -0.4599 -0.5737 -0.6857 -0.7955 -0.9012
