 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F098M
 -1.2728 -1.3036 -1.4825 -1.5154 -1.4883 -1.4145 -1.3025 -1.2389 -1.1859 -1.1329
 -1.0842 -1.0390 -0.9988 -0.9634 -0.9347 -0.8827 -0.8805 -0.9515 -1.0161
 -1.3058 -1.2835 -1.2696 -1.2764 -1.3056 -1.3132 -1.2810 -1.2320 -1.1826 -1.1366
 -1.0939 -1.0548 -1.0201 -0.9904 -0.9666 -0.9352 -0.9445 -0.9827 -1.0329 -1.0869
 -1.2308 -1.2114 -1.1904 -1.1741 -1.1669 -1.1797 -1.2014 -1.2007 -1.1751 -1.1386
 -1.1027 -1.0683 -1.0373 -1.0106 -0.9893 -0.9617 -0.9700 -1.0069 -1.0568 -1.1104
 -1.1647
 -1.1589 -1.1507 -1.1342 -1.1164 -1.1016 -1.0915 -1.0911 -1.1056 -1.1192 -1.1166
 -1.0989 -1.0739 -1.0478 -1.0243 -1.0054 -0.9816 -0.9899 -1.0255 -1.0754 -1.1292
 -1.1835 -1.2374
 -1.0799 -1.0880 -1.0826 -1.0702 -1.0568 -1.0453 -1.0370 -1.0331 -1.0381 -1.0481
 -1.0563 -1.0552 -1.0452 -1.0297 -1.0143 -0.9945 -1.0035 -1.0387 -1.0888 -1.1438
 -1.1989 -1.2534 -1.3070 -1.3598
 -0.9933 -1.0157 -1.0257 -1.0240 -1.0166 -1.0079 -1.0007 -0.9952 -0.9918 -0.9916
 -0.9967 -1.0049 -1.0107 -1.0122 -1.0099 -1.0004 -1.0107 -1.0457 -1.0964 -1.1539
 -1.2111 -1.2671 -1.3220 -1.3756 -1.4275 -1.4789 -1.5309 -1.5845 -1.6405 -1.6994
 -0.9014 -0.9349 -0.9589 -0.9703 -0.9730 -0.9709 -0.9672 -0.9640 -0.9618 -0.9601
 -0.9599 -0.9627 -0.9686 -0.9759 -0.9827 -0.9959 -1.0115 -1.0453 -1.0976 -1.1583
 -1.2190 -1.2777 -1.3347 -1.3901 -1.4438 -1.4947 -1.5448 -1.5964 -1.6513 -1.7102
 -1.7710
 -0.8068 -0.8486 -0.8825 -0.9058 -0.9203 -0.9280 -0.9311 -0.9322 -0.9331 -0.9339
 -0.9349 -0.9366 -0.9399 -0.9457 -0.9535 -0.9777 -1.0049 -1.0408 -1.0930 -1.1562
 -1.2212 -1.2840 -1.3442 -1.4021 -1.4581 -1.5120 -1.5632 -1.6137 -1.6658 -1.7213
 -1.7815
