 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F547M
 -3.8572 -3.7637 -3.9958 -3.9185 -3.6838 -3.3863 -3.0711 -2.8495 -2.6453 -2.4416
 -2.2568 -2.0876 -1.9291 -1.7802 -1.6399 -1.3425 -1.0574 -0.8150 -0.6677
 -3.8123 -3.5563 -3.3510 -3.2108 -3.1273 -3.0073 -2.8151 -2.6025 -2.4032 -2.2161
 -2.0420 -1.8814 -1.7338 -1.5980 -1.4723 -1.1953 -0.9668 -0.7897 -0.6608 -0.5655
 -3.5485 -3.2999 -3.0795 -2.8919 -2.7379 -2.6299 -2.5398 -2.4036 -2.2323 -2.0557
 -1.8938 -1.7446 -1.6076 -1.4820 -1.3672 -1.1211 -0.9243 -0.7718 -0.6588 -0.5735
 -0.5063
 -3.3341 -3.1088 -2.8990 -2.7099 -2.5417 -2.3923 -2.2661 -2.1689 -2.0675 -1.9358
 -1.7897 -1.6499 -1.5219 -1.4044 -1.2970 -1.0701 -0.8944 -0.7612 -0.6608 -0.5840
 -0.5221 -0.4704
 -3.1524 -2.9492 -2.7582 -2.5799 -2.4164 -2.2666 -2.1293 -2.0054 -1.9022 -1.8064
 -1.7021 -1.5838 -1.4644 -1.3531 -1.2514 -1.0368 -0.8738 -0.7534 -0.6639 -0.5950
 -0.5385 -0.4905 -0.4488 -0.4126
 -2.9996 -2.8112 -2.6376 -2.4737 -2.3204 -2.1777 -2.0448 -1.9215 -1.8085 -1.7056
 -1.6118 -1.5196 -1.4211 -1.3198 -1.2224 -1.0158 -0.8596 -0.7465 -0.6650 -0.6040
 -0.5536 -0.5102 -0.4719 -0.4375 -0.4055 -0.3774 -0.3552 -0.3407 -0.3348 -0.3383
 -2.8761 -2.6955 -2.5309 -2.3804 -2.2380 -2.1045 -1.9790 -1.8611 -1.7518 -1.6498
 -1.5542 -1.4641 -1.3773 -1.2905 -1.2031 -1.0034 -0.8501 -0.7392 -0.6626 -0.6083
 -0.5649 -0.5272 -0.4935 -0.4627 -0.4342 -0.4061 -0.3810 -0.3624 -0.3529 -0.3538
 -0.3635
 -2.7826 -2.6035 -2.4416 -2.2966 -2.1635 -2.0385 -1.9209 -1.8099 -1.7058 -1.6080
 -1.5161 -1.4285 -1.3441 -1.2629 -1.1834 -0.9973 -0.8452 -0.7338 -0.6576 -0.6069
 -0.5699 -0.5390 -0.5112 -0.4852 -0.4609 -0.4376 -0.4138 -0.3927 -0.3780 -0.3727
 -0.3786
 -2.7194 -2.5367 -2.3726 -2.2227 -2.0941 -1.9753 -1.8645 -1.7602 -1.6619 -1.5689
 -1.4808 -1.3975 -1.3175 -1.2398 -1.1642 -0.9889 -0.8417 -0.7299 -0.6513 -0.6007
 -0.5676 -0.5431 -0.5222 -0.5027 -0.4838 -0.4650 -0.4466 -0.4292 -0.4151 -0.4047
 -0.3976
