 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  B   
 -7.2969 -7.0813 -7.2383 -7.1570 -6.9374 -6.5772 -6.1072 -5.8197 -5.5369 -5.2428
 -4.9631 -4.7045 -4.4636 -4.2343 -4.0114 -3.5080 -2.9837 -2.4903 -2.1397
 -7.1214 -6.7557 -6.4683 -6.2725 -6.1508 -5.9936 -5.7490 -5.4606 -5.1710 -4.8866
 -4.6141 -4.3599 -4.1245 -3.9048 -3.6970 -3.2131 -2.7684 -2.3872 -2.0920 -1.8654
 -6.7793 -6.4151 -6.0980 -5.8350 -5.6211 -5.4660 -5.3340 -5.1443 -4.8968 -4.6262
 -4.3614 -4.1113 -3.8811 -3.6694 -3.4737 -3.0369 -2.6497 -2.3135 -2.0482 -1.8440
 -1.6806
 -6.4983 -6.1641 -5.8524 -5.5774 -5.3364 -5.1203 -4.9309 -4.7760 -4.6126 -4.4030
 -4.1656 -3.9282 -3.7039 -3.4977 -3.3096 -2.9046 -2.5611 -2.2649 -2.0227 -1.8361
 -1.6866 -1.5604
 -6.2440 -5.9509 -5.6632 -5.3949 -5.1527 -4.9299 -4.7189 -4.5197 -4.3437 -4.1748
 -3.9928 -3.7892 -3.5813 -3.3825 -3.1993 -2.8135 -2.4996 -2.2315 -2.0105 -1.8376
 -1.6994 -1.5828 -1.4802 -1.3879
 -6.0080 -5.7518 -5.4983 -5.2483 -5.0140 -4.7965 -4.5895 -4.3880 -4.1931 -4.0078
 -3.8360 -3.6676 -3.4906 -3.3094 -3.1337 -2.7573 -2.4610 -2.2126 -2.0073 -1.8447
 -1.7156 -1.6076 -1.5126 -1.4264 -1.3432 -1.2646 -1.1937 -1.1331 -1.0844 -1.0488
 -5.7907 -5.5649 -5.3424 -5.1182 -4.8978 -4.6895 -4.4912 -4.2989 -4.1098 -3.9233
 -3.7437 -3.5748 -3.4140 -3.2549 -3.0958 -2.7301 -2.4408 -2.2057 -2.0099 -1.8541
 -1.7319 -1.6316 -1.5443 -1.4650 -1.3915 -1.3227 -1.2587 -1.1997 -1.1459 -1.1004
 -1.0743
 -5.5923 -5.3914 -5.1932 -4.9941 -4.7938 -4.5961 -4.4067 -4.2252 -4.0475 -3.8705
 -3.6953 -3.5256 -3.3646 -3.2123 -3.0657 -2.7230 -2.4354 -2.2062 -2.0166 -1.8641
 -1.7460 -1.6521 -1.5723 -1.5005 -1.4340 -1.3712 -1.3109 -1.2547 -1.2046 -1.1621
 -1.1281
 -5.4132 -5.2325 -5.0530 -4.8707 -4.6917 -4.5104 -4.3304 -4.1562 -3.9888 -3.8237
 -3.6585 -3.4948 -3.3363 -3.1852 -3.0419 -2.7164 -2.4369 -2.2091 -2.0240 -1.8730
 -1.7562 -1.6663 -1.5932 -1.5293 -1.4706 -1.4150 -1.3623 -1.3125 -1.2669 -1.2255
 -1.1879
 -5.2537 -5.0895 -4.9246 -4.7594 -4.5941 -4.4289 -4.2636 -4.0983 -3.9371 -3.7812
