 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F555W
 -4.6540 -4.5848 -4.8027 -4.7233 -4.4975 -4.2046 -3.8865 -3.6661 -3.4673 -3.2667
 -3.0832 -2.9145 -2.7585 -2.6105 -2.4706 -2.1751 -1.8843 -1.6378 -1.4826
 -4.6546 -4.3860 -4.1754 -4.0332 -3.9489 -3.8290 -3.6380 -3.4269 -3.2299 -3.0448
 -2.8717 -2.7115 -2.5642 -2.4284 -2.3023 -2.0227 -1.7899 -1.6080 -1.4746 -1.3751
 -4.4096 -4.1415 -3.9114 -3.7196 -3.5641 -3.4560 -3.3667 -3.2320 -3.0623 -2.8865
 -2.7242 -2.5743 -2.4365 -2.3103 -2.1948 -1.9459 -1.7450 -1.5881 -1.4710 -1.3820
 -1.3114
 -4.2226 -3.9698 -3.7426 -3.5448 -3.3726 -3.2217 -3.0952 -2.9983 -2.8977 -2.7665
 -2.6197 -2.4783 -2.3486 -2.2300 -2.1215 -1.8921 -1.7129 -1.5759 -1.4718 -1.3917
 -1.3269 -1.2725
 -4.0712 -3.8374 -3.6204 -3.4257 -3.2538 -3.0999 -2.9606 -2.8356 -2.7318 -2.6355
 -2.5304 -2.4106 -2.2894 -2.1762 -2.0732 -1.8563 -1.6904 -1.5667 -1.4740 -1.4023
 -1.3432 -1.2928 -1.2489 -1.2107
 -3.9482 -3.7288 -3.5257 -3.3369 -3.1678 -3.0166 -2.8793 -2.7533 -2.6384 -2.5341
 -2.4389 -2.3451 -2.2448 -2.1416 -2.0424 -1.8331 -1.6747 -1.5589 -1.4745 -1.4110
 -1.3584 -1.3128 -1.2725 -1.2363 -1.2024 -1.1724 -1.1484 -1.1318 -1.1240 -1.1255
 -3.8518 -3.6413 -3.4485 -3.2682 -3.1019 -2.9529 -2.8186 -2.6958 -2.5833 -2.4788
 -2.3811 -2.2890 -2.2004 -2.1117 -2.0225 -1.8194 -1.6641 -1.5509 -1.4719 -1.4153
 -1.3698 -1.3302 -1.2947 -1.2622 -1.2323 -1.2029 -1.1766 -1.1564 -1.1450 -1.1437
 -1.1515
 -3.7799 -3.5739 -3.3859 -3.2121 -3.0508 -2.9028 -2.7697 -2.6496 -2.5400 -2.4386
 -2.3437 -2.2537 -2.1672 -2.0839 -2.0027 -1.8129 -1.6583 -1.5451 -1.4668 -1.4140
 -1.3750 -1.3423 -1.3128 -1.2854 -1.2598 -1.2352 -1.2103 -1.1881 -1.1722 -1.1655
 -1.1697
 -3.7308 -3.5255 -3.3382 -3.1637 -3.0075 -2.8623 -2.7290 -2.6089 -2.5011 -2.4022
 -2.3101 -2.2236 -2.1410 -2.0610 -1.9835 -1.8045 -1.6547 -1.5409 -1.4606 -1.4081
 -1.3730 -1.3468 -1.3243 -1.3035 -1.2833 -1.2634 -1.2441 -1.2258 -1.2109 -1.1996
 -1.1916
 -3.7024 -3.4952 -3.3060 -3.1332 -2.9753 -2.8312 -2.6993 -2.5781 -2.4689 -2.3709
 -2.2810 -2.1972 -2.1180 -2.0415 -1.9677 -1.7974 -1.6523 -1.5389 -1.4568 -1.4020
 -1.3671 -1.3445 -1.3282 -1.3143 -1.3010 -1.2873 -1.2733 -1.2592 -1.2455 -1.2333
 -1.2220
 -3.6899 -3.4798 -3.2882 -3.1133 -2.9537 -2.8082 -2.6754 -2.5542 -2.4432 -2.3431
