 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F775W
 -1.8860 -1.8717 -2.0570 -2.0611 -1.9770 -1.8425 -1.6795 -1.5687 -1.4705 -1.3663
 -1.2651 -1.1681 -1.0768 -0.9946 -0.9246 -0.7770 -0.7294 -0.7408 -0.7261
 -1.8753 -1.7967 -1.7338 -1.7012 -1.6997 -1.6727 -1.5967 -1.5019 -1.4077 -1.3151
 -1.2246 -1.1386 -1.0597 -0.9896 -0.9291 -0.8182 -0.7577 -0.7359 -0.7369 -0.7509
 -1.7387 -1.6675 -1.5982 -1.5372 -1.4900 -1.4696 -1.4615 -1.4254 -1.3588 -1.2786
 -1.1985 -1.1208 -1.0489 -0.9850 -0.9299 -0.8288 -0.7732 -0.7542 -0.7567 -0.7705
 -0.7915
 -1.6146 -1.5602 -1.5000 -1.4397 -1.3840 -1.3352 -1.2993 -1.2824 -1.2651 -1.2268
 -1.1692 -1.1041 -1.0401 -0.9819 -0.9315 -0.8383 -0.7862 -0.7690 -0.7731 -0.7872
 -0.8073 -0.8323
 -1.4909 -1.4555 -1.4110 -1.3605 -1.3089 -1.2597 -1.2145 -1.1750 -1.1473 -1.1259
 -1.1022 -1.0670 -1.0225 -0.9745 -0.9296 -0.8440 -0.7949 -0.7794 -0.7852 -0.8010
 -0.8214 -0.8456 -0.8736 -0.9056
 -1.3671 -1.3462 -1.3187 -1.2827 -1.2412 -1.1978 -1.1556 -1.1154 -1.0780 -1.0449
 -1.0190 -0.9975 -0.9739 -0.9463 -0.9161 -0.8441 -0.7983 -0.7840 -0.7916 -0.8107
 -0.8331 -0.8580 -0.8856 -0.9159 -0.9494 -0.9866 -1.0276 -1.0727 -1.1220 -1.1754
 -1.2465 -1.2349 -1.2205 -1.1981 -1.1697 -1.1366 -1.1012 -1.0657 -1.0313 -0.9979
 -0.9669 -0.9405 -0.9190 -0.9000 -0.8811 -0.8342 -0.7955 -0.7807 -0.7910 -0.8143
 -0.8409 -0.8683 -0.8969 -0.9271 -0.9592 -0.9925 -1.0285 -1.0691 -1.1157 -1.1683
 -1.2232
 -1.1324 -1.1261 -1.1188 -1.1067 -1.0898 -1.0686 -1.0434 -1.0155 -0.9869 -0.9582
 -0.9303 -0.9041 -0.8808 -0.8614 -0.8449 -0.8113 -0.7854 -0.7735 -0.7839 -0.8106
 -0.8424 -0.8742 -0.9057 -0.9375 -0.9701 -1.0036 -1.0377 -1.0743 -1.1152 -1.1619
 -1.2154
 -1.0280 -1.0239 -1.0193 -1.0123 -1.0035 -0.9916 -0.9768 -0.9589 -0.9384 -0.9162
