 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F775W
 -2.6120 -2.5978 -2.7834 -2.7869 -2.7028 -2.5686 -2.4053 -2.2951 -2.1967 -2.0919
 -1.9909 -1.8939 -1.8028 -1.7207 -1.6504 -1.5043 -1.4528 -1.4666 -1.4534
 -2.6012 -2.5225 -2.4596 -2.4270 -2.4255 -2.3985 -2.3225 -2.2277 -2.1335 -2.0409
 -1.9504 -1.8645 -1.7855 -1.7154 -1.6550 -1.5440 -1.4835 -1.4617 -1.4628 -1.4767
 -2.4645 -2.3933 -2.3240 -2.2630 -2.2158 -2.1954 -2.1873 -2.1512 -2.0846 -2.0044
 -1.9243 -1.8466 -1.7747 -1.7108 -1.6557 -1.5547 -1.4991 -1.4800 -1.4825 -1.4963
 -1.5173
 -2.3404 -2.2860 -2.2258 -2.1655 -2.1098 -2.0610 -2.0251 -2.0083 -1.9909 -1.9526
 -1.8950 -1.8299 -1.7659 -1.7077 -1.6573 -1.5641 -1.5120 -1.4948 -1.4989 -1.5130
 -1.5331 -1.5582
 -2.2167 -2.1813 -2.1368 -2.0863 -2.0347 -1.9855 -1.9404 -1.9008 -1.8731 -1.8518
 -1.8280 -1.7928 -1.7483 -1.7003 -1.6554 -1.5698 -1.5207 -1.5052 -1.5110 -1.5268
 -1.5472 -1.5715 -1.5994 -1.6313
 -2.0929 -2.0719 -2.0445 -2.0085 -1.9670 -1.9236 -1.8814 -1.8412 -1.8038 -1.7707
 -1.7448 -1.7233 -1.6998 -1.6721 -1.6419 -1.5700 -1.5241 -1.5098 -1.5174 -1.5365
 -1.5590 -1.5839 -1.6114 -1.6417 -1.6752 -1.7124 -1.7534 -1.7985 -1.8478 -1.9012
 -1.9723 -1.9607 -1.9463 -1.9239 -1.8955 -1.8624 -1.8270 -1.7915 -1.7571 -1.7237
 -1.6927 -1.6663 -1.6448 -1.6258 -1.6070 -1.5600 -1.5214 -1.5066 -1.5168 -1.5401
 -1.5667 -1.5941 -1.6227 -1.6530 -1.6850 -1.7182 -1.7542 -1.7949 -1.8415 -1.8941
 -1.9490
 -1.8582 -1.8518 -1.8446 -1.8325 -1.8156 -1.7944 -1.7692 -1.7413 -1.7127 -1.6840
 -1.6561 -1.6299 -1.6066 -1.5872 -1.5707 -1.5371 -1.5112 -1.4993 -1.5097 -1.5364
 -1.5682 -1.6001 -1.6316 -1.6633 -1.6959 -1.7294 -1.7635 -1.8001 -1.8410 -1.8877
 -1.9412
 -1.7538 -1.7497 -1.7450 -1.7381 -1.7293 -1.7174 -1.7027 -1.6847 -1.6642 -1.6420
 -1.6195 -1.5976 -1.5771 -1.5586 -1.5423 -1.5122 -1.4943 -1.4880 -1.4982 -1.5264
 -1.5627 -1.6002 -1.6364 -1.6716 -1.7063 -1.7407 -1.7757 -1.8116 -1.8503 -1.8919
 -1.9361
 -1.6625 -1.6585 -1.6539 -1.6485 -1.6427 -1.6363 -1.6291 -1.6199 -1.6088 -1.5949
 -1.5794 -1.5633 -1.5474 -1.5324 -1.5186 -1.4914 -1.4763 -1.4737 -1.4847 -1.5120
 -1.5501 -1.5921 -1.6338 -1.6739 -1.7123 -1.7494 -1.7859 -1.8222 -1.8590 -1.8971
 -1.9374
 -1.5857 -1.5781 -1.5714 -1.5656 -1.5606 -1.5562 -1.5525 -1.5492 -1.5454 -1.5399
 -1.5324 -1.5234 -1.5135 -1.5035 -1.4939 -1.4730 -1.4599 -1.4593 -1.4718 -1.4973
 -1.5346 -1.5783 -1.6241 -1.6693 -1.7126 -1.7539 -1.7936 -1.8319 -1.8696 -1.9074
 -1.9461
 -1.5191 -1.4936 -1.4792 -1.4729 -1.4717 -1.4734 -1.4758 -1.4776 -1.4786 -1.4788
 -1.4781 -1.4765 -1.4735 -1.4694 -1.4648 -1.4537 -1.4451 -1.4455 -1.4586
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value = F775W
 -2.8999 -2.9009 -2.8656 -2.7492 -2.6067 -2.4682 -2.3494 -2.2483 -2.1546 -2.0647
 -1.9786 -1.8962 -1.8180 -1.7448 -1.6779 -1.5391 -1.4621 -1.4390 -1.4340
 -2.7061 -2.6311 -2.6058 -2.6061 -2.5379 -2.4233 -2.3078 -2.2080 -2.1188 -2.0346
 -1.9542 -1.8772 -1.8043 -1.7365 -1.6752 -1.5560 -1.4846 -1.4543 -1.4523 -1.4656
 -2.5857 -2.4989 -2.4238 -2.3733 -2.3651 -2.3459 -2.2703 -2.1767 -2.0911 -2.0123
 -1.9374 -1.8657 -1.7976 -1.7344 -1.6773 -1.5674 -1.5013 -1.4723 -1.4707 -1.4838
 -1.5050
 -2.4832 -2.4067 -2.3287 -2.2544 -2.1958 -2.1639 -2.1555 -2.1266 -2.0625 -1.9911
 -1.9221 -1.8556 -1.7921 -1.7330 -1.6797 -1.5771 -1.5151 -1.4870 -1.4855 -1.4988
 -1.5194 -1.5450
 -2.3829 -2.3222 -2.2545 -2.1852 -2.1203 -2.0623 -2.0175 -1.9910 -1.9782 -1.9489
 -1.8994 -1.8420 -1.7842 -1.7294 -1.6795 -1.5833 -1.5248 -1.4976 -1.4964 -1.5107
 -1.5319 -1.5570 -1.5859 -1.6196
 -2.2837 -2.2348 -2.1815 -2.1224 -2.0619 -2.0044 -1.9513 -1.9043 -1.8684 -1.8471
 -1.8297 -1.8030 -1.7647 -1.7197 -1.6747 -1.5850 -1.5299 -1.5036 -1.5027 -1.5188
 -1.5419 -1.5680 -1.5966 -1.6281 -1.6621 -1.6994 -1.7412 -1.7880 -1.8399 -1.8943
 -2.1797 -2.1423 -2.1019 -2.0564 -2.0059 -1.9541 -1.9042 -1.8573 -1.8139 -1.7763
 -1.7469 -1.7260 -1.7071 -1.6841 -1.6561 -1.5814 -1.5300 -1.5048 -1.5040 -1.5218
 -1.5482 -1.5768 -1.6067 -1.6382 -1.6715 -1.7067 -1.7448 -1.7869 -1.8337 -1.8857
 -1.9424
 -2.0796 -2.0462 -2.0167 -1.9820 -1.9440 -1.9018 -1.8584 -1.8160 -1.7755 -1.7371
 -1.7018 -1.6712 -1.6471 -1.6285 -1.6115 -1.5669 -1.5248 -1.5014 -1.5004 -1.5192
 -1.5491 -1.5817 -1.6144 -1.6475 -1.6812 -1.7150 -1.7503 -1.7887 -1.8317 -1.8801
 -1.9346
 -1.9891 -1.9546 -1.9284 -1.9013 -1.8722 -1.8412 -1.8073 -1.7716 -1.7363 -1.7021
 -1.6692 -1.6382 -1.6104 -1.5872 -1.5691 -1.5366 -1.5111 -1.4933 -1.4928 -1.5116
 -1.5441 -1.5813 -1.6185 -1.6548 -1.6906 -1.7264 -1.7629 -1.8014 -1.8421 -1.8847
 -1.9289
 -1.9151 -1.8758 -1.8463 -1.8195 -1.7962 -1.7724 -1.7478 -1.7213 -1.6933 -1.6648
 -1.6369 -1.6100 -1.5843 -1.5610 -1.5411 -1.5079 -1.4898 -1.4803 -1.4820 -1.4999
 -1.5328 -1.5734 -1.6154 -1.6564 -1.6958 -1.7341 -1.7720 -1.8098 -1.8480 -1.8876
 -1.9294
 -1.8669 -1.8115 -1.7729 -1.7428 -1.7213 -1.7004 -1.6810 -1.6621 -1.6425 -1.6213
 -1.5994 -1.5780 -1.5571 -1.5372 -1.5190 -1.4855 -1.4685 -1.4637 -1.4690 -1.4867
 -1.5184 -1.5600 -1.6056 -1.6514 -1.6957 -1.7380 -1.7789 -1.8186 -1.8577 -1.8969
 -1.9370
 -1.8416 -1.7615 -1.7080 -1.6726 -1.6485 -1.6297 -1.6132 -1.5978 -1.5839 -1.5700
 -1.5551 -1.5398 -1.5245 -1.5096 -1.4954 -1.4666 -1.4502 -1.4468 -1.4548
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value = F775W
 -3.0911 -3.0212 -2.8607 -2.6910 -2.5292 -2.3927 -2.2913 -2.2032 -2.1192 -2.0390
 -1.9635 -1.8918 -1.8237 -1.7589 -1.6977 -1.5667 -1.4750 -1.4270 -1.4170
 -2.8124 -2.8071 -2.7847 -2.6593 -2.5124 -2.3760 -2.2652 -2.1759 -2.0937 -2.0171
 -1.9455 -1.8777 -1.8132 -1.7520 -1.6945 -1.5732 -1.4908 -1.4478 -1.4381 -1.4491
 -2.6873 -2.5939 -2.5560 -2.5594 -2.4844 -2.3637 -2.2486 -2.1542 -2.0739 -2.0003
 -1.9324 -1.8682 -1.8072 -1.7494 -1.6951 -1.5813 -1.5051 -1.4651 -1.4551 -1.4656
 -1.4868
