 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F125W
 -1.4635 -1.5773 -1.7369 -1.7528 -1.7459 -1.7208 -1.6717 -1.6555 -1.6410 -1.6289
 -1.6248 -1.6257 -1.6301 -1.6379 -1.6494 -1.6957 -1.7568 -1.8410 -1.9520
 -1.5418 -1.5695 -1.5956 -1.6296 -1.6725 -1.6894 -1.6809 -1.6681 -1.6579 -1.6522
 -1.6514 -1.6546 -1.6612 -1.6709 -1.6836 -1.7300 -1.7988 -1.8828 -1.9725 -2.0638
 -1.5034 -1.5341 -1.5589 -1.5811 -1.6043 -1.6362 -1.6655 -1.6730 -1.6700 -1.6670
 -1.6694 -1.6758 -1.6848 -1.6962 -1.7101 -1.7569 -1.8230 -1.9047 -1.9927 -2.0820
 -2.1713
 -1.4630 -1.4995 -1.5283 -1.5523 -1.5741 -1.5951 -1.6183 -1.6459 -1.6655 -1.6739
 -1.6797 -1.6882 -1.6998 -1.7135 -1.7289 -1.7773 -1.8422 -1.9219 -2.0089 -2.0970
 -2.1847 -2.2719
 -1.4197 -1.4621 -1.4966 -1.5248 -1.5497 -1.5727 -1.5948 -1.6168 -1.6409 -1.6634
 -1.6805 -1.6939 -1.7076 -1.7232 -1.7407 -1.7917 -1.8563 -1.9349 -2.0212 -2.1092
 -2.1962 -2.2823 -2.3676 -2.4529
 -1.3760 -1.4219 -1.4620 -1.4956 -1.5244 -1.5507 -1.5757 -1.5999 -1.6236 -1.6469
 -1.6701 -1.6911 -1.7094 -1.7272 -1.7462 -1.8008 -1.8659 -1.9436 -2.0294 -2.1182
 -2.2058 -2.2917 -2.3763 -2.4601 -2.5438 -2.6277 -2.7121 -2.7970 -2.8825 -2.9687
 -1.3353 -1.3819 -1.4249 -1.4636 -1.4971 -1.5271 -1.5551 -1.5822 -1.6088 -1.6345
 -1.6593 -1.6832 -1.7058 -1.7270 -1.7478 -1.8051 -1.8716 -1.9480 -2.0338 -2.1236
 -2.2126 -2.2995 -2.3844 -2.4678 -2.5500 -2.6309 -2.7115 -2.7933 -2.8772 -2.9631
 -3.0482
 -1.3010 -1.3460 -1.3890 -1.4297 -1.4674 -1.5014 -1.5327 -1.5625 -1.5916 -1.6201
 -1.6478 -1.6744 -1.6996 -1.7236 -1.7469 -1.8067 -1.8742 -1.9502 -2.0349 -2.1251
 -2.2159 -2.3047 -2.3909 -2.4748 -2.5570 -2.6377 -2.7170 -2.7960 -2.8759 -2.9579
 -3.0425
 -1.2764 -1.3177 -1.3583 -1.3974 -1.4372 -1.4743 -1.5089 -1.5415 -1.5731 -1.6037
 -1.6338 -1.6631 -1.6913 -1.7181 -1.7437 -1.8072 -1.8758 -1.9517 -2.0351 -2.1249
 -2.2168 -2.3077 -2.3962 -2.4819 -2.5650 -2.6461 -2.7256 -2.8039 -2.8823 -2.9610
 -3.0398
 -1.2650 -1.3008 -1.3370 -1.3735 -1.4103 -1.4472 -1.4838 -1.5187 -1.5526 -1.5853
 -1.6172 -1.6486 -1.6793 -1.7087 -1.7370 -1.8057 -1.8755 -1.9512 -2.0335 -2.1218
 -2.2135 -2.3056 -2.3961 -2.4840 -2.5691 -2.6514 -2.7315 -2.8098 -2.8867 -2.9629
 -3.0401
 -1.2691 -1.2973 -1.3272 -1.3587 -1.3915 -1.4255 -1.4606 -1.4963 -1.5315 -1.5659
 -1.5995 -1.6326 -1.6651 -1.6970 -1.7280 -1.8021 -1.8745 -1.9503 -2.0319 -2.1186
 -2.2091 -2.3011 -2.3927 -2.4826 -2.5700 -2.6545 -2.7362 -2.8154 -2.8926 -2.9683
 -3.0433
 -1.2874 -1.3036 -1.3250 -1.3506 -1.3794 -1.4106 -1.4435 -1.4776 -1.5123 -1.5472
 -1.5819 -1.6162 -1.6501 -1.6836 -1.7165 -1.7961 -1.8724 -1.9492 -2.0300
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value = F125W
 -1.6778 -1.7397 -1.7645 -1.7442 -1.7173 -1.6920 -1.6724 -1.6581 -1.6459 -1.6366
 -1.6325 -1.6337 -1.6395 -1.6488 -1.6614 -1.7071 -1.7683 -1.8464 -1.9429
 -1.6234 -1.6468 -1.6868 -1.7313 -1.7276 -1.7071 -1.6894 -1.6769 -1.6671 -1.6602
