 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F098M
 -0.1900 -0.2212 -0.4004 -0.4329 -0.4062 -0.3329 -0.2213 -0.1584 -0.1068 -0.0541
 -0.0067  0.0376  0.0769  0.1111  0.1389  0.1878  0.1906  0.1196  0.0552
 -0.2240 -0.2020 -0.1884 -0.1955 -0.2249 -0.2326 -0.2008 -0.1523 -0.1036 -0.0585
 -0.0168  0.0213  0.0551  0.0839  0.1070  0.1367  0.1264  0.0875  0.0367 -0.0177
 -0.1502 -0.1309 -0.1102 -0.0942 -0.0873 -0.1003 -0.1223 -0.1218 -0.0967 -0.0610
 -0.0260  0.0074  0.0376  0.0634  0.0840  0.1101  0.1008  0.0632  0.0129 -0.0412
 -0.0959
 -0.0794 -0.0712 -0.0549 -0.0374 -0.0228 -0.0131 -0.0130 -0.0278 -0.0417 -0.0397
 -0.0227  0.0015  0.0268  0.0495  0.0677  0.0902  0.0809  0.0447 -0.0057 -0.0599
 -0.1146 -0.1689
 -0.0016 -0.0097 -0.0042  0.0080  0.0212  0.0324  0.0404  0.0439  0.0384  0.0280
  0.0192  0.0198  0.0292  0.0439  0.0587  0.0772  0.0673  0.0314 -0.0192 -0.0745
 -0.1300 -0.1849 -0.2388 -0.2919
  0.0839  0.0614  0.0516  0.0534  0.0606  0.0691  0.0761  0.0811  0.0841  0.0838
  0.0781  0.0694  0.0631  0.0612  0.0629  0.0713  0.0601  0.0244 -0.0268 -0.0846
 -0.1422 -0.1985 -0.2537 -0.3076 -0.3598 -0.4115 -0.4638 -0.5178 -0.5741 -0.6333
  0.1745  0.1410  0.1174  0.1061  0.1034  0.1054  0.1089  0.1119  0.1137  0.1149
  0.1144  0.1111  0.1047  0.0969  0.0898  0.0756  0.0592  0.0248 -0.0280 -0.0890
 -0.1501 -0.2091 -0.2664 -0.3220 -0.3760 -0.4273 -0.4777 -0.5296 -0.5847 -0.6438
 -0.7049
  0.2677  0.2261  0.1927  0.1695  0.1551  0.1475  0.1443  0.1430  0.1419  0.1407
  0.1392  0.1369  0.1331  0.1268  0.1186  0.0936  0.0657  0.0292 -0.0234 -0.0870
 -0.1523 -0.2154 -0.2759 -0.3341 -0.3903 -0.4444 -0.4958 -0.5466 -0.5989 -0.6547
 -0.7151
  0.3613  0.3137  0.2738  0.2424  0.2171  0.1992  0.1869  0.1786  0.1725  0.1677
  0.1633  0.1587  0.1537  0.1476  0.1400  0.1134  0.0787  0.0372 -0.0152 -0.0799
 -0.1490 -0.2169 -0.2817 -0.3436 -0.4029 -0.4598 -0.5147 -0.5678 -0.6209 -0.6743
 -0.7279
  0.4526  0.4009  0.3565  0.3187  0.2869  0.2606  0.2393  0.2226  0.2093  0.1989
  0.1901  0.1821  0.1743  0.1661  0.1572  0.1298  0.0934  0.0489 -0.0042 -0.0683
 -0.1389 -0.2106 -0.2801 -0.3466 -0.4098 -0.4702 -0.5282 -0.5840 -0.6380 -0.6910
 -0.7439
  0.5387  0.4855  0.4383  0.3966  0.3599  0.3278  0.2998  0.2756  0.2548  0.2372
  0.2224  0.2094  0.1977  0.1863  0.1749  0.1437  0.1064  0.0606  0.0064 -0.0561
 -0.1261 -0.1993 -0.2723 -0.3432 -0.4110 -0.4757 -0.5375 -0.5967 -0.6536 -0.7088
 -0.7631
  0.6152  0.5681  0.5224  0.4787  0.4376  0.3997  0.3654  0.3348  0.3076  0.2835
  0.2620  0.2429  0.2258  0.2101  0.1952  0.1577  0.1177  0.0716  0.0171
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value = F098M
 -0.4525 -0.4906 -0.4972 -0.4400 -0.3608 -0.2791 -0.2073 -0.1483 -0.0963 -0.0501
 -0.0100  0.0251  0.0561  0.0835  0.1071  0.1483  0.1584  0.1245  0.0714
 -0.3364 -0.3134 -0.3266 -0.3588 -0.3369 -0.2777 -0.2126 -0.1550 -0.1054 -0.0624
 -0.0257  0.0064  0.0347  0.0594  0.0806  0.1149  0.1191  0.0920  0.0451 -0.0085
 -0.2663 -0.2319 -0.2043 -0.1957 -0.2200 -0.2350 -0.2050 -0.1569 -0.1107 -0.0707
 -0.0367 -0.0072  0.0187  0.0413  0.0605  0.0906  0.0931  0.0678  0.0222 -0.0309
 -0.0856
 -0.2040 -0.1768 -0.1448 -0.1156 -0.0990 -0.1031 -0.1251 -0.1302 -0.1059 -0.0727
 -0.0423 -0.0154  0.0083  0.0290  0.0464  0.0729  0.0735  0.0492  0.0049 -0.0483
 -0.1032 -0.1578
 -0.1369 -0.1247 -0.1000 -0.0726 -0.0492 -0.0313 -0.0234 -0.0299 -0.0468 -0.0495
 -0.0361 -0.0165  0.0036  0.0222  0.0380  0.0613  0.0601  0.0360 -0.0076 -0.0613
 -0.1173 -0.1729 -0.2274 -0.2818
 -0.0615 -0.0648 -0.0547 -0.0345 -0.0126  0.0064  0.0218  0.0324  0.0343  0.0253
  0.0132  0.0079  0.0119  0.0226  0.0351  0.0552  0.0523  0.0280 -0.0152 -0.0701
 -0.1281 -0.1854 -0.2414 -0.2961 -0.3488 -0.4008 -0.4539 -0.5091 -0.5672 -0.6274
  0.0261  0.0065  0.0002  0.0070  0.0216  0.0377  0.0518  0.0633  0.0718  0.0761
  0.0740  0.0651  0.0547  0.0478  0.0461  0.0543  0.0495  0.0250 -0.0179 -0.0741
 -0.1348 -0.1949 -0.2532 -0.3097 -0.3646 -0.4173 -0.4693 -0.5223 -0.5779 -0.6369
 -0.6992
  0.1210  0.0895  0.0679  0.0593  0.0614  0.0701  0.0803  0.0894  0.0966  0.1022
  0.1055  0.1052  0.1000  0.0911  0.0815  0.0637  0.0517  0.0262 -0.0161 -0.0729
 -0.1366 -0.2003 -0.2617 -0.3209 -0.3780 -0.4319 -0.4841 -0.5366 -0.5908 -0.6482
 -0.7094
