 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F160W
  1.9613  1.9859  2.0416  2.0481  2.0211  2.0137  2.0226  2.0254  2.0155  2.0055
  1.9868  1.9582  1.9222  1.8823  1.8385  1.7271  1.5767  1.4053  1.2830
  2.0040  1.9738  1.9565  1.9644  1.9965  2.0159  2.0135  2.0038  1.9937  1.9798
  1.9581  1.9291  1.8944  1.8552  1.8123  1.6930  1.5625  1.4263  1.2886  1.1516
  2.0055  1.9711  1.9427  1.9235  1.9188  1.9396  1.9712  1.9835  1.9771  1.9602
  1.9380  1.9087  1.8736  1.8340  1.7909  1.6725  1.5457  1.4138  1.2796  1.1459
  1.0137
  2.0031  1.9715  1.9403  1.9134  1.8931  1.8814  1.8846  1.9077  1.9296  1.9326
  1.9164  1.8885  1.8539  1.8143  1.7710  1.6529  1.5286  1.4008  1.2708  1.1401
  1.0107  0.8831
  1.9893  1.9667  1.9384  1.9098  1.8839  1.8627  1.8468  1.8391  1.8469  1.8607
  1.8675  1.8566  1.8306  1.7942  1.7519  1.6342  1.5114  1.3876  1.2619  1.1343
  1.0074  0.8822  0.7590  0.6375
  1.9625  1.9494  1.9297  1.9045  1.8780  1.8529  1.8309  1.8122  1.7983  1.7918
  1.7921  1.7922  1.7825  1.7601  1.7272  1.6162  1.4944  1.3733  1.2517  1.1282
  1.0040  0.8808  0.7596  0.6404  0.5224  0.4061  0.2920  0.1805  0.0719 -0.0335
  1.9226  1.9185  1.9095  1.8906  1.8682  1.8438  1.8194  1.7967  1.7761  1.7585
  1.7436  1.7313  1.7204  1.7059  1.6834  1.5940  1.4775  1.3580  1.2400  1.1210
  1.0000  0.8791  0.7598  0.6424  0.5271  0.4140  0.3027  0.1930  0.0846 -0.0220
 -0.1243
  1.8700  1.8742  1.8736  1.8638  1.8480  1.8283  1.8058  1.7824  1.7594  1.7378
  1.7171  1.6967  1.6765  1.6564  1.6349  1.5609  1.4581  1.3427  1.2272  1.1120
  0.9951  0.8769  0.7594  0.6438  0.5303  0.4188  0.3093  0.2017  0.0956 -0.0090
 -0.1123
  1.8047  1.8166  1.8226  1.8216  1.8132  1.8001  1.7831  1.7629  1.7406  1.7181
  1.6959  1.6731  1.6490  1.6238  1.5976  1.5250  1.4330  1.3255  1.2124  1.1000
  0.9868  0.8720  0.7566  0.6422  0.5300  0.4201  0.3121  0.2062  0.1020 -0.0008
 -0.1020
  1.7270  1.7461  1.7580  1.7633  1.7629  1.7571  1.7467  1.7325  1.7146  1.6944
  1.6729  1.6504  1.6265  1.6005  1.5725  1.4953  1.4085  1.3080  1.1994  1.0892
  0.9790  0.8677  0.7555  0.6431  0.5322  0.4236  0.3171  0.2129  0.1106  0.0100
 -0.0909
  1.6387  1.6630  1.6805  1.6919  1.6978  1.6986  1.6950  1.6872  1.6755  1.6605
  1.6427  1.6228  1.6010  1.5769  1.5501  1.4726  1.3856  1.2908  1.1871  1.0790
