 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = F625W
 -2.6400 -2.0947 -1.7379 -1.6229 -1.8413 -2.2278 -2.8310 -2.7212 -2.6138 -2.4982
 -2.3771 -2.2974 -2.1590 -2.0243 -1.8992 -1.6585 -1.4812 -1.3658 -1.2922
 -3.5189 -3.1966 -2.9651 -2.8153 -2.7212 -2.6383 -2.5528 -2.4688 -2.3884 -2.3092
 -2.2219 -2.1217 -2.0133 -1.9075 -1.8099 -1.6076 -1.4615 -1.3644 -1.3022 -1.2623
 -3.3545 -3.0544 -2.8187 -2.6385 -2.5086 -2.4247 -2.3730 -2.3208 -2.2539 -2.1766
 -2.1005 -2.0221 -1.9336 -1.8417 -1.7556 -1.5783 -1.4525 -1.3689 -1.3145 -1.2785
 -1.2547
 -3.2303 -2.9635 -2.7445 -2.5646 -2.4202 -2.3101 -2.2300 -2.1738 -2.1295 -2.0768
 -2.0103 -1.9424 -1.8710 -1.7938 -1.7179 -1.5586 -1.4467 -1.3741 -1.3268 -1.2945
 -1.2723 -1.2574
 -3.1057 -2.8773 -2.6843 -2.5177 -2.3739 -2.2541 -2.1593 -2.0860 -2.0276 -1.9781
 -1.9288 -1.8732 -1.8158 -1.7526 -1.6879 -1.5444 -1.4417 -1.3772 -1.3369 -1.3091
 -1.2893 -1.2755 -1.2664 -1.2599
 -2.9724 -2.7803 -2.6164 -2.4705 -2.3378 -2.2188 -2.1169 -2.0342 -1.9678 -1.9113
 -1.8600 -1.8102 -1.7622 -1.7111 -1.6572 -1.5314 -1.4356 -1.3760 -1.3422 -1.3202
 -1.3043 -1.2929 -1.2852 -1.2806 -1.2784 -1.2797 -1.2859 -1.2980 -1.3167 -1.3424
 -2.8367 -2.6727 -2.5353 -2.4118 -2.2961 -2.1866 -2.0856 -1.9977 -1.9252 -1.8655
 -1.8129 -1.7637 -1.7168 -1.6718 -1.6256 -1.5161 -1.4278 -1.3704 -1.3407 -1.3251
 -1.3149 -1.3075 -1.3027 -1.3000 -1.2991 -1.2983 -1.3002 -1.3077 -1.3233 -1.3477
 -1.3774
 -2.7009 -2.5609 -2.4441 -2.3400 -2.2422 -2.1470 -2.0540 -1.9673 -1.8912 -1.8275
 -1.7742 -1.7267 -1.6820 -1.6394 -1.5972 -1.4988 -1.4183 -1.3622 -1.3334 -1.3224
 -1.3185 -1.3170 -1.3167 -1.3174 -1.3190 -1.3213 -1.3232 -1.3274 -1.3371 -1.3549
 -1.3824
 -2.5686 -2.4507 -2.3476 -2.2579 -2.1751 -2.0941 -2.0133 -1.9337 -1.8590 -1.7929
 -1.7373 -1.6904 -1.6486 -1.6095 -1.5712 -1.4805 -1.4062 -1.3528 -1.3230 -1.3132
 -1.3141 -1.3191 -1.3250 -1.3308 -1.3364 -1.3418 -1.3474 -1.3550 -1.3649 -1.3768
 -1.3906
 -2.4398 -2.3421 -2.2550 -2.1738 -2.1010 -2.0320 -1.9633 -1.8940 -1.8257 -1.7613
 -1.7040 -1.6558 -1.6152 -1.5794 -1.5456 -1.4639 -1.3944 -1.3434 -1.3129 -1.3015
 -1.3037 -1.3131 -1.3251 -1.3372 -1.3484 -1.3585 -1.3678 -1.3767 -1.3904 -1.4003
 -1.4073
 -2.3146 -2.2351 -2.1663 -2.0940 -2.0256 -1.9636 -1.9044 -1.8453 -1.7858 -1.7273
 -1.6720 -1.6227 -1.5813 -1.5469 -1.5167 -1.4465 -1.3822 -1.3336 -1.3033 -1.2903
 -1.2913 -1.3018 -1.3177 -1.3356 -1.3530 -1.3690 -1.3835 -1.3966 -1.4088 -1.4208
 -1.4337
 -2.1928 -2.1297 -2.0815 -2.0198 -1.9546 -1.8958 -1.8417 -1.7899 -1.7388 -1.6880
 -1.6381 -1.5911 -1.5492 -1.5142 -1.4845 -1.4283 -1.3696 -1.3234 -1.2942
 [Fe/H] = -2.00 [alpha/Fe] = 0.00 BC value = F625W
 -4.2665 -3.7141 -3.2705 -2.9564 -2.8032 -2.7530 -2.8188 -2.6811 -2.5529 -2.4285
 -2.3041 -2.1950 -2.0692 -1.9517 -1.8444 -1.6277 -1.4667 -1.3557 -1.2842
 -4.0546 -3.6572 -3.3661 -3.1207 -2.9105 -2.7375 -2.5966 -2.4793 -2.3758 -2.2782
 -2.1804 -2.0780 -1.9727 -1.8719 -1.7795 -1.5893 -1.4505 -1.3553 -1.2934 -1.2524
 -3.7883 -3.3657 -3.0473 -2.8188 -2.6689 -2.5583 -2.4515 -2.3477 -2.2530 -2.1676
 -2.0869 -2.0048 -1.9156 -1.8253 -1.7410 -1.5678 -1.4436 -1.3592 -1.3046 -1.2688
 -1.2449
 -3.6511 -3.2448 -2.9286 -2.6868 -2.5064 -2.3769 -2.2929 -2.2352 -2.1718 -2.0959
 -2.0187 -1.9462 -1.8727 -1.7939 -1.7179 -1.5561 -1.4411 -1.3643 -1.3156 -1.2836
 -1.2616 -1.2469
 -3.5566 -3.1789 -2.8796 -2.6433 -2.4566 -2.3116 -2.2017 -2.1210 -2.0654 -2.0204
 -1.9652 -1.9012 -1.8356 -1.7677 -1.6988 -1.5489 -1.4400 -1.3682 -1.3245 -1.2967
 -1.2775 -1.2641 -1.2555 -1.2510
 -3.4640 -3.1217 -2.8467 -2.6250 -2.4430 -2.2929 -2.1712 -2.0752 -2.0001 -1.9409
 -1.8933 -1.8466 -1.7957 -1.7394 -1.6796 -1.5418 -1.4379 -1.3690 -1.3293 -1.3065
 -1.2913 -1.2805 -1.2734 -1.2696 -1.2685 -1.2704 -1.2764 -1.2884 -1.3103 -1.3368
 -3.3615 -3.0553 -2.8079 -2.6051 -2.4347 -2.2884 -2.1626 -2.0571 -1.9710 -1.9010
 -1.8424 -1.7914 -1.7460 -1.7010 -1.6521 -1.5313 -1.4332 -1.3662 -1.3286 -1.3106
 -1.3008 -1.2943 -1.2902 -1.2882 -1.2881 -1.2899 -1.2943 -1.3023 -1.3165 -1.3415
 -1.3714
 -3.2497 -2.9780 -2.7575 -2.5747 -2.4187 -2.2816 -2.1592 -2.0503 -1.9565 -1.8784
 -1.8133 -1.7573 -1.7079 -1.6628 -1.6197 -1.5142 -1.4249 -1.3599 -1.3229 -1.3079
 -1.3038 -1.3030 -1.3034 -1.3050 -1.3073 -1.3105 -1.3152 -1.3218 -1.3314 -1.3484
 -1.3765
 -3.1311 -2.8911 -2.6942 -2.5303 -2.3895 -2.2639 -2.1489 -2.0430 -1.9469 -1.8628
 -1.7919 -1.7322 -1.6802 -1.6339 -1.5911 -1.4933 -1.4118 -1.3507 -1.3137 -1.2994
 -1.2994 -1.3048 -1.3112 -1.3177 -1.3241 -1.3303 -1.3370 -1.3443 -1.3532 -1.3655
 -1.3844
 -3.0173 -2.8061 -2.6290 -2.4804 -2.3524 -2.2377 -2.1316 -2.0319 -1.9384 -1.8525
 -1.7767 -1.7121 -1.6579 -1.6111 -1.5690 -1.4750 -1.3981 -1.3408 -1.3039 -1.2882
 -1.2891 -1.2987 -1.3112 -1.3238 -1.3356 -1.3465 -1.3568 -1.3667 -1.3767 -1.3881
 -1.4006
 -2.9123 -2.7249 -2.5640 -2.4274 -2.3092 -2.2036 -2.1057 -2.0130 -1.9246 -1.8411
 -1.7640 -1.6952 -1.6370 -1.5886 -1.5472 -1.4581 -1.3846 -1.3300 -1.2941 -1.2770
 -1.2766 -1.2873 -1.3037 -1.3221 -1.3401 -1.3568 -1.3721 -1.3862 -1.3994 -1.4124
 -1.4263
 -2.8171 -2.6509 -2.5047 -2.3767 -2.2652 -2.1658 -2.0744 -1.9878 -1.9051 -1.8258
 -1.7508 -1.6813 -1.6186 -1.5666 -1.5257 -1.4426 -1.3713 -1.3183 -1.2843
 [Fe/H] = -1.50 [alpha/Fe] = 0.00 BC value = F625W
 -5.5086 -4.9853 -4.5187 -4.1085 -3.7518 -3.4345 -3.1421 -2.8690 -2.6324 -2.4361
 -2.2713 -2.1294 -2.0036 -1.8935 -1.7960 -1.5963 -1.4476 -1.3410 -1.2704
 -5.1710 -4.6528 -4.1838 -3.7748 -3.4281 -3.1365 -2.8859 -2.6630 -2.4718 -2.3111
 -2.1739 -2.0522 -1.9409 -1.8405 -1.7508 -1.5682 -1.4355 -1.3419 -1.2797 -1.2395
 -4.6794 -4.2076 -3.8316 -3.5026 -3.2046 -2.9442 -2.7203 -2.5271 -2.3625 -2.2239
 -2.1058 -2.0006 -1.9019 -1.8095 -1.7257 -1.5547 -1.4315 -1.3459 -1.2897 -1.2535
 -1.2299
 -4.3827 -3.8659 -3.4588 -3.1462 -2.9142 -2.7419 -2.5847 -2.4303 -2.2863 -2.1605
 -2.0531 -1.9600 -1.8737 -1.7899 -1.7114 -1.5492 -1.4322 -1.3514 -1.2992 -1.2665
 -1.2451 -1.2310
 -4.2416 -3.7136 -3.2935 -2.9678 -2.7167 -2.5278 -2.3906 -2.2895 -2.2052 -2.1123
 -2.0157 -1.9270 -1.8481 -1.7736 -1.7011 -1.5467 -1.4340 -1.3566 -1.3073 -1.2778
 -1.2592 -1.2468 -1.2391 -1.2357
 -4.1690 -3.6475 -3.2287 -2.9019 -2.6480 -2.4495 -2.2945 -2.1742 -2.0843 -2.0204
 -1.9628 -1.8965 -1.8255 -1.7562 -1.6898 -1.5437 -1.4348 -1.3596 -1.3125 -1.2860
 -1.2711 -1.2616 -1.2556 -1.2529 -1.2530 -1.2555 -1.2628 -1.2777 -1.3004 -1.3263
 -4.1073 -3.6084 -3.2018 -2.8812 -2.6293 -2.4289 -2.2678 -2.1378 -2.0338 -1.9509
 -1.8866 -1.8356 -1.7861 -1.7322 -1.6745 -1.5382 -1.4330 -1.3596 -1.3139 -1.2899
 -1.2791 -1.2737 -1.2709 -1.2701 -1.2713 -1.2746 -1.2807 -1.2903 -1.3060 -1.3317
 -1.3617
 -4.0280 -3.5638 -3.1802 -2.8726 -2.6280 -2.4306 -2.2686 -2.1332 -2.0204 -1.9273
 -1.8506 -1.7871 -1.7351 -1.6900 -1.6450 -1.5275 -1.4279 -1.3563 -1.3112 -1.2887
 -1.2815 -1.2812 -1.2828 -1.2856 -1.2893 -1.2940 -1.3003 -1.3086 -1.3198 -1.3382
 -1.3670
 -3.9207 -3.4991 -3.1458 -2.8574 -2.6243 -2.4340 -2.2751 -2.1394 -2.0222 -1.9215
 -1.8364 -1.7649 -1.7044 -1.6533 -1.6091 -1.5073 -1.4174 -1.3489 -1.3045 -1.2824
 -1.2778 -1.2823 -1.2896 -1.2973 -1.3050 -1.3126 -1.3209 -1.3299 -1.3405 -1.3553
 -1.3745
 -3.7955 -3.4254 -3.1062 -2.8395 -2.6194 -2.4370 -2.2829 -2.1496 -2.0320 -1.9276
 -1.8360 -1.7574 -1.6906 -1.6340 -1.5854 -1.4858 -1.4032 -1.3394 -1.2960 -1.2732
 -1.2688 -1.2764 -1.2890 -1.3026 -1.3156 -1.3278 -1.3396 -1.3511 -1.3628 -1.3759
 -1.3899
 -3.6589 -3.3379 -3.0557 -2.8138 -2.6093 -2.4360 -2.2869 -2.1564 -2.0403 -1.9357
 -1.8413 -1.7572 -1.6844 -1.6228 -1.5705 -1.4675 -1.3880 -1.3274 -1.2859 -1.2627
 -1.2571 -1.2653 -1.2814 -1.3005 -1.3195 -1.3374 -1.3541 -1.3696 -1.3844 -1.3991
 -1.4145
 -3.5287 -3.2457 -2.9973 -2.7806 -2.5938 -2.4314 -2.2883 -2.1607 -2.0459 -1.9419
 -1.8469 -1.7607 -1.6798 -1.6133 -1.5644 -1.4524 -1.3718 -1.3129 -1.2742
 [Fe/H] = -1.00 [alpha/Fe] = 0.00 BC value = F625W
 -6.3663 -5.9084 -5.4826 -5.0793 -4.6872 -4.2723 -3.8009 -3.2849 -2.8523 -2.5210
 -2.2787 -2.1006 -1.9621 -1.8497 -1.7541 -1.5642 -1.4240 -1.3218 -1.2509
 -6.0884 -5.5847 -5.1177 -4.6867 -4.2864 -3.8983 -3.4834 -3.0669 -2.7108 -2.4270
 -2.2100 -2.0459 -1.9179 -1.8127 -1.7227 -1.5441 -1.4148 -1.3228 -1.2595 -1.2184
 -5.8374 -5.3397 -4.8631 -4.4175 -4.0097 -3.6380 -3.2785 -2.9278 -2.6218 -2.3703
 -2.1710 -2.0161 -1.8939 -1.7932 -1.7070 -1.5361 -1.4133 -1.3270 -1.2683 -1.2305
 -1.2070
 -5.3659 -4.9182 -4.5277 -4.1565 -3.7927 -3.4466 -3.1252 -2.8243 -2.5564 -2.3299
 -2.1452 -1.9979 -1.8801 -1.7829 -1.6995 -1.5344 -1.4156 -1.3326 -1.2769 -1.2415
 -1.2200 -1.2069
 -5.0363 -4.5218 -4.0880 -3.7271 -3.4322 -3.1888 -2.9569 -2.7202 -2.4945 -2.2944
 -2.1242 -1.9839 -1.8701 -1.7761 -1.6953 -1.5348 -1.4190 -1.3381 -1.2844 -1.2510
 -1.2317 -1.2204 -1.2142 -1.2123
 -4.8986 -4.3243 -3.8416 -3.4518 -3.1385 -2.8860 -2.6816 -2.5148 -2.3727 -2.2345
 -2.0973 -1.9704 -1.8608 -1.7693 -1.6911 -1.5348 -1.4216 -1.3422 -1.2899 -1.2582
 -1.2412 -1.2325 -1.2282 -1.2273 -1.2295 -1.2351 -1.2447 -1.2614 -1.2857 -1.3118
 -4.8665 -4.2652 -3.7510 -3.3343 -3.0055 -2.7444 -2.5331 -2.3591 -2.2164 -2.1042
 -2.0156 -1.9325 -1.8461 -1.7613 -1.6852 -1.5331 -1.4223 -1.3441 -1.2928 -1.2625
 -1.2476 -1.2420 -1.2409 -1.2421 -1.2454 -1.2511 -1.2595 -1.2719 -1.2902 -1.3170
 -1.3470
 -4.8564 -4.2582 -3.7327 -3.2996 -2.9560 -2.6865 -2.4715 -2.2963 -2.1510 -2.0308
 -1.9328 -1.8560 -1.7940 -1.7344 -1.6730 -1.5286 -1.4203 -1.3433 -1.2925 -1.2631
 -1.2500 -1.2477 -1.2505 -1.2552 -1.2612 -1.2682 -1.2772 -1.2882 -1.3025 -1.3227
 -1.3523
 -4.8120 -4.2405 -3.7268 -3.2945 -2.9458 -2.6706 -2.4521 -2.2747 -2.1277 -2.0043
 -1.9005 -1.8140 -1.7430 -1.6860 -1.6368 -1.5177 -1.4140 -1.3386 -1.2885 -1.2595
 -1.2476 -1.2482 -1.2555 -1.2649 -1.2748 -1.2849 -1.2957 -1.3073 -1.3208 -1.3381
 -1.3594
 -4.7307 -4.2047 -3.7184 -3.3026 -2.9588 -2.6807 -2.4598 -2.2803 -2.1314 -2.0048
 -1.8963 -1.8036 -1.7250 -1.6592 -1.6048 -1.4974 -1.4042 -1.3318 -1.2821 -1.2529
 -1.2412 -1.2434 -1.2544 -1.2689 -1.2839 -1.2983 -1.3126 -1.3266 -1.3410 -1.3568
 -1.3752
 -4.6069 -4.1328 -3.6894 -3.3006 -2.9704 -2.6991 -2.4784 -2.2976 -2.1470 -2.0184
 -1.9064 -1.8084 -1.7235 -1.6511 -1.5901 -1.4759 -1.3896 -1.3213 -1.2732 -1.2439
 -1.2316 -1.2341 -1.2475 -1.2664 -1.2868 -1.3066 -1.3256 -1.3434 -1.3607 -1.3780
 -1.3961
 -4.4564 -4.0332 -3.6381 -3.2846 -2.9786 -2.7194 -2.5026 -2.3212 -2.1686 -2.0379
 -1.9237 -1.8225 -1.7327 -1.6542 -1.5927 -1.4532 -1.3702 -1.3071 -1.2618
