 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = F110W
  1.1143  1.0961  1.0732  1.0473  1.0240  1.0064  1.0041  0.9850  0.9715  0.9647
  0.9643  0.9745  0.9734  0.9761  0.9749  0.9576  0.8958  0.8090  0.7203
  1.1451  1.1377  1.1183  1.0882  1.0517  1.0229  1.0010  0.9820  0.9648  0.9497
  0.9397  0.9362  0.9369  0.9368  0.9329  0.9012  0.8449  0.7731  0.6962  0.6176
  1.1480  1.1293  1.1118  1.0932  1.0703  1.0401  1.0054  0.9782  0.9596  0.9457
  0.9323  0.9210  0.9152  0.9117  0.9061  0.8754  0.8203  0.7498  0.6740  0.5969
  0.5199
  1.1608  1.1355  1.1138  1.0941  1.0742  1.0522  1.0267  0.9975  0.9684  0.9463
  0.9307  0.9158  0.9034  0.8948  0.8866  0.8542  0.8009  0.7315  0.6560  0.5798
  0.5040  0.4288
  1.1880  1.1556  1.1280  1.1041  1.0822  1.0607  1.0380  1.0136  0.9880  0.9623
  0.9395  0.9207  0.9029  0.8881  0.8752  0.8391  0.7867  0.7182  0.6424  0.5659
  0.4903  0.4157  0.3422  0.2701
  1.2242  1.1861  1.1526  1.1236  1.0980  1.0740  1.0506  1.0269  1.0023  0.9778
  0.9543  0.9324  0.9112  0.8921  0.8745  0.8303  0.7775  0.7101  0.6335  0.5556
  0.4791  0.4042  0.3307  0.2584  0.1871  0.1161  0.0448 -0.0275 -0.1011 -0.1763
  1.2602  1.2220  1.1844  1.1508  1.1208  1.0935  1.0678  1.0427  1.0175  0.9923
  0.9677  0.9444  0.9220  0.9004  0.8801  0.8291  0.7733  0.7067  0.6298  0.5498
  0.4712  0.3948  0.3204  0.2476  0.1765  0.1075  0.0390 -0.0305 -0.1026 -0.1774
 -0.2526
  1.2938  1.2561  1.2183  1.1824  1.1489  1.1181  1.0896  1.0623  1.0353  1.0089
  0.9827  0.9573  0.9330  0.9096  0.8874  0.8326  0.7736  0.7071  0.6307  0.5492
  0.4678  0.3888  0.3124  0.2383  0.1663  0.0961  0.0280 -0.0395 -0.1080 -0.1791
 -0.2535
  1.3153  1.2820  1.2478  1.2128  1.1782  1.1453  1.1143  1.0847  1.0559  1.0276
  0.9998  0.9724  0.9457  0.9199  0.8954  0.8370  0.7761  0.7089  0.6336  0.5517
  0.4683  0.3861  0.3067  0.2301  0.1562  0.0847  0.0151 -0.0538 -0.1222 -0.1901
 -0.2575
  1.3245  1.2997  1.2686  1.2376  1.2052  1.1723  1.1401  1.1090  1.0786  1.0488
  1.0192  0.9901  0.9613  0.9333  0.9061  0.8429  0.7802  0.7128  0.6385  0.5579
  0.4740  0.3897  0.3072  0.2275  0.1508  0.0771  0.0059 -0.0633 -0.1342 -0.2008
 -0.2645
  1.3217  1.3092  1.2807  1.2513  1.2241  1.1943  1.1633  1.1321  1.1012  1.0704
  1.0397  1.0091  0.9787  0.9487  0.9193  0.8500  0.7848  0.7169  0.6434  0.5643
  0.4812  0.3966  0.3122  0.2296  0.1498  0.0731 -0.0008 -0.0719 -0.1408 -0.2081
 -0.2745
  1.3066  1.3105  1.2841  1.2527  1.2311  1.2065  1.1793  1.1504  1.1206  1.0901
  1.0593  1.0281  0.9966  0.9652  0.9350  0.8583  0.7899  0.7212  0.6483
 [Fe/H] = -2.00 [alpha/Fe] = 0.00 BC value = F110W
  1.1883  1.1585  1.1238  1.0862  1.0493  1.0160  0.9911  0.9651  0.9464  0.9358
  0.9332  0.9386  0.9422  0.9456  0.9452  0.9284  0.8803  0.8093  0.7262
