 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = F814W
 -2.3555 -2.3760 -2.4096 -2.4506 -2.4792 -2.4801 -2.3500 -2.3300 -2.3055 -2.2702
 -2.2227 -2.1639 -2.1090 -2.0497 -1.9940 -1.8903 -1.8540 -1.8605 -1.8813
 -2.3542 -2.2891 -2.2537 -2.2450 -2.2565 -2.2651 -2.2632 -2.2544 -2.2412 -2.2233
 -2.1945 -2.1521 -2.1008 -2.0500 -2.0047 -1.9255 -1.8894 -1.8860 -1.9001 -1.9241
 -2.3166 -2.2654 -2.2235 -2.1925 -2.1753 -2.1752 -2.1894 -2.1994 -2.1957 -2.1793
 -2.1589 -2.1323 -2.0941 -2.0510 -2.0110 -1.9388 -1.9077 -1.9070 -1.9222 -1.9459
 -1.9749
 -2.2724 -2.2339 -2.1987 -2.1677 -2.1427 -2.1258 -2.1182 -2.1206 -2.1290 -2.1310
 -2.1211 -2.1063 -2.0829 -2.0500 -2.0158 -1.9507 -1.9222 -1.9237 -1.9405 -1.9644
 -1.9927 -2.0244
 -2.2072 -2.1847 -2.1616 -2.1382 -2.1158 -2.0964 -2.0816 -2.0720 -2.0674 -2.0671
 -2.0668 -2.0620 -2.0540 -2.0373 -2.0139 -1.9581 -1.9315 -1.9349 -1.9543 -1.9796
 -2.0082 -2.0395 -2.0733 -2.1087
 -2.1225 -2.1161 -2.1073 -2.0954 -2.0808 -2.0656 -2.0513 -2.0393 -2.0302 -2.0232
 -2.0179 -2.0133 -2.0102 -2.0039 -1.9930 -1.9580 -1.9348 -1.9391 -1.9620 -1.9905
 -2.0209 -2.0531 -2.0870 -2.1226 -2.1600 -2.1998 -2.2426 -2.2889 -2.3389 -2.3928
 -2.0259 -2.0312 -2.0359 -2.0366 -2.0330 -2.0258 -2.0167 -2.0071 -1.9984 -1.9910
 -1.9842 -1.9778 -1.9724 -1.9680 -1.9620 -1.9446 -1.9310 -1.9364 -1.9619 -1.9951
 -2.0295 -2.0639 -2.0991 -2.1353 -2.1724 -2.2098 -2.2491 -2.2920 -2.3401 -2.3935
 -2.4494
 -1.9194 -1.9360 -1.9511 -1.9628 -1.9706 -1.9737 -1.9725 -1.9689 -1.9643 -1.9591
 -1.9541 -1.9492 -1.9442 -1.9397 -1.9347 -1.9239 -1.9196 -1.9277 -1.9544 -1.9919
 -2.0315 -2.0702 -2.1083 -2.1463 -2.1844 -2.2229 -2.2614 -2.3015 -2.3452 -2.3940
 -2.4489
 -1.8113 -1.8361 -1.8584 -1.8784 -1.8956 -1.9084 -1.9168 -1.9212 -1.9229 -1.9227
 -1.9215 -1.9196 -1.9174 -1.9151 -1.9119 -1.9040 -1.9042 -1.9156 -1.9424 -1.9820
 -2.0264 -2.0707 -2.1134 -2.1548 -2.1952 -2.2351 -2.2751 -2.3166 -2.3597 -2.4042
 -2.4500
 -1.7015 -1.7315 -1.7617 -1.7879 -1.8116 -1.8326 -1.8499 -1.8630 -1.8727 -1.8794
 -1.8838 -1.8866 -1.8883 -1.8893 -1.8895 -1.8867 -1.8891 -1.9024 -1.9286 -1.9674
 -2.0139 -2.0627 -2.1107 -2.1568 -2.2010 -2.2437 -2.2855 -2.3268 -2.3720 -2.4144
 -2.4550
 -1.5902 -1.6222 -1.6610 -1.6955 -1.7232 -1.7498 -1.7739 -1.7949 -1.8126 -1.8271
 -1.8386 -1.8477 -1.8546 -1.8600 -1.8643 -1.8704 -1.8751 -1.8895 -1.9156 -1.9528
 -1.9986 -2.0491 -2.1009 -2.1519 -2.2008 -2.2475 -2.2925 -2.3360 -2.3787 -2.4212
 -2.4646
 -1.4772 -1.5082 -1.5563 -1.6022 -1.6335 -1.6640 -1.6929 -1.7198 -1.7443 -1.7662
 -1.7853 -1.8015 -1.8150 -1.8261 -1.8363 -1.8551 -1.8622 -1.8769 -1.9034
 [Fe/H] = -2.00 [alpha/Fe] = 0.00 BC value = F814W
 -2.3836 -2.3566 -2.3497 -2.3570 -2.3678 -2.3726 -2.3335 -2.3267 -2.3083 -2.2766
 -2.2318 -2.1766 -2.1198 -2.0639 -2.0128 -1.9138 -1.8642 -1.8548 -1.8714
 -2.3311 -2.2796 -2.2630 -2.2545 -2.2493 -2.2497 -2.2531 -2.2545 -2.2490 -2.2333
 -2.2054 -2.1648 -2.1158 -2.0666 -2.0217 -1.9364 -1.8913 -1.8819 -1.8942 -1.9171
 -2.3239 -2.2540 -2.2065 -2.1823 -2.1849 -2.1995 -2.2073 -2.2065 -2.2015 -2.1932
 -2.1777 -2.1520 -2.1142 -2.0715 -2.0312 -1.9537 -1.9117 -1.9028 -1.9155 -1.9386
 -1.9674
 -2.3202 -2.2548 -2.2031 -2.1647 -2.1402 -2.1301 -2.1373 -2.1550 -2.1654 -2.1615
 -2.1499 -2.1334 -2.1083 -2.0739 -2.0391 -1.9678 -1.9286 -1.9197 -1.9327 -1.9560
 -1.9843 -2.0162
 -2.2990 -2.2446 -2.1985 -2.1598 -2.1290 -2.1069 -2.0937 -2.0894 -2.0958 -2.1076
 -2.1116 -2.1067 -2.0931 -2.0697 -2.0405 -1.9771 -1.9404 -1.9319 -1.9456 -1.9701
 -1.9989 -2.0306 -2.0648 -2.1015
 -2.2548 -2.2148 -2.1790 -2.1466 -2.1175 -2.0928 -2.0735 -2.0598 -2.0511 -2.0478
 -2.0505 -2.0544 -2.0554 -2.0484 -2.0324 -1.9803 -1.9467 -1.9385 -1.9531 -1.9799
 -2.0106 -2.0433 -2.0777 -2.1140 -2.1520 -2.1920 -2.2349 -2.2817 -2.3342 -2.3883
 -2.1884 -2.1635 -2.1405 -2.1179 -2.0954 -2.0739 -2.0545 -2.0382 -2.0254 -2.0154
 -2.0080 -2.0039 -2.0042 -2.0047 -2.0007 -1.9749 -1.9468 -1.9392 -1.9543 -1.9840
 -2.0183 -2.0534 -2.0892 -2.1260 -2.1639 -2.2030 -2.2440 -2.2875 -2.3350 -2.3889
 -2.4450
 -2.1050 -2.0935 -2.0830 -2.0716 -2.0585 -2.0439 -2.0288 -2.0142 -2.0014 -1.9905
 -1.9809 -1.9728 -1.9673 -1.9641 -1.9620 -1.9528 -1.9395 -1.9344 -1.9495 -1.9813
 -2.0200 -2.0592 -2.0978 -2.1365 -2.1753 -2.2145 -2.2549 -2.2966 -2.3405 -2.3891
 -2.4445
 -2.0107 -2.0098 -2.0097 -2.0086 -2.0055 -1.9998 -1.9917 -1.9821 -1.9725 -1.9635
 -1.9553 -1.9478 -1.9412 -1.9359 -1.9317 -1.9250 -1.9224 -1.9245 -1.9403 -1.9729
 -2.0152 -2.0594 -2.1025 -2.1444 -2.1855 -2.2261 -2.2670 -2.3083 -2.3510 -2.3959
 -2.4454
 -1.9131 -1.9189 -1.9264 -1.9335 -1.9390 -1.9421 -1.9423 -1.9399 -1.9357 -1.9308
 -1.9259 -1.9214 -1.9169 -1.9127 -1.9088 -1.9017 -1.9023 -1.9104 -1.9280 -1.9600
 -2.0035 -2.0516 -2.0997 -2.1461 -2.1908 -2.2342 -2.2768 -2.3190 -2.3613 -2.4047
 -2.4501
 -1.8162 -1.8261 -1.8374 -1.8503 -1.8625 -1.8730 -1.8809 -1.8861 -1.8889 -1.8899
 -1.8898 -1.8895 -1.8888 -1.8877 -1.8863 -1.8827 -1.8841 -1.8949 -1.9149 -1.9461
 -1.9888 -2.0383 -2.0900 -2.1412 -2.1905 -2.2377 -2.2834 -2.3278 -2.3713 -2.4148
 -2.4590
 -1.7241 -1.7350 -1.7483 -1.7635 -1.7797 -1.7958 -1.8099 -1.8219 -1.8316 -1.8393
 -1.8453 -1.8502 -1.8575 -1.8594 -1.8642 -1.8680 -1.8678 -1.8780 -1.9010
 [Fe/H] = -1.50 [alpha/Fe] = 0.00 BC value = F814W
 -2.5705 -2.5070 -2.4649 -2.4380 -2.4201 -2.4044 -2.3851 -2.3585 -2.3251 -2.2845
 -2.2358 -2.1811 -2.1244 -2.0719 -2.0248 -1.9313 -1.8738 -1.8518 -1.8609
 -2.4762 -2.4050 -2.3582 -2.3312 -2.3175 -2.3103 -2.3034 -2.2919 -2.2745 -2.2499
 -2.2162 -2.1733 -2.1249 -2.0776 -2.0348 -1.9500 -1.8978 -1.8785 -1.8858 -1.9076
 -2.3964 -2.3203 -2.2826 -2.2612 -2.2467 -2.2399 -2.2375 -2.2341 -2.2269 -2.2142
 -2.1939 -2.1639 -2.1247 -2.0828 -2.0436 -1.9660 -1.9181 -1.8995 -1.9060 -1.9273
 -1.9559
 -2.3871 -2.2931 -2.2265 -2.1867 -2.1733 -2.1809 -2.1894 -2.1907 -2.1869 -2.1792
 -2.1669 -2.1484 -2.1204 -2.0852 -2.0498 -1.9784 -1.9342 -1.9164 -1.9222 -1.9433
 -1.9716 -2.0038
 -2.3896 -2.2970 -2.2252 -2.1723 -2.1363 -2.1175 -2.1156 -2.1262 -2.1416 -2.1464
 -2.1401 -2.1272 -2.1088 -2.0825 -2.0519 -1.9865 -1.9456 -1.9289 -1.9344 -1.9557
 -1.9846 -2.0170 -2.0519 -2.0895
 -2.3811 -2.2966 -2.2282 -2.1738 -2.1319 -2.1016 -2.0817 -2.0711 -2.0700 -2.0796
 -2.0913 -2.0949 -2.0878 -2.0715 -2.0482 -1.9899 -1.9522 -1.9368 -1.9425 -1.9645
 -1.9948 -2.0284 -2.0637 -2.1009 -2.1400 -2.1809 -2.2250 -2.2737 -2.3268 -2.3808
 -2.3520 -2.2804 -2.2203 -2.1704 -2.1290 -2.0953 -2.0690 -2.0499 -2.0368 -2.0290
 -2.0277 -2.0334 -2.0400 -2.0407 -2.0323 -1.9883 -1.9540 -1.9400 -1.9459 -1.9688
 -2.0014 -2.0372 -2.0740 -2.1118 -2.1508 -2.1912 -2.2337 -2.2785 -2.3272 -2.3816
 -2.4377
 -2.2998 -2.2434 -2.1950 -2.1534 -2.1172 -2.0855 -2.0584 -2.0359 -2.0182 -2.0046
 -1.9941 -1.9873 -1.9862 -1.9892 -1.9911 -1.9778 -1.9511 -1.9387 -1.9448 -1.9680
 -2.0029 -2.0420 -2.0816 -2.1212 -2.1611 -2.2017 -2.2434 -2.2866 -2.3319 -2.3816
 -2.4374
 -2.2271 -2.1855 -2.1499 -2.1186 -2.0905 -2.0646 -2.0409 -2.0194 -2.0008 -1.9853
 -1.9725 -1.9619 -1.9538 -1.9494 -1.9483 -1.9480 -1.9408 -1.9329 -1.9396 -1.9628
 -1.9992 -2.0419 -2.0855 -2.1283 -2.1705 -2.2123 -2.2545 -2.2973 -2.3414 -2.3883
 -2.4381
 -2.1442 -2.1142 -2.0891 -2.0677 -2.0484 -2.0302 -2.0125 -1.9953 -1.9792 -1.9648
 -1.9522 -1.9416 -1.9324 -1.9251 -1.9198 -1.9161 -1.9186 -1.9217 -1.9307 -1.9533
 -1.9896 -2.0347 -2.0824 -2.1294 -2.1751 -2.2195 -2.2634 -2.3069 -2.3507 -2.3955
 -2.4422
 -2.0594 -2.0362 -2.0180 -2.0039 -1.9922 -1.9816 -1.9710 -1.9600 -1.9489 -1.9379
 -1.9278 -1.9191 -1.9115 -1.9048 -1.8991 -1.8915 -1.8945 -1.9042 -1.9186 -1.9416
 -1.9769 -2.0225 -2.0730 -2.1243 -2.1742 -2.2224 -2.2693 -2.3149 -2.3598 -2.4046
 -2.4501
 -1.9762 -1.9574 -1.9432 -1.9330 -1.9262 -1.9215 -1.9174 -1.9129 -1.9078 -1.9021
 -1.8962 -1.8908 -1.8865 -1.8816 -1.8862 -1.8742 -1.8685 -1.8804 -1.9033
 [Fe/H] = -1.00 [alpha/Fe] = 0.00 BC value = F814W
 -2.9162 -2.8271 -2.7553 -2.6935 -2.6359 -2.5753 -2.5048 -2.4254 -2.3559 -2.2939
 -2.2347 -2.1773 -2.1227 -2.0736 -2.0301 -1.9428 -1.8827 -1.8514 -1.8499
 -2.7731 -2.6783 -2.6068 -2.5514 -2.5058 -2.4633 -2.4146 -2.3621 -2.3140 -2.2685
 -2.2216 -2.1725 -2.1238 -2.0786 -2.0382 -1.9577 -1.9034 -1.8757 -1.8743 -1.8924
 -2.6703 -2.5709 -2.4960 -2.4414 -2.4013 -2.3698 -2.3387 -2.3048 -2.2725 -2.2405
 -2.2058 -2.1665 -2.1238 -2.0822 -2.0443 -1.9695 -1.9200 -1.8949 -1.8934 -1.9105
 -1.9383
 -2.5589 -2.4611 -2.3990 -2.3541 -2.3185 -2.2921 -2.2711 -2.2501 -2.2292 -2.2079
 -2.1841 -2.1553 -2.1208 -2.0838 -2.0485 -1.9784 -1.9327 -1.9098 -1.9085 -1.9248
 -1.9521 -1.9850
 -2.5224 -2.4001 -2.3114 -2.2527 -2.2213 -2.2115 -2.2080 -2.2003 -2.1883 -2.1739
 -2.1572 -2.1373 -2.1122 -2.0817 -2.0499 -1.9841 -1.9418 -1.9207 -1.9199 -1.9359
 -1.9633 -1.9962 -2.0323 -2.0713
 -2.5160 -2.3919 -2.2939 -2.2202 -2.1685 -2.1361 -2.1205 -2.1197 -2.1287 -2.1336
 -2.1282 -2.1148 -2.0966 -2.0740 -2.0474 -1.9867 -1.9474 -1.9282 -1.9280 -1.9440
 -1.9717 -2.0055 -2.0421 -2.0808 -2.1216 -2.1649 -2.2110 -2.2614 -2.3158 -2.3698
 -2.5125 -2.3912 -2.2929 -2.2155 -2.1566 -2.1136 -2.0842 -2.0658 -2.0570 -2.0582
 -2.0672 -2.0740 -2.0712 -2.0585 -2.0393 -1.9860 -1.9496 -1.9322 -1.9327 -1.9489
 -1.9771 -2.0123 -2.0504 -2.0898 -2.1305 -2.1730 -2.2175 -2.2646 -2.3154 -2.3706
 -2.4265
 -2.4969 -2.3842 -2.2906 -2.2148 -2.1547 -2.1077 -2.0718 -2.0456 -2.0270 -2.0148
 -2.0083 -2.0088 -2.0146 -2.0187 -2.0161 -1.9814 -1.9485 -1.9329 -1.9339 -1.9503
 -1.9790 -2.0158 -2.0560 -2.0972 -2.1390 -2.1816 -2.2256 -2.2710 -2.3187 -2.3700
 -2.4264
 -2.4599 -2.3603 -2.2758 -2.2059 -2.1489 -2.1026 -2.0649 -2.0346 -2.0111 -1.9932
 -1.9798 -1.9703 -1.9652 -1.9652 -1.9680 -1.9653 -1.9432 -1.9299 -1.9319 -1.9482
 -1.9772 -2.0156 -2.0586 -2.1027 -2.1467 -2.1906 -2.2350 -2.2801 -2.3264 -2.3753
 -2.4268
 -2.4043 -2.3196 -2.2458 -2.1846 -2.1334 -2.0907 -2.0550 -2.0247 -1.9994 -1.9786
 -1.9620 -1.9490 -1.9388 -1.9316 -1.9279 -1.9302 -1.9300 -1.9234 -1.9263 -1.9424
 -1.9710 -2.0100 -2.0554 -2.1029 -2.1500 -2.1964 -2.2423 -2.2880 -2.3341 -2.3811
 -2.4300
 -2.3369 -2.2645 -2.2009 -2.1482 -2.1042 -2.0671 -2.0355 -2.0082 -1.9843 -1.9637
 -1.9462 -1.9319 -1.9202 -1.9109 -1.9038 -1.8975 -1.9034 -1.9102 -1.9174 -1.9338
 -1.9616 -2.0004 -2.0472 -2.0977 -2.1485 -2.1983 -2.2469 -2.2945 -2.3415 -2.3886
 -2.4361
 -2.2654 -2.2030 -2.1480 -2.1014 -2.0626 -2.0309 -2.0043 -1.9814 -1.9611 -1.9431
 -1.9272 -1.9136 -1.9022 -1.8929 -1.8957 -1.8672 -1.8634 -1.8903 -1.9052
 [Fe/H] = -0.75 [alpha/Fe] = 0.00 BC value = F814W
 -3.1486 -3.0508 -2.9662 -2.8867 -2.8052 -2.7129 -2.6017 -2.4766 -2.3751 -2.2965
 -2.2307 -2.1723 -2.1195 -2.0721 -2.0302 -1.9463 -1.8869 -1.8522 -1.8442
 -2.9761 -2.8725 -2.7894 -2.7191 -2.6543 -2.5863 -2.5035 -2.4144 -2.3385 -2.2763
 -2.2209 -2.1690 -2.1203 -2.0762 -2.0370 -1.9591 -1.9050 -1.8752 -1.8687 -1.8835
 -2.8528 -2.7409 -2.6541 -2.5859 -2.5300 -2.4790 -2.4216 -2.3587 -2.3022 -2.2537
 -2.2089 -2.1644 -2.1204 -2.0790 -2.0418 -1.9687 -1.9193 -1.8921 -1.8871 -1.9010
 -1.9276
 -2.7340 -2.6330 -2.5484 -2.4807 -2.4279 -2.3855 -2.3461 -2.3030 -2.2623 -2.2260
 -2.1915 -2.1558 -2.1180 -2.0801 -2.0450 -1.9758 -1.9301 -1.9055 -1.9015 -1.9148
 -1.9407 -1.9735
 -2.6522 -2.5310 -2.4229 -2.3688 -2.3334 -2.3038 -2.2761 -2.2479 -2.2196 -2.1931
 -2.1677 -2.1410 -2.1110 -2.0783 -2.0459 -1.9804 -1.9378 -1.9155 -1.9124 -1.9256
 -1.9510 -1.9837 -2.0202 -2.0596
 -2.6095 -2.4647 -2.3586 -2.2805 -2.2271 -2.1956 -2.1831 -2.1791 -2.1718 -2.1580
 -2.1402 -2.1202 -2.0977 -2.0719 -2.0438 -1.9824 -1.9427 -1.9223 -1.9201 -1.9335
 -1.9589 -1.9919 -2.0288 -2.0681 -2.1098 -2.1539 -2.2014 -2.2531 -2.3083 -2.3626
 -2.5938 -2.4548 -2.3424 -2.2546 -2.1887 -2.1419 -2.1108 -2.0929 -2.0872 -2.0911
 -2.0953 -2.0913 -2.0781 -2.0594 -2.0372 -1.9819 -1.9447 -1.9262 -1.9249 -1.9385
 -1.9640 -1.9977 -2.0357 -2.0758 -2.1175 -2.1611 -2.2069 -2.2552 -2.3072 -2.3632
 -2.4189
 -2.5893 -2.4526 -2.3399 -2.2494 -2.1785 -2.1246 -2.0851 -2.0571 -2.0384 -2.0274
