 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =F350LP
 -1.7688 -1.7293 -1.7288 -1.6947 -1.6135 -1.5375 -1.5093 -1.5065 -1.4855 -1.4304
 -1.3565 -1.2688 -1.1769 -1.0904 -1.0066 -0.8212 -0.6736 -0.5612 -0.4716
 -1.7318 -1.6360 -1.5691 -1.5123 -1.4647 -1.4280 -1.3994 -1.3732 -1.3433 -1.3059
 -1.2578 -1.1961 -1.1208 -1.0396 -0.9610 -0.7909 -0.6573 -0.5555 -0.4778 -0.4201
 -1.7053 -1.5815 -1.4777 -1.4009 -1.3559 -1.3274 -1.2984 -1.2677 -1.2378 -1.2084
 -1.1732 -1.1284 -1.0690 -0.9970 -0.9243 -0.7668 -0.6445 -0.5519 -0.4833 -0.4317
 -0.3915
 -1.6893 -1.5658 -1.4546 -1.3605 -1.2871 -1.2357 -1.2063 -1.1900 -1.1690 -1.1379
 -1.1027 -1.0657 -1.0215 -0.9626 -0.8965 -0.7489 -0.6352 -0.5504 -0.4881 -0.4411
 -0.4045 -0.3748
 -1.6602 -1.5478 -1.4426 -1.3483 -1.2676 -1.2023 -1.1530 -1.1176 -1.0937 -1.0742
 -1.0471 -1.0118 -0.9749 -0.9298 -0.8732 -0.7354 -0.6280 -0.5493 -0.4929 -0.4508
 -0.4179 -0.3912 -0.3688 -0.3496
 -1.6073 -1.5121 -1.4205 -1.3349 -1.2571 -1.1884 -1.1307 -1.0840 -1.0467 -1.0158
 -0.9884 -0.9595 -0.9267 -0.8919 -0.8473 -0.7239 -0.6217 -0.5472 -0.4957 -0.4588
 -0.4303 -0.4072 -0.3877 -0.3709 -0.3561 -0.3433 -0.3329 -0.3268 -0.3269 -0.3349
 -1.5296 -1.4534 -1.3789 -1.3074 -1.2392 -1.1752 -1.1164 -1.0644 -1.0202 -0.9822
 -0.9478 -0.9149 -0.8817 -0.8505 -0.8150 -0.7104 -0.6151 -0.5435 -0.4951 -0.4629
 -0.4396 -0.4209 -0.4053 -0.3916 -0.3793 -0.3683 -0.3590 -0.3516 -0.3492 -0.3545
 -0.3679
 -1.4333 -1.3741 -1.3164 -1.2607 -1.2059 -1.1518 -1.0984 -1.0471 -0.9999 -0.9580
 -0.9203 -0.8849 -0.8502 -0.8161 -0.7838 -0.6926 -0.6066 -0.5381 -0.4912 -0.4620
 -0.4434 -0.4300 -0.4191 -0.4097 -0.4011 -0.3930 -0.3857 -0.3797 -0.3760 -0.3769
 -0.3874
 -1.3246 -1.2804 -1.2370 -1.1953 -1.1542 -1.1122 -1.0684 -1.0232 -0.9783 -0.9355
 -0.8962 -0.8599 -0.8251 -0.7908 -0.7583 -0.6735 -0.5952 -0.5309 -0.4849 -0.4568
 -0.4414 -0.4328 -0.4273 -0.4231 -0.4192 -0.4152 -0.4112 -0.4076 -0.4049 -0.4047
 -0.4096
 -1.2124 -1.1805 -1.1486 -1.1179 -1.0883 -1.0578 -1.0250 -0.9891 -0.9506 -0.9112
 -0.8727 -0.8364 -0.8024 -0.7696 -0.7378 -0.6579 -0.5842 -0.5236 -0.4786 -0.4500
 -0.4352 -0.4295 -0.4287 -0.4300 -0.4316 -0.4327 -0.4334 -0.4336 -0.4337 -0.4345
 -0.4362
 -1.0988 -1.0777 -1.0555 -1.0333 -1.0119 -0.9908 -0.9679 -0.9419 -0.9123 -0.8797
 -0.8454 -0.8111 -0.7783 -0.7472 -0.7173 -0.6438 -0.5738 -0.5158 -0.4722 -0.4431
 -0.4275 -0.4223 -0.4240 -0.4297 -0.4366 -0.4434 -0.4496 -0.4548 -0.4591 -0.4631
 -0.4677
 -0.9838 -0.9720 -0.9611 -0.9455 -0.9305 -0.9158 -0.9004 -0.8830 -0.8623 -0.8382
 -0.8108 -0.7815 -0.7516 -0.7225 -0.6968 -0.6312 -0.5640 -0.5075 -0.4657
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value =F350LP
 -2.0017 -1.9382 -1.8818 -1.8283 -1.7759 -1.7201 -1.6562 -1.5818 -1.5007 -1.4187
 -1.3345 -1.2467 -1.1566 -1.0691 -0.9829 -0.8078 -0.6676 -0.5585 -0.4762
 -1.8956 -1.8142 -1.7433 -1.6792 -1.6194 -1.5627 -1.5066 -1.4461 -1.3833 -1.3200
 -1.2543 -1.1827 -1.1040 -1.0232 -0.9463 -0.7813 -0.6520 -0.5522 -0.4768 -0.4196
 -1.8340 -1.7193 -1.6302 -1.5696 -1.5049 -1.4461 -1.3920 -1.3395 -1.2878 -1.2371
 -1.1854 -1.1292 -1.0640 -0.9908 -0.9183 -0.7618 -0.6408 -0.5484 -0.4790 -0.4267
 -0.3856
 -1.8092 -1.6703 -1.5604 -1.4757 -1.4095 -1.3553 -1.3076 -1.2618 -1.2146 -1.1686
 -1.1242 -1.0792 -1.0284 -0.9662 -0.8989 -0.7493 -0.6340 -0.5471 -0.4828 -0.4349
 -0.3978 -0.3679
 -1.8068 -1.6698 -1.5421 -1.4367 -1.3525 -1.2854 -1.2316 -1.1879 -1.1518 -1.1182
 -1.0773 -1.0349 -0.9919 -0.9430 -0.8836 -0.7410 -0.6299 -0.5471 -0.4870 -0.4433
 -0.4099 -0.3830 -0.3608 -0.3420
 -1.7976 -1.6656 -1.5388 -1.4227 -1.3212 -1.2364 -1.1682 -1.1157 -1.0769 -1.0502
 -1.0261 -0.9947 -0.9578 -0.9166 -0.8678 -0.7345 -0.6268 -0.5468 -0.4900 -0.4502
 -0.4210 -0.3978 -0.3785 -0.3621 -0.3478 -0.3357 -0.3262 -0.3208 -0.3210 -0.3288
 -1.7681 -1.6495 -1.5313 -1.4202 -1.3196 -1.2313 -1.1561 -1.0940 -1.0440 -1.0034
