 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = F606W
 -3.7493 -3.4388 -3.2079 -2.9449 -2.6517 -2.4119 -2.2740 -2.1963 -2.1155 -2.0090
 -1.8890 -1.7594 -1.6302 -1.5108 -1.3976 -1.1512 -0.9587 -0.8201 -0.7146
 -3.4285 -3.0533 -2.7703 -2.5376 -2.3481 -2.1989 -2.0820 -1.9864 -1.9010 -1.8179
 -1.7312 -1.6358 -1.5302 -1.4217 -1.3191 -1.1014 -0.9352 -0.8151 -0.7281 -0.6681
 -3.2168 -2.8141 -2.5038 -2.2780 -2.1260 -2.0138 -1.9142 -1.8241 -1.7451 -1.6748
 -1.6056 -1.5321 -1.4474 -1.3526 -1.2600 -1.0645 -0.9182 -0.8130 -0.7394 -0.6867
 -0.6476
 -3.1142 -2.7212 -2.4084 -2.1661 -1.9854 -1.8566 -1.7706 -1.7094 -1.6478 -1.5797
 -1.5122 -1.4483 -1.3818 -1.3035 -1.2203 -1.0405 -0.9077 -0.8138 -0.7484 -0.7009
 -0.6648 -0.6367
 -3.0422 -2.6726 -2.3732 -2.1336 -1.9444 -1.7989 -1.6908 -1.6115 -1.5533 -1.5042
 -1.4486 -1.3866 -1.3269 -1.2632 -1.1913 -1.0248 -0.9006 -0.8146 -0.7566 -0.7144
 -0.6818 -0.6559 -0.6349 -0.6179
 -2.9585 -2.6227 -2.3470 -2.1212 -1.9359 -1.7845 -1.6635 -1.5696 -1.4965 -1.4371
 -1.3851 -1.3334 -1.2790 -1.2250 -1.1641 -1.0129 -0.8948 -0.8134 -0.7612 -0.7251
 -0.6971 -0.6745 -0.6557 -0.6401 -0.6271 -0.6168 -0.6097 -0.6099 -0.6196 -0.6352
 -2.8483 -2.5514 -2.3055 -2.1014 -1.9293 -1.7823 -1.6571 -1.5528 -1.4687 -1.4003
 -1.3413 -1.2872 -1.2348 -1.1858 -1.1346 -1.0002 -0.8885 -0.8096 -0.7606 -0.7303
 -0.7083 -0.6902 -0.6751 -0.6621 -0.6508 -0.6412 -0.6341 -0.6297 -0.6327 -0.6464
 -0.6670
 -2.7165 -2.4575 -2.2423 -2.0626 -1.9090 -1.7742 -1.6536 -1.5466 -1.4543 -1.3777
 -1.3132 -1.2562 -1.2030 -1.1523 -1.1053 -0.9846 -0.8808 -0.8037 -0.7555 -0.7287
 -0.7127 -0.7008 -0.6907 -0.6818 -0.6737 -0.6664 -0.6602 -0.6559 -0.6550 -0.6604
 -0.6780
 -2.5672 -2.3451 -2.1586 -2.0022 -1.8682 -1.7488 -1.6392 -1.5373 -1.4439 -1.3616
 -1.2913 -1.2313 -1.1774 -1.1269 -1.0801 -0.9670 -0.8703 -0.7962 -0.7475 -0.7215
 -0.7096 -0.7039 -0.7002 -0.6969 -0.6935 -0.6899 -0.6864 -0.6836 -0.6822 -0.6841
 -0.6927
 -2.4158 -2.2284 -2.0664 -1.9293 -1.8123 -1.7083 -1.6118 -1.5197 -1.4317 -1.3493
 -1.2751 -1.2109 -1.1553 -1.1055 -1.0595 -0.9521 -0.8599 -0.7888 -0.7399 -0.7124
 -0.7012 -0.6994 -0.7017 -0.7049 -0.7075 -0.7092 -0.7102 -0.7107 -0.7112 -0.7129
 -0.7156
 -2.2664 -2.1101 -1.9704 -1.8491 -1.7449 -1.6536 -1.5694 -1.4886 -1.4096 -1.3327
 -1.2595 -1.1928 -1.1343 -1.0837 -1.0387 -0.9380 -0.8495 -0.7806 -0.7324 -0.7035
 -0.6910 -0.6900 -0.6959 -0.7048 -0.7139 -0.7219 -0.7286 -0.7340 -0.7384 -0.7426
 -0.7476
 -2.1189 -1.9902 -1.8743 -1.7672 -1.6731 -1.5903 -1.5154 -1.4448 -1.3755 -1.3070
 -1.2395 -1.1747 -1.1149 -1.0621 -1.0177 -0.9247 -0.8391 -0.7716 -0.7250
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value = F606W
 -4.6373 -4.1724 -3.7642 -3.4102 -3.1073 -2.8419 -2.6003 -2.3744 -2.1718 -1.9994
 -1.8487 -1.7111 -1.5820 -1.4630 -1.3445 -1.1191 -0.9437 -0.8117 -0.7183
 -4.3437 -3.8686 -3.4475 -3.0866 -2.7850 -2.5353 -2.3254 -2.1389 -1.9767 -1.8385
 -1.7169 -1.6032 -1.4917 -1.3844 -1.2853 -1.0786 -0.9220 -0.8059 -0.7233 -0.6647
 -4.0052 -3.5241 -3.1252 -2.8463 -2.5713 -2.3384 -2.1440 -1.9797 -1.8400 -1.7220
 -1.6199 -1.5256 -1.4312 -1.3347 -1.2428 -1.0508 -0.9079 -0.8036 -0.7297 -0.6770
 -0.6375
 -3.7425 -3.2571 -2.8730 -2.5773 -2.3482 -2.1649 -2.0100 -1.8710 -1.7458 -1.6372
 -1.5447 -1.4634 -1.3852 -1.3018 -1.2170 -1.0357 -0.9014 -0.8048 -0.7375 -0.6897
 -0.6539 -0.6261
 -3.6451 -3.1551 -2.7523 -2.4380 -2.1972 -2.0127 -1.8700 -1.7571 -1.6636 -1.5791
 -1.4935 -1.4151 -1.3445 -1.2750 -1.1995 -1.0274 -0.8986 -0.8071 -0.7447 -0.7016
 -0.6694 -0.6441 -0.6237 -0.6074
 -3.6056 -3.1174 -2.7133 -2.3885 -2.1311 -1.9290 -1.7727 -1.6537 -1.5641 -1.4976
 -1.4396 -1.3767 -1.3118 -1.2484 -1.1830 -1.0216 -0.8968 -0.8083 -0.7494 -0.7109
 -0.6833 -0.6613 -0.6433 -0.6285 -0.6164 -0.6072 -0.6014 -0.6026 -0.6126 -0.6282
 -3.5623 -3.0969 -2.7035 -2.3833 -2.1262 -1.9203 -1.7555 -1.6249 -1.5227 -1.4421
 -1.3773 -1.3231 -1.2710 -1.2178 -1.1621 -1.0153 -0.8941 -0.8074 -0.7505 -0.7158
 -0.6932 -0.6760 -0.6616 -0.6495 -0.6392 -0.6307 -0.6247 -0.6215 -0.6255 -0.6395
 -0.6601
 -3.4913 -3.0583 -2.6886 -2.3830 -2.1335 -1.9305 -1.7637 -1.6260 -1.5135 -1.4225
 -1.3477 -1.2846 -1.2294 -1.1795 -1.1321 -1.0042 -0.8895 -0.8041 -0.7478 -0.7152
 -0.6973 -0.6857 -0.6764 -0.6683 -0.6612 -0.6549 -0.6499 -0.6469 -0.6470 -0.6533
 -0.6713
 -3.3780 -2.9841 -2.6470 -2.3638 -2.1302 -1.9368 -1.7749 -1.6369 -1.5189 -1.4190
 -1.3354 -1.2652 -1.2043 -1.1497 -1.1012 -0.9857 -0.8805 -0.7978 -0.7417 -0.7095
 -0.6947 -0.6885 -0.6853 -0.6827 -0.6802 -0.6776 -0.6753 -0.6736 -0.6735 -0.6765
 -0.6859
 -3.2319 -2.8914 -2.5898 -2.3316 -2.1155 -1.9348 -1.7813 -1.6480 -1.5305 -1.4267
 -1.3360 -1.2584 -1.1919 -1.1336 -1.0816 -0.9683 -0.8698 -0.7909 -0.7350 -0.7016
 -0.6871 -0.6843 -0.6867 -0.6904 -0.6937 -0.6963 -0.6983 -0.7000 -0.7018 -0.7047
 -0.7084
 -3.0660 -2.7769 -2.5140 -2.2831 -2.0861 -1.9190 -1.7757 -1.6498 -1.5368 -1.4343
 -1.3413 -1.2583 -1.1859 -1.1233 -1.0685 -0.9539 -0.8583 -0.7826 -0.7277 -0.6932
 -0.6773 -0.6751 -0.6809 -0.6902 -0.6999 -0.7087 -0.7163 -0.7227 -0.7283 -0.7337
 -0.7398
 -2.8828 -2.6434 -2.4247 -2.2254 -2.0472 -1.8919 -1.7588 -1.6409 -1.5341 -1.4358
 -1.3445 -1.2603 -1.1840 -1.1167 -1.0619 -0.9425 -0.8460 -0.7729 -0.7198
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value = F606W
 -5.4698 -5.0541 -4.6698 -4.3070 -3.9653 -3.6120 -3.2112 -2.7682 -2.3906 -2.0933
 -1.8635 -1.6839 -1.5387 -1.4166 -1.3104 -1.0939 -0.9276 -0.8005 -0.7078
 -5.2000 -4.7356 -4.3101 -3.9213 -3.5635 -3.2256 -2.8777 -2.5168 -2.2085 -1.9595
 -1.7615 -1.6023 -1.4704 -1.3574 -1.2582 -1.0569 -0.9060 -0.7931 -0.7106 -0.6515
 -4.9916 -4.5171 -4.0708 -3.6619 -3.2947 -2.9662 -2.6604 -2.3567 -2.0909 -1.8719
 -1.6950 -1.5507 -1.4293 -1.3234 -1.2292 -1.0376 -0.8959 -0.7916 -0.7161 -0.6623
 -0.6232
 -4.6580 -4.1894 -3.8131 -3.4493 -3.1033 -2.7856 -2.5026 -2.2410 -2.0065 -1.8087
 -1.6465 -1.5136 -1.4019 -1.3032 -1.2136 -1.0290 -0.8928 -0.7937 -0.7230 -0.6733
 -0.6374 -0.6101
 -4.3517 -3.8721 -3.4678 -3.1256 -2.8335 -2.5813 -2.3563 -2.1396 -1.9373 -1.7592
 -1.6086 -1.4836 -1.3793 -1.2885 -1.2044 -1.0258 -0.8931 -0.7973 -0.7299 -0.6835
 -0.6509 -0.6263 -0.6068 -0.5916
 -4.2480 -3.7259 -3.2784 -2.9051 -2.5980 -2.3451 -2.1385 -1.9705 -1.8280 -1.6981
 -1.5734 -1.4591 -1.3593 -1.2735 -1.1961 -1.0244 -0.8941 -0.8004 -0.7354 -0.6918
 -0.6628 -0.6415 -0.6246 -0.6110 -0.6003 -0.5926 -0.5886 -0.5913 -0.6021 -0.6174
 -4.2433 -3.6959 -3.2185 -2.8204 -2.4956 -2.2322 -2.0184 -1.8438 -1.7012 -1.5874
 -1.4968 -1.4163 -1.3363 -1.2583 -1.1855 -1.0228 -0.8946 -0.8019 -0.7384 -0.6971
 -0.6714 -0.6543 -0.6411 -0.6303 -0.6214 -0.6145 -0.6102 -0.6094 -0.6144 -0.6286
 -0.6487
 -4.2605 -3.7133 -3.2241 -2.8087 -2.4686 -2.1945 -1.9732 -1.7932 -1.6467 -1.5268
 -1.4292 -1.3506 -1.2860 -1.2263 -1.1668 -1.0189 -0.8935 -0.8014 -0.7384 -0.6984
 -0.6723 -0.6627 -0.6542 -0.6475 -0.6418 -0.6371 -0.6339 -0.6317 -0.6334 -0.6422
 -0.6603
 -4.2370 -3.7154 -3.2344 -2.8199 -2.4743 -2.1935 -1.9668 -1.7819 -1.6302 -1.5051
 -1.4018 -1.3160 -1.2443 -1.1839 -1.1312 -1.0063 -0.8889 -0.7978 -0.7348 -0.6954
 -0.6742 -0.6653 -0.6620 -0.6606 -0.6595 -0.6584 -0.6579 -0.6580 -0.6598 -0.6646
 -0.6750
 -4.1603 -3.6783 -3.2315 -2.8314 -2.4922 -2.2120 -1.9836 -1.7959 -1.6405 -1.5102
 -1.4003 -1.3078 -1.2295 -1.1626 -1.1048 -0.9868 -0.8809 -0.7934 -0.7302 -0.6899
 -0.6687 -0.6619 -0.6632 -0.6675 -0.6720 -0.6760 -0.6797 -0.6830 -0.6866 -0.6914
 -0.6969
 -4.0323 -3.6006 -3.1961 -2.8225 -2.5000 -2.2285 -2.0032 -1.8167 -1.6606 -1.5278
 -1.4134 -1.3145 -1.2294 -1.1563 -1.0932 -0.9687 -0.8689 -0.7861 -0.7241 -0.6828
 -0.6606 -0.6540 -0.6579 -0.6671 -0.6776 -0.6876 -0.6967 -0.7047 -0.7119 -0.7191
 -0.7269
 -3.8546 -3.4837 -3.1288 -2.7933 -2.4940 -2.2364 -2.0188 -1.8361 -1.6813 -1.5485
 -1.4324 -1.3301 -1.2396 -1.1602 -1.0964 -0.9520 -0.8529 -0.7759 -0.7165
 [Fe/H] = -1.00 [alpha/Fe] = 0.40 BC value = F606W
 -5.9925 -5.6696 -5.3773 -5.1064 -4.8704 -4.5690 -4.0906 -3.4206 -2.7941 -2.3013
 -1.9475 -1.6998 -1.5227 -1.3880 -1.2782 -1.0655 -0.9068 -0.7848 -0.6917
 -5.7295 -5.3579 -5.0243 -4.7225 -4.4380 -4.1313 -3.7120 -3.1532 -2.6321 -2.2049
 -1.8812 -1.6457 -1.4744 -1.3447 -1.2398 -1.0375 -0.8888 -0.7774 -0.6943 -0.6336
 -5.5681 -5.1537 -4.7765 -4.4354 -4.1232 -3.8169 -3.4526 -2.9846 -2.5364 -2.1553
 -1.8531 -1.6239 -1.4534 -1.3242 -1.2210 -1.0246 -0.8820 -0.7767 -0.6994 -0.6430
 -0.6025
 -5.4178 -4.9972 -4.5988 -4.2281 -3.8866 -3.5688 -3.2477 -2.8573 -2.4674 -2.1243
 -1.8417 -1.6188 -1.4477 -1.3171 -1.2138 -1.0203 -0.8811 -0.7794 -0.7058 -0.6526
 -0.6147 -0.5873
 -5.0656 -4.7090 -4.3722 -4.0381 -3.7026 -3.3780 -3.0680 -2.7442 -2.4065 -2.0979
 -1.8348 -1.6201 -1.4499 -1.3174 -1.2129 -1.0204 -0.8830 -0.7834 -0.7123 -0.6616
 -0.6262 -0.6010 -0.5824 -0.5684
 -4.7548 -4.3368 -3.9848 -3.6834 -3.4119 -3.1521 -2.8869 -2.6136 -2.3329 -2.0638
 -1.8243 -1.6212 -1.4545 -1.3212 -1.2151 -1.0223 -0.8860 -0.7874 -0.7178 -0.6692
 -0.6361 -0.6136 -0.5975 -0.5853 -0.5764 -0.5709 -0.5695 -0.5742 -0.5866 -0.6023
 -4.6521 -4.1693 -3.7516 -3.3996 -3.1027 -2.8435 -2.6077 -2.3871 -2.1737 -1.9720
 -1.7827 -1.6089 -1.4553 -1.3256 -1.2184 -1.0245 -0.8886 -0.7905 -0.7216 -0.6745
 -0.6435 -0.6239 -0.6111 -0.6019 -0.5949 -0.5903 -0.5883 -0.5901 -0.5975 -0.6130
 -0.6327
 -4.6822 -4.1560 -3.6853 -3.2803 -2.9400 -2.6552 -2.4110 -2.1945 -1.9963 -1.8172
 -1.6646 -1.5367 -1.4231 -1.3172 -1.2192 -1.0263 -0.8905 -0.7922 -0.7233 -0.6770
 -0.6478 -0.6309 -0.6218 -0.6164 -0.6128 -0.6104 -0.6097 -0.6111 -0.6164 -0.6256
 -0.6432
 -4.7524 -4.2126 -3.7119 -3.2667 -2.8865 -2.5701 -2.3077 -2.0859 -1.8938 -1.7245
 -1.5765 -1.4515 -1.3503 -1.2674 -1.1932 -1.0245 -0.8896 -0.7913 -0.7221 -0.6761
 -0.6481 -0.6335 -0.6281 -0.6273 -0.6281 -0.6294 -0.6313 -0.6341 -0.6386 -0.6459
 -0.6585
 -4.8025 -4.2789 -3.7742 -3.3117 -2.9058 -2.5624 -2.2785 -2.0447 -1.8491 -1.6827
 -1.5394 -1.4162 -1.3119 -1.2254 -1.1543 -1.0125 -0.8883 -0.7901 -0.7201 -0.6734
 -0.6455 -0.6322 -0.6296 -0.6332 -0.6390 -0.6450 -0.6510 -0.6568 -0.6631 -0.6706
 -0.6806
 -4.7902 -4.2944 -3.8158 -3.3592 -2.9476 -2.5908 -2.2920 -2.0455 -1.8422 -1.6727
 -1.5290 -1.4060 -1.3005 -1.2104 -1.1340 -0.9912 -0.8803 -0.7869 -0.7166 -0.6688
 -0.6402 -0.6271 -0.6261 -0.6331 -0.6438 -0.6553 -0.6663 -0.6766 -0.6863 -0.6961
 -0.7066
 -4.7160 -4.2642 -3.8141 -3.3835 -2.9822 -2.6276 -2.3246 -2.0704 -1.8601 -1.6855
 -1.5387 -1.4132 -1.3051 -1.2116 -1.1323 -0.9606 -0.8656 -0.7817 -0.7116
 [Fe/H] = -0.75 [alpha/Fe] = 0.40 BC value = F606W
 -6.1083 -5.8270 -5.5803 -5.3642 -5.1312 -4.8214 -4.3838 -3.7772 -3.0444 -2.4477
 -2.0236 -1.7326 -1.5304 -1.3831 -1.2678 -1.0527 -0.8950 -0.7748 -0.6826
 -5.8527 -5.5257 -5.2416 -4.9963 -4.7739 -4.5257 -4.1340 -3.5209 -2.8996 -2.3715
 -1.9741 -1.6912 -1.4919 -1.3471 -1.2351 -1.0286 -0.8796 -0.7684 -0.6850 -0.6231
 -5.7001 -5.3273 -4.9973 -4.7098 -4.4567 -4.2051 -3.8667 -3.3547 -2.8206 -2.3451
 -1.9667 -1.6851 -1.4817 -1.3338 -1.2213 -1.0182 -0.8740 -0.7679 -0.6897 -0.6320
 -0.5901
 -5.5943 -5.1943 -4.8274 -4.4980 -4.2055 -3.9359 -3.6442 -3.2234 -2.7624 -2.3350
 -1.9772 -1.6978 -1.4886 -1.3346 -1.2187 -1.0156 -0.8739 -0.7706 -0.6957 -0.6410
 -0.6015 -0.5733
 -5.3847 -5.0242 -4.6717 -4.3342 -4.0169 -3.7209 -3.4379 -3.0997 -2.7054 -2.3240
 -1.9906 -1.7181 -1.5054 -1.3446 -1.2233 -1.0172 -0.8765 -0.7747 -0.7018 -0.6494
 -0.6120 -0.5857 -0.5670 -0.5528
 -4.9839 -4.6391 -4.3474 -4.0814 -3.8165 -3.5408 -3.2558 -2.9667 -2.6372 -2.3027
 -1.9976 -1.7374 -1.5258 -1.3600 -1.2328 -1.0209 -0.8802 -0.7789 -0.7071 -0.6565
 -0.6210 -0.5969 -0.5805 -0.5689 -0.5610 -0.5566 -0.5568 -0.5630 -0.5762 -0.5924
 -4.7804 -4.3561 -4.0006 -3.7091 -3.4612 -3.2346 -3.0112 -2.7729 -2.5153 -2.2450
 -1.9828 -1.7464 -1.5439 -1.3776 -1.2456 -1.0254 -0.8839 -0.7826 -0.7111 -0.6616
 -0.6280 -0.6062 -0.5925 -0.5837 -0.5778 -0.5744 -0.5741 -0.5773 -0.5863 -0.6026
 -0.6227
 -4.7615 -4.2783 -3.8547 -3.4969 -3.2002 -2.9488 -2.7235 -2.5083 -2.2914 -2.0775
 -1.8814 -1.7021 -1.5368 -1.3876 -1.2587 -1.0307 -0.8871 -0.7853 -0.7135 -0.6645
 -0.6323 -0.6127 -0.6020 -0.5965 -0.5939 -0.5929 -0.5936 -0.5966 -0.6027 -0.6144
 -0.6339
 -4.8379 -4.3232 -3.8513 -3.4367 -3.0848 -2.7906 -2.5414 -2.3213 -2.1170 -1.9218
 -1.7420 -1.5870 -1.4586 -1.3485 -1.2479 -1.0345 -0.8880 -0.7856 -0.7133 -0.6643
 -0.6333 -0.6156 -0.6078 -0.6063 -0.6077 -0.6102 -0.6137 -0.6181 -0.6242 -0.6332
 -0.6474
