 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = F475W
 -5.6837 -5.4235 -5.2557 -5.0590 -4.8173 -4.6137 -4.5045 -4.4356 -4.3279 -4.1595
 -3.9615 -3.7444 -3.5248 -3.3169 -3.1178 -2.6634 -2.2708 -1.9563 -1.7025
 -5.3719 -5.0419 -4.7978 -4.5944 -4.4228 -4.2800 -4.1572 -4.0418 -3.9214 -3.7879
 -3.6358 -3.4619 -3.2702 -3.0773 -2.8964 -2.5006 -2.1674 -1.8958 -1.6819 -1.5186
 -5.1610 -4.7983 -4.5117 -4.2929 -4.1358 -4.0078 -3.8799 -3.7518 -3.6277 -3.5061
 -3.3759 -3.2311 -3.0664 -2.8912 -2.7254 -2.3730 -2.0858 -1.8500 -1.6660 -1.5225
 -1.4058
 -5.0510 -4.6927 -4.3974 -4.1545 -3.9563 -3.7971 -3.6726 -3.5656 -3.4468 -3.3141
 -3.1818 -3.0520 -2.9134 -2.7586 -2.6048 -2.2806 -2.0260 -1.8189 -1.6547 -1.5251
 -1.4186 -1.3271
 -4.9670 -4.6262 -4.3387 -4.0942 -3.8849 -3.7056 -3.5520 -3.4198 -3.3047 -3.1935
 -3.0677 -2.9330 -2.8026 -2.6669 -2.5250 -2.2187 -1.9845 -1.7984 -1.6503 -1.5324
 -1.4348 -1.3503 -1.2746 -1.2054
 -4.8746 -4.5620 -4.2923 -4.0570 -3.8496 -3.6648 -3.4996 -3.3518 -3.2184 -3.0959
 -2.9793 -2.8597 -2.7349 -2.6093 -2.4768 -2.1813 -1.9581 -1.7851 -1.6488 -1.5409
 -1.4517 -1.3742 -1.3043 -1.2399 -1.1798 -1.1238 -1.0726 -1.0268 -0.9893 -0.9685
 -4.7616 -4.4835 -4.2388 -4.0204 -3.8224 -3.6412 -3.4743 -3.3199 -3.1776 -3.0456
 -2.9215 -2.8022 -2.6847 -2.5700 -2.4502 -2.1644 -1.9440 -1.7774 -1.6481 -1.5475
 -1.4662 -1.3960 -1.3327 -1.2738 -1.2183 -1.1657 -1.1168 -1.0716 -1.0327 -1.0040
 -0.9911
 -4.6326 -4.3875 -4.1701 -3.9732 -3.7904 -3.6189 -3.4565 -3.3026 -3.1572 -3.0206
 -2.8918 -2.7694 -2.6522 -2.5392 -2.4288 -2.1610 -1.9408 -1.7748 -1.6482 -1.5511
 -1.4756 -1.4128 -1.3567 -1.3045 -1.2549 -1.2071 -1.1617 -1.1192 -1.0805 -1.0481
 -1.0278
 -4.4927 -4.2770 -4.0840 -3.9086 -3.7438 -3.5859 -3.4330 -3.2846 -3.1416 -3.0047
 -2.8741 -2.7501 -2.6319 -2.5191 -2.4108 -2.1563 -1.9423 -1.7753 -1.6484 -1.5520
