 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  V   
 -5.0019 -4.6586 -4.4107 -4.1386 -3.8381 -3.5930 -3.4517 -3.3645 -3.2630 -3.1253
 -2.9712 -2.8043 -2.6379 -2.4836 -2.3368 -2.0134 -1.7512 -1.5540 -1.4000
 -4.6067 -4.2079 -3.9112 -3.6684 -3.4697 -3.3108 -3.1819 -3.0709 -2.9663 -2.8599
 -2.7459 -2.6192 -2.4801 -2.3392 -2.2070 -1.9251 -1.7026 -1.5336 -1.4065 -1.3145
 -4.3368 -3.9170 -3.5967 -3.3624 -3.2014 -3.0777 -2.9624 -2.8540 -2.7550 -2.6633
 -2.5699 -2.4693 -2.3547 -2.2298 -2.1101 -1.8588 -1.6659 -1.5196 -1.4120 -1.3312
 -1.2679
 -4.1922 -3.7859 -3.4672 -3.2206 -3.0332 -2.8937 -2.7932 -2.7138 -2.6291 -2.5355
 -2.4432 -2.3546 -2.2617 -2.1554 -2.0461 -1.8145 -1.6411 -1.5120 -1.4164 -1.3433
 -1.2850 -1.2366
 -4.0861 -3.7043 -3.4001 -3.1586 -2.9669 -2.8152 -2.6952 -2.5991 -2.5208 -2.4487
 -2.3668 -2.2776 -2.1918 -2.1019 -2.0043 -1.7866 -1.6247 -1.5071 -1.4216 -1.3559
 -1.3025 -1.2576 -1.2185 -1.1841
 -3.9771 -3.6286 -3.3467 -3.1183 -2.9318 -2.7781 -2.6507 -2.5442 -2.4533 -2.3728
 -2.2980 -2.2216 -2.1415 -2.0613 -1.9742 -1.7694 -1.6138 -1.5026 -1.4247 -1.3663
 -1.3187 -1.2780 -1.2422 -1.2101 -1.1809 -1.1549 -1.1326 -1.1182 -1.1145 -1.1190
 -3.8544 -3.5421 -3.2869 -3.0767 -2.9010 -2.7520 -2.6242 -2.5133 -2.4165 -2.3301
 -2.2500 -2.1734 -2.0977 -2.0250 -1.9488 -1.7585 -1.6067 -1.4980 -1.4238 -1.3718
 -1.3308 -1.2957 -1.2643 -1.2357 -1.2091 -1.1844 -1.1625 -1.1436 -1.1331 -1.1346
 -1.1450
 -3.7259 -3.4464 -3.2166 -3.0258 -2.8638 -2.7234 -2.5997 -2.4894 -2.3905 -2.3014
 -2.2192 -2.1416 -2.0666 -1.9939 -1.9240 -1.7492 -1.6023 -1.4935 -1.4199 -1.3712
 -1.3364 -1.3078 -1.2823 -1.2585 -1.2360 -1.2143 -1.1940 -1.1758 -1.1613 -1.1539
 -1.1603
 -3.5968 -3.3463 -3.1379 -2.9639 -2.8153 -2.6849 -2.5679 -2.4617 -2.3645 -2.2754
 -2.1930 -2.1159 -2.0420 -1.9706 -1.9022 -1.7373 -1.5972 -1.4894 -1.4141 -1.3656
 -1.3345 -1.3121 -1.2934 -1.2759 -1.2588 -1.2417 -1.2248 -1.2086 -1.1942 -1.1833
 -1.1798
 -3.4837 -3.2577 -3.0637 -2.9006 -2.7620 -2.6403 -2.5307 -2.4297 -2.3363 -2.2496
 -2.1687 -2.0930 -2.0212 -1.9524 -1.8860 -1.7280 -1.5925 -1.4867 -1.4100 -1.3593
 -1.3283 -1.3094 -1.2967 -1.2861 -1.2757 -1.2646 -1.2529 -1.2408 -1.2288 -1.2182
 -1.2082
 -3.3909 -3.1822 -2.9991 -2.8414 -2.7066 -2.5903 -2.4865 -2.3910 -2.3021 -2.2189
 -2.1408 -2.0676 -1.9984 -1.9326 -1.8692 -1.7192 -1.5874 -1.4830 -1.4062 -1.3535
 -1.3206 -1.3021 -1.2926 -1.2878 -1.2843 -1.2801 -1.2750 -1.2685 -1.2610 -1.2534
 -1.2467
 -3.3184 -3.1198 -2.9463 -2.7912 -2.6568 -2.5406 -2.4386 -2.3469 -2.2620 -2.1826
 -2.1080 -2.0379 -1.9718 -1.9093 -1.8518 -1.7109 -1.5819 -1.4783 -1.4027
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value =  V   
 -5.9154 -5.3986 -4.9542 -4.5753 -4.2536 -3.9726 -3.7165 -3.4756 -3.2557 -3.0619
 -2.8846 -2.7157 -2.5531 -2.4017 -2.2498 -1.9612 -1.7295 -1.5463 -1.4089
 -5.5146 -4.9931 -4.5439 -4.1669 -3.8546 -3.5949 -3.3743 -3.1759 -2.9994 -2.8429
 -2.6983 -2.5568 -2.4144 -2.2764 -2.1495 -1.8861 -1.6828 -1.5245 -1.4046 -1.3148
 -5.1027 -4.5849 -4.1620 -3.8657 -3.5823 -3.3432 -3.1418 -2.9684 -2.8172 -2.6842
 -2.5629 -2.4451 -2.3229 -2.1974 -2.0786 -1.8333 -1.6498 -1.5099 -1.4039 -1.3233
 -1.2592
 -4.7944 -4.2800 -3.8762 -3.5687 -3.3321 -3.1425 -2.9796 -2.8297 -2.6925 -2.5704
 -2.4616 -2.3605 -2.2586 -2.1482 -2.0371 -1.8028 -1.6305 -1.5025 -1.4068 -1.3338
 -1.2755 -1.2272
 -4.6702 -4.1527 -3.7366 -3.4154 -3.1701 -2.9813 -2.8327 -2.7106 -2.6034 -2.5009
 -2.3965 -2.2988 -2.2073 -2.1138 -2.0128 -1.7869 -1.6202 -1.4993 -1.4110 -1.3447
 -1.2915 -1.2468 -1.2082 -1.1743
 -4.6105 -4.0957 -3.6797 -3.3501 -3.0912 -2.8881 -2.7287 -2.6029 -2.5024 -2.4213
 -2.3445 -2.2593 -2.1717 -2.0852 -1.9955 -1.7793 -1.6151 -1.4975 -1.4141 -1.3537
 -1.3061 -1.2659 -1.2306 -1.1991 -1.1707 -1.1456 -1.1244 -1.1109 -1.1075 -1.1118
 -4.5563 -4.0625 -3.6554 -3.3295 -3.0706 -2.8646 -2.6994 -2.5658 -2.4562 -2.3635
 -2.2827 -2.2097 -2.1362 -2.0599 -1.9793 -1.7757 -1.6125 -1.4957 -1.4146 -1.3587
 -1.3170 -1.2823 -1.2515 -1.2236 -1.1978 -1.1741 -1.1532 -1.1355 -1.1258 -1.1274
 -1.1379
 -4.4896 -4.0240 -3.6357 -3.3200 -3.0656 -2.8603 -2.6927 -2.5539 -2.4378 -2.3388
 -2.2512 -2.1715 -2.0973 -2.0272 -1.9574 -1.7717 -1.6114 -1.4936 -1.4125 -1.3588
 -1.3221 -1.2936 -1.2686 -1.2455 -1.2237 -1.2029 -1.1837 -1.1667 -1.1533 -1.1466
 -1.1533
 -4.4006 -3.9669 -3.6041 -3.3039 -3.0588 -2.8578 -2.6910 -2.5504 -2.4301 -2.3260
 -2.2340 -2.1507 -2.0730 -1.9999 -1.9313 -1.7618 -1.6090 -1.4906 -1.4081 -1.3543
 -1.3205 -1.2976 -1.2791 -1.2622 -1.2458 -1.2295 -1.2137 -1.1986 -1.1853 -1.1755
 -1.1727
 -4.3012 -3.9122 -3.5749 -3.2899 -3.0534 -2.8570 -2.6919 -2.5509 -2.4286 -2.3213
 -2.2260 -2.1399 -2.0606 -1.9861 -1.9157 -1.7521 -1.6069 -1.4896 -1.4048 -1.3488
 -1.3148 -1.2949 -1.2822 -1.2720 -1.2622 -1.2518 -1.2411 -1.2300 -1.2192 -1.2097
 -1.2008
 -4.2059 -3.8579 -3.5468 -3.2771 -3.0482 -2.8551 -2.6912 -2.5500 -2.4265 -2.3172
 -2.2196 -2.1316 -2.0512 -1.9764 -1.9058 -1.7440 -1.6030 -1.4882 -1.4022 -1.3435
 -1.3075 -1.2878 -1.2782 -1.2737 -1.2706 -1.2671 -1.2627 -1.2571 -1.2507 -1.2443
 -1.2386
