 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = F438W
 -8.4371 -8.1988 -8.0540 -7.8773 -7.6502 -7.4588 -7.3690 -7.3144 -7.2008 -7.0050
 -6.7696 -6.5049 -6.2301 -5.9613 -5.6960 -5.0670 -4.5024 -4.0446 -3.6720
 -8.1072 -7.7753 -7.5295 -7.3246 -7.1516 -7.0070 -6.8819 -6.7608 -6.6280 -6.4739
 -6.2920 -6.0783 -5.8384 -5.5921 -5.3548 -4.8118 -4.3343 -3.9368 -3.6236 -3.3857
 -7.8878 -7.5055 -7.1992 -6.9617 -6.7877 -6.6434 -6.4968 -6.3482 -6.2023 -6.0574
 -5.8991 -5.7200 -5.5144 -5.2938 -5.0810 -4.6069 -4.1998 -3.8544 -3.5850 -3.3775
 -3.2100
 -7.7789 -7.3894 -7.0631 -6.7886 -6.5585 -6.3680 -6.2137 -6.0766 -5.9237 -5.7555
 -5.5909 -5.4300 -5.2581 -5.0664 -4.8746 -4.4523 -4.0989 -3.7974 -3.5563 -3.3692
 -3.2173 -3.0875
 -7.7069 -7.3230 -6.9949 -6.7097 -6.4588 -6.2383 -6.0449 -5.8750 -5.7237 -5.5753
 -5.4092 -5.2352 -5.0701 -4.9014 -4.7281 -4.3436 -4.0278 -3.7603 -3.5415 -3.3703
 -3.2313 -3.1119 -3.0052 -2.9079
 -7.6442 -7.2739 -6.9524 -6.6674 -6.4105 -6.1769 -5.9648 -5.7729 -5.5988 -5.4382
 -5.2850 -5.1278 -4.9653 -4.8034 -4.6365 -4.2725 -3.9817 -3.7382 -3.5360 -3.3766
 -3.2484 -3.1384 -3.0397 -2.9491 -2.8646 -2.7857 -2.7130 -2.6432 -2.5791 -2.5404
 -7.5816 -7.2296 -6.9203 -6.6417 -6.3858 -6.1486 -5.9283 -5.7240 -5.5362 -5.3632
 -5.2016 -5.0476 -4.8963 -4.7483 -4.5946 -4.2353 -3.9555 -3.7274 -3.5365 -3.3849
 -3.2649 -3.1636 -3.0733 -2.9898 -2.9114 -2.8374 -2.7681 -2.7036 -2.6433 -2.5909
 -2.5615
 -7.5240 -7.1881 -6.8920 -6.6234 -6.3731 -6.1376 -5.9147 -5.7048 -5.5084 -5.3264
 -5.1574 -4.9992 -4.8495 -4.7062 -4.5657 -4.2270 -3.9463 -3.7251 -3.5417 -3.3936
 -3.2786 -3.1847 -3.1026 -3.0271 -2.9559 -2.8879 -2.8235 -2.7629 -2.7065 -2.6556
 -2.6146
 -7.4722 -7.1497 -6.8638 -6.6050 -6.3623 -6.1313 -5.9101 -5.6989 -5.4987 -5.3107
 -5.1354 -4.9722 -4.8199 -4.6767 -4.5401 -4.2211 -3.9476 -3.7272 -3.5481 -3.4017
 -3.2882 -3.1990 -3.1243 -3.0571 -2.9941 -2.9336 -2.8756 -2.8200 -2.7675 -2.7192
 -2.6773
 -7.4360 -7.1275 -6.8459 -6.5918 -6.3557 -6.1304 -5.9139 -5.7047 -5.5039 -5.3131
 -5.1333 -4.9653 -4.8090 -4.6637 -4.5271 -4.2177 -3.9539 -3.7349 -3.5578 -3.4129
 -3.2984 -3.2103 -3.1402 -3.0803 -3.0257 -2.9737 -2.9235 -2.8748 -2.8278 -2.7834
 -2.7423
 -7.4181 -7.1118 -6.8344 -6.5802 -6.3454 -6.1255 -5.9144 -5.7099 -5.5120 -5.3217
 -5.1401 -4.9689 -4.8088 -4.6599 -4.5211 -4.2137 -3.9575 -3.7421 -3.5663 -3.4229
 -3.3082 -3.2194 -3.1506 -3.0954 -3.0481 -3.0045 -2.9630 -2.9224 -2.8826 -2.8442
 -2.8078
 -7.4185 -7.1026 -6.8215 -6.5668 -6.3314 -6.1122 -5.9051 -5.7063 -5.5136 -5.3273
 -5.1479 -4.9765 -4.8144 -4.6625 -4.5221 -4.2091 -3.9584 -3.7488 -3.5736
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value = F438W
 -8.4023 -8.1239 -7.8993 -7.7144 -7.5559 -7.4091 -7.2608 -7.1010 -6.9255 -6.7324
 -6.5153 -6.2747 -6.0211 -5.7725 -5.5241 -4.9822 -4.4944 -4.0645 -3.7178
 -7.9927 -7.6701 -7.4108 -7.2048 -7.0368 -6.8905 -6.7524 -6.6095 -6.4570 -6.2908
 -6.1042 -5.8938 -5.6637 -5.4328 -5.2152 -4.7326 -4.3154 -3.9507 -3.6484 -3.4106
 -7.7101 -7.3401 -7.0498 -6.8324 -6.6425 -6.4836 -6.3437 -6.2093 -6.0720 -5.9271
