 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  i   
 -1.8396 -1.7901 -1.7894 -1.7646 -1.7024 -1.6469 -1.6339 -1.6421 -1.6324 -1.5909
 -1.5321 -1.4608 -1.3866 -1.3187 -1.2559 -1.1311 -1.0573 -1.0248 -1.0112
 -1.8092 -1.7131 -1.6542 -1.6107 -1.5796 -1.5605 -1.5492 -1.5392 -1.5248 -1.5028
 -1.4708 -1.4267 -1.3709 -1.3104 -1.2534 -1.1414 -1.0751 -1.0467 -1.0395 -1.0479
 -1.7886 -1.6711 -1.5811 -1.5212 -1.4931 -1.4816 -1.4705 -1.4579 -1.4460 -1.4343
 -1.4170 -1.3912 -1.3525 -1.3026 -1.2522 -1.1513 -1.0909 -1.0656 -1.0624 -1.0715
 -1.0883
 -1.7778 -1.6641 -1.5701 -1.4961 -1.4429 -1.4102 -1.3978 -1.3982 -1.3960 -1.3854
 -1.3707 -1.3543 -1.3314 -1.2953 -1.2523 -1.1608 -1.1047 -1.0815 -1.0799 -1.0893
 -1.1053 -1.1265
 -1.7514 -1.6504 -1.5635 -1.4903 -1.4313 -1.3868 -1.3567 -1.3392 -1.3328 -1.3319
 -1.3264 -1.3149 -1.3020 -1.2810 -1.2483 -1.1671 -1.1144 -1.0928 -1.0934 -1.1043
 -1.1206 -1.1411 -1.1652 -1.1928
 -1.6995 -1.6160 -1.5425 -1.4780 -1.4223 -1.3756 -1.3388 -1.3119 -1.2934 -1.2811
 -1.2732 -1.2660 -1.2575 -1.2486 -1.2310 -1.1674 -1.1187 -1.0981 -1.1012 -1.1152
 -1.1335 -1.1547 -1.1785 -1.2051 -1.2341 -1.2661 -1.3017 -1.3431 -1.3912 -1.4415
 -1.6222 -1.5569 -1.4993 -1.4481 -1.4018 -1.3601 -1.3236 -1.2930 -1.2692 -1.2509
 -1.2363 -1.2239 -1.2126 -1.2052 -1.1959 -1.1564 -1.1166 -1.0972 -1.1018 -1.1200
 -1.1422 -1.1659 -1.1911 -1.2178 -1.2461 -1.2763 -1.3091 -1.3449 -1.3867 -1.4359
 -1.4880
 -1.5264 -1.4767 -1.4339 -1.3968 -1.3630 -1.3311 -1.3006 -1.2721 -1.2469 -1.2262
 -1.2092 -1.1945 -1.1810 -1.1691 -1.1607 -1.1326 -1.1060 -1.0904 -1.0956 -1.1170
 -1.1444 -1.1726 -1.2008 -1.2293 -1.2584 -1.2883 -1.3196 -1.3531 -1.3896 -1.4315
 -1.4819
 -1.4184 -1.3822 -1.3515 -1.3261 -1.3043 -1.2838 -1.2630 -1.2414 -1.2199 -1.2000
 -1.1828 -1.1680 -1.1548 -1.1423 -1.1325 -1.1073 -1.0882 -1.0786 -1.0847 -1.1076
 -1.1393 -1.1731 -1.2061 -1.2382 -1.2697 -1.3009 -1.3325 -1.3649 -1.3989 -1.4360
 -1.4787
 -1.3066 -1.2809 -1.2600 -1.2433 -1.2308 -1.2203 -1.2098 -1.1975 -1.1834 -1.1682
 -1.1534 -1.1400 -1.1283 -1.1177 -1.1084 -1.0862 -1.0698 -1.0643 -1.0715 -1.0937
 -1.1271 -1.1652 -1.2037 -1.2408 -1.2763 -1.3105 -1.3439 -1.3771 -1.4105 -1.4452
 -1.4821
 -1.1928 -1.1758 -1.1630 -1.1536 -1.1477 -1.1445 -1.1423 -1.1392 -1.1341 -1.1266
 -1.1173 -1.1075 -1.0984 -1.0904 -1.0834 -1.0673 -1.0531 -1.0496 -1.0582 -1.0793
 -1.1119 -1.1515 -1.1940 -1.2363 -1.2769 -1.3154 -1.3523 -1.3878 -1.4225 -1.4572
 -1.4928
 -1.0771 -1.0669 -1.0643 -1.0601 -1.0597 -1.0618 -1.0654 -1.0694 -1.0723 -1.0733
 -1.0718 -1.0683 -1.0636 -1.0589 -1.0575 -1.0506 -1.0381 -1.0345 -1.0448
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value =  i   
 -2.1185 -2.0347 -1.9661 -1.9083 -1.8588 -1.8125 -1.7639 -1.7098 -1.6515 -1.5917
 -1.5284 -1.4609 -1.3909 -1.3236 -1.2574 -1.1354 -1.0574 -1.0203 -1.0121
 -1.9882 -1.8916 -1.8160 -1.7567 -1.7094 -1.6708 -1.6366 -1.6007 -1.5630 -1.5236
 -1.4804 -1.4307 -1.3741 -1.3154 -1.2602 -1.1491 -1.0775 -1.0424 -1.0347 -1.0429
 -1.9188 -1.7949 -1.7061 -1.6530 -1.6056 -1.5695 -1.5411 -1.5157 -1.4907 -1.4652
 -1.4372 -1.4040 -1.3619 -1.3123 -1.2628 -1.1614 -1.0952 -1.0617 -1.0543 -1.0623
 -1.0789
 -1.8956 -1.7523 -1.6472 -1.5752 -1.5276 -1.4961 -1.4736 -1.4543 -1.4342 -1.4145
 -1.3948 -1.3734 -1.3462 -1.3084 -1.2652 -1.1723 -1.1105 -1.0782 -1.0709 -1.0789
 -1.0949 -1.1165
 -1.8968 -1.7573 -1.6396 -1.5501 -1.4856 -1.4407 -1.4107 -1.3920 -1.3812 -1.3732
 -1.3585 -1.3413 -1.3226 -1.2982 -1.2637 -1.1797 -1.1216 -1.0907 -1.0838 -1.0926
