 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = F475W
 -3.3826 -1.5716  0.0472 -0.3419 -3.0758 -7.9227 -6.1355 -3.4961 -2.0790 -2.1100
 -1.9959 -1.8986 -2.3856 -2.8846 -2.9210 -2.1459
 -5.4910 -4.4428 -3.3601 -3.1897 -4.0665 -6.2199 -5.4461 -4.2417 -3.3968 -3.0906
 -2.8194 -2.6586 -2.7757 -2.9003 -2.8057 -2.1006 -1.6463 -1.3590 -1.2709
 -6.0226 -5.4910 -4.8659 -4.4717 -4.3624 -4.8328 -4.5984 -4.2267 -3.8250 -3.4624
 -3.1769 -2.9905 -2.8858 -2.7796 -2.6096 -2.0068 -1.5658 -1.2994 -1.1456 -1.0129
 -0.8087
 -4.9774 -4.7162 -4.4702 -4.1879 -3.9635 -3.7615 -3.5924 -3.4512 -3.3633 -3.2254
 -3.0686 -2.8942 -2.7159 -2.5226 -2.3327 -1.8645 -1.5148 -1.2613 -1.0749 -0.9327
 -0.8177 -0.7198 -0.6332
 -4.5785 -4.3731 -4.1695 -3.9462 -3.7358 -3.5326 -3.3458 -3.1799 -3.0333 -2.8980
 -2.7614 -2.6154 -2.4634 -2.3065 -2.1481 -1.7665 -1.4585 -1.2349 -1.0699 -0.9415
 -0.8360 -0.7449 -0.6635 -0.5899 -0.5229
 -4.1882 -4.0290 -3.8638 -3.6886 -3.5037 -3.3151 -3.1300 -2.9571 -2.8006 -2.6594
 -2.5288 -2.4016 -2.2710 -2.1392 -2.0046 -1.6874 -1.4164 -1.2156 -1.0674 -0.9512
 -0.8547 -0.7705 -0.6946 -0.6247 -0.5599 -0.5003
 -3.8065 -3.6839 -3.5531 -3.4151 -3.2671 -3.1090 -2.9450 -2.7828 -2.6297 -2.4892
 -2.3613 -2.2429 -2.1293 -2.0170 -1.9022 -1.6272 -1.3885 -1.2034 -1.0674 -0.9618
 -0.8738 -0.7966 -0.7265 -0.6611 -0.5997 -0.5422 -0.4894 -0.4420 -0.4031 -0.3813
 -3.4334 -3.3378 -3.2374 -3.1328 -3.0210 -2.8996 -2.7682 -2.6308 -2.4933 -2.3620
 -2.2402 -2.1280 -2.0241 -1.9251 -1.8274 -1.5868 -1.3722 -1.1979 -1.0679 -0.9698
 -0.8899 -0.8201 -0.7565 -0.6968 -0.6400 -0.5858 -0.5344 -0.4877 -0.4478 -0.4177
 -0.4038
 -3.0819 -3.0087 -2.9331 -2.8555 -2.7739 -2.6861 -2.5897 -2.4840 -2.3715 -2.2577
 -2.1471 -2.0430 -1.9462 -1.8557 -1.7688 -1.5582 -1.3627 -1.1980 -1.0699 -0.9745
 -0.9004 -0.8380 -0.7817 -0.7288 -0.6779 -0.6286 -0.5815 -0.5360 -0.4952 -0.4628
 -0.4411
 -2.7592 -2.7045 -2.6496 -2.5946 -2.5372 -2.4762 -2.4093 -2.3345 -2.2508 -2.1597
 -2.0657 -1.9731 -1.8842 -1.8003 -1.7207 -1.5326 -1.3536 -1.1980 -1.0727 -0.9766
 -0.9045 -0.8477 -0.7988 -0.7536 -0.7099 -0.6670 -0.6252 -0.5847 -0.5465 -0.5132
 -0.4851
 -2.4639 -2.4289 -2.3923 -2.3543 -2.3159 -2.2753 -2.2312 -2.1819 -2.1253 -2.0596
 -1.9869 -1.9103 -1.8325 -1.7558 -1.6818 -1.5081 -1.3468 -1.1987 -1.0767 -0.9802
 -0.9070 -0.8520 -0.8085 -0.7706 -0.7349 -0.6997 -0.6648 -0.6302 -0.5965 -0.5647
 -0.5346
 -2.2092 -2.1819 -2.1568 -2.1338 -2.1107 -2.0856 -2.0588 -2.0285 -1.9930 -1.9484
 -1.8958 -1.8377 -1.7759 -1.7123 -1.6482 -1.4895 -1.3375 -1.1978 -1.0785 -0.9831
 -0.9090 -0.8532 -0.8116 -0.7789 -0.7505 -0.7234 -0.6964 -0.6692 -0.6417 -0.6149
 -0.5895
 -1.9953 -1.9634 -1.9431 -1.9331 -1.9216 -1.9071 -1.8938 -1.8778 -1.8577 -1.8312
 -1.7983 -1.7595 -1.7152 -1.6698 -1.6198 -1.4766 -1.3257 -1.1953 -1.0781
 [Fe/H] = -3.00 [alpha/Fe] = 0.40 BC value = F475W
 -5.0805 -4.7543 -4.5358 -4.4300 -4.4561 -4.9252 -4.6300 -4.3283 -4.0803 -3.8759
 -3.6059 -3.3388 -3.1990 -3.0952 -2.9228 -2.3061
 -4.9516 -4.6176 -4.3682 -4.2038 -4.1352 -4.3183 -4.1366 -3.9384 -3.7502 -3.5712
 -3.3625 -3.1510 -2.9836 -2.8284 -2.6453 -2.1203 -1.6897 -1.3680 -1.1303
 -4.8084 -4.4772 -4.2107 -4.0059 -3.8672 -3.8470 -3.7271 -3.5925 -3.4455 -3.2883
 -3.1230 -2.9512 -2.7742 -2.5935 -2.4100 -1.9622 -1.5912 -1.3084 -1.0985 -0.9384
 -0.8100
 -4.6509 -4.3331 -4.0633 -3.8363 -3.6521 -3.5113 -3.4015 -3.2906 -3.1661 -3.0274
 -2.8876 -2.7393 -2.5709 -2.3904 -2.2169 -1.8318 -1.5120 -1.2634 -1.0775 -0.9341
 -0.8176 -0.7186 -0.6297
 -4.4791 -4.1853 -3.9260 -3.6950 -3.4899 -3.3112 -3.1598 -3.0328 -2.9121 -2.7883
 -2.6562 -2.5154 -2.3736 -2.2192 -2.0660 -1.7291 -1.4521 -1.2330 -1.0672 -0.9378
 -0.8315 -0.7398 -0.6584 -0.5848 -0.5179
 -4.2930 -4.0338 -3.7988 -3.5820 -3.3806 -3.1948 -3.0256 -2.8746 -2.7402 -2.6165
 -2.4925 -2.3617 -2.2311 -2.0955 -1.9569 -1.6537 -1.4084 -1.2129 -1.0636 -0.9462
 -0.8489 -0.7643 -0.6882 -0.6185 -0.5541 -0.4947
 -4.0860 -3.8652 -3.6620 -3.4694 -3.2848 -3.1074 -2.9386 -2.7805 -2.6352 -2.5019
 -2.3765 -2.2544 -2.1323 -2.0130 -1.8879 -1.6044 -1.3791 -1.1999 -1.0627 -0.9558
 -0.8670 -0.7894 -0.7191 -0.6540 -0.5931 -0.5361 -0.4839 -0.4371 -0.3986 -0.3771
 -3.8684 -3.6824 -3.5107 -3.3468 -3.1852 -3.0253 -2.8676 -2.7144 -2.5680 -2.4311
 -2.3032 -2.1823 -2.0655 -1.9538 -1.8415 -1.5785 -1.3629 -1.1930 -1.0626 -0.9631
 -0.8824 -0.8121 -0.7484 -0.6890 -0.6326 -0.5791 -0.5291 -0.4828 -0.4429 -0.4132
 -0.3996
 -3.6168 -3.4854 -3.3505 -3.2125 -3.0756 -2.9374 -2.7967 -2.6555 -2.5165 -2.3820
 -2.2543 -2.1342 -2.0205 -1.9121 -1.8072 -1.5633 -1.3569 -1.1916 -1.0621 -0.9673
 -0.8900 -0.8296 -0.7732 -0.7205 -0.6701 -0.6214 -0.5750 -0.5334 -0.4967 -0.4646
 -0.4367
 -3.4162 -3.3027 -3.1871 -3.0699 -2.9539 -2.8368 -2.7160 -2.5915 -2.4648 -2.3384
 -2.2150 -2.0971 -1.9856 -1.8803 -1.7795 -1.5488 -1.3523 -1.1921 -1.0652 -0.9687
 -0.8964 -0.8392 -0.7902 -0.7451 -0.7019 -0.6596 -0.6184 -0.5785 -0.5410 -0.5074
 -0.4807
 -3.2294 -3.1305 -3.0295 -2.9267 -2.8272 -2.7268 -2.6248 -2.5185 -2.4079 -2.2943
 -2.1799 -2.0675 -1.9593 -1.8569 -1.7596 -1.5379 -1.3500 -1.1938 -1.0690 -0.9717
