 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = F225W
-10.1752 -9.1594 -7.9461 -7.6870 -8.8548-10.8901-10.1242 -8.9633 -8.3587 -8.4067
 -8.3428 -8.2737 -8.5492 -8.8320 -8.8187 -8.1185
-10.0026 -9.5643 -8.9782 -8.7952 -9.2025-10.0994 -9.7848 -9.3012 -8.9868 -8.8973
 -8.7829 -8.6954 -8.7655 -8.8541 -8.8076 -8.2265 -7.3465 -6.6775 -4.8572
 -9.7365 -9.6199 -9.4240 -9.3051 -9.3082 -9.5126 -9.4414 -9.3354 -9.2186 -9.1029
 -8.9964 -8.9150 -8.8703 -8.8300 -8.7485 -8.1704 -7.0697 -6.1925 -5.0840 -4.3034
 -4.2856
 -9.3770 -9.3262 -9.2835 -9.2167 -9.1716 -9.1296 -9.0940 -9.0658 -9.0542 -9.0234
 -8.9833 -8.9324 -8.8637 -8.7599 -8.6414 -7.9502 -6.9167 -5.8139 -4.9095 -4.2124
 -3.6872 -3.2973 -3.0081
 -9.1857 -9.1694 -9.1515 -9.1186 -9.0856 -9.0472 -9.0058 -8.9635 -8.9219 -8.8804
 -8.8346 -8.7807 -8.7135 -8.6105 -8.4662 -7.7684 -6.5929 -5.3991 -4.4612 -3.7787
 -3.2880 -2.9343 -2.6785 -2.4927 -2.3548
 -9.0079 -9.0173 -9.0191 -9.0110 -8.9915 -8.9604 -8.9180 -8.8655 -8.8049 -8.7378
 -8.6646 -8.5840 -8.4912 -8.3702 -8.2053 -7.4930 -6.3013 -5.0869 -4.1326 -3.4506
 -2.9743 -2.6399 -2.4035 -2.2349 -2.1127 -2.0220
 -8.8437 -8.8699 -8.8863 -8.8939 -8.8893 -8.8692 -8.8306 -8.7718 -8.6930 -8.5961
 -8.4843 -8.3583 -8.2175 -8.0576 -7.8587 -7.1240 -6.0419 -4.8773 -3.9237 -3.2281
 -2.7461 -2.4141 -2.1831 -2.0203 -1.9042 -1.8195 -1.7536 -1.7053 -1.6685 -1.6165
 -8.6931 -8.7272 -8.7531 -8.7716 -8.7787 -8.7692 -8.7366 -8.6749 -8.5798 -8.4527
 -8.2990 -8.1245 -7.9336 -7.7258 -7.4938 -6.7567 -5.7793 -4.7450 -3.8237 -3.1156
 -2.6100 -2.2614 -2.0209 -1.8523 -1.7322 -1.6453 -1.5779 -1.5269 -1.4918 -1.4660
 -1.4264
