 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = F814W
 -2.4520 -1.5428 -0.3657  0.0130 -0.8210 -2.7094 -1.9641 -0.7449 -0.0135  0.0109
  0.0630  0.0278 -0.3824 -0.8857 -1.1557 -1.0712
 -2.2414 -1.8440 -1.2645 -1.0236 -1.2722 -2.0972 -1.7678 -1.2259 -0.8333 -0.7056
 -0.6116 -0.6023 -0.7692 -0.9883 -1.1069 -1.0415 -1.0012 -0.9839 -1.0465
 -1.9117 -1.8041 -1.6050 -1.4699 -1.4288 -1.6139 -1.5250 -1.3840 -1.2370 -1.1127
 -1.0294 -1.0004 -1.0232 -1.0653 -1.0846 -1.0342 -1.0207 -1.0121 -1.0378 -1.0670
 -1.0724
 -1.4629 -1.4231 -1.3872 -1.3259 -1.2907 -1.2595 -1.2357 -1.2190 -1.2246 -1.2102
 -1.1906 -1.1665 -1.1445 -1.1166 -1.0888 -1.0493 -1.0274 -1.0281 -1.0430 -1.0669
 -1.0957 -1.1282 -1.1630
 -1.2687 -1.2617 -1.2530 -1.2310 -1.2132 -1.1939 -1.1758 -1.1604 -1.1485 -1.1391
 -1.1292 -1.1167 -1.1037 -1.0889 -1.0719 -1.0455 -1.0403 -1.0483 -1.0650 -1.0879
 -1.1153 -1.1460 -1.1792 -1.2153 -1.2548
 -1.0901 -1.1081 -1.1214 -1.1283 -1.1287 -1.1239 -1.1157 -1.1063 -1.0973 -1.0893
 -1.0826 -1.0766 -1.0696 -1.0633 -1.0547 -1.0394 -1.0446 -1.0598 -1.0804 -1.1046
 -1.1321 -1.1622 -1.1946 -1.2291 -1.2659 -1.3057
 -0.9270 -0.9623 -0.9924 -1.0178 -1.0371 -1.0495 -1.0554 -1.0567 -1.0552 -1.0522
 -1.0487 -1.0454 -1.0425 -1.0406 -1.0372 -1.0310 -1.0403 -1.0626 -1.0892 -1.1170
 -1.1461 -1.1768 -1.2093 -1.2431 -1.2786 -1.3161 -1.3562 -1.4014 -1.4526 -1.5062
 -0.7794 -0.8243 -0.8660 -0.9048 -0.9394 -0.9679 -0.9894 -1.0039 -1.0128 -1.0177
 -1.0199 -1.0205 -1.0204 -1.0203 -1.0204 -1.0207 -1.0314 -1.0566 -1.0889 -1.1225
 -1.1556 -1.1886 -1.2222 -1.2566 -1.2919 -1.3282 -1.3658 -1.4068 -1.4533 -1.5059
 -1.5615
 -0.6554 -0.7024 -0.7493 -0.7960 -0.8405 -0.8813 -0.9165 -0.9446 -0.9655 -0.9801
 -0.9898 -0.9962 -1.0003 -1.0030 -1.0047 -1.0097 -1.0210 -1.0451 -1.0801 -1.1191
 -1.1579 -1.1954 -1.2319 -1.2682 -1.3044 -1.3410 -1.3785 -1.4170 -1.4588 -1.5059
 -1.5599
 -0.5523 -0.5998 -0.6486 -0.6985 -0.7481 -0.7961 -0.8407 -0.8801 -0.9126 -0.9376
 -0.9560 -0.9692 -0.9786 -0.9853 -0.9899 -0.9980 -1.0106 -1.0328 -1.0668 -1.1084
 -1.1524 -1.1957 -1.2371 -1.2768 -1.3155 -1.3535 -1.3915 -1.4302 -1.4702 -1.5135
 -1.5604
 -0.4730 -0.5175 -0.5643 -0.6131 -0.6637 -0.7145 -0.7641 -0.8109 -0.8529 -0.8880
 -0.9157 -0.9371 -0.9532 -0.9651 -0.9736 -0.9871 -1.0000 -1.0212 -1.0526 -1.0930
 -1.1391 -1.1870 -1.2339 -1.2786 -1.3212 -1.3621 -1.4021 -1.4416 -1.4813 -1.5221
 -1.5652
 -0.4167 -0.4555 -0.4977 -0.5428 -0.5912 -0.6412 -0.6923 -0.7424 -0.7899 -0.8318
 -0.8677 -0.8977 -0.9220 -0.9410 -0.9550 -0.9760 -0.9906 -1.0106 -1.0400 -1.0782
 -1.1233 -1.1726 -1.2234 -1.2732 -1.3207 -1.3658 -1.4091 -1.4509 -1.4919 -1.5328
 -1.5746
 -0.3834 -0.4139 -0.4488 -0.4876 -0.5306 -0.5762 -0.6282 -0.6786 -0.7281 -0.7738
 -0.8154 -0.8530 -0.8871 -0.9130 -0.9339 -0.9646 -0.9824 -1.0010 -1.0290
 [Fe/H] = -3.00 [alpha/Fe] = 0.40 BC value = F814W
 -1.3467 -1.2834 -1.2523 -1.2618 -1.3204 -1.5513 -1.4713 -1.3753 -1.2987 -1.2413
 -1.1542 -1.0758 -1.0740 -1.1102 -1.1151 -1.0129
 -1.3779 -1.3161 -1.2776 -1.2677 -1.2923 -1.4148 -1.3889 -1.3487 -1.3095 -1.2730
 -1.2220 -1.1720 -1.1489 -1.1402 -1.1195 -1.0295 -0.9878 -0.9797 -0.9914
 -1.3838 -1.3275 -1.2868 -1.2646 -1.2648 -1.3105 -1.3152 -1.3101 -1.2969 -1.2772
 -1.2524 -1.2236 -1.1918 -1.1580 -1.1229 -1.0439 -1.0097 -1.0052 -1.0177 -1.0409
 -1.0705
 -1.3644 -1.3176 -1.2799 -1.2525 -1.2378 -1.2384 -1.2502 -1.2596 -1.2610 -1.2542
 -1.2454 -1.2306 -1.2028 -1.1638 -1.1253 -1.0561 -1.0276 -1.0266 -1.0404 -1.0630
 -1.0911 -1.1233 -1.1588
 -1.3197 -1.2864 -1.2569 -1.2314 -1.2114 -1.1985 -1.1939 -1.1971 -1.2017 -1.2038
 -1.2010 -1.1930 -1.1818 -1.1575 -1.1267 -1.0661 -1.0415 -1.0439 -1.0594 -1.0819
 -1.1092 -1.1400 -1.1738 -1.2105 -1.2507
