 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = F625W
  1.3620  3.2360  4.2823  2.9957 -0.2473 -4.5262 -3.6255 -1.8779 -0.7926 -0.6130
 -0.4300 -0.3416 -0.6976 -1.1708 -1.3252 -0.9447
 -1.8135 -0.9159 -0.1937 -0.4697 -1.6012 -3.4436 -3.0222 -2.1964 -1.5528 -1.2611
 -1.0331 -0.9160 -1.0184 -1.1865 -1.2194 -0.9015 -0.6975 -0.5867 -0.5970
 -3.0753 -2.7447 -2.3184 -2.1099 -2.1197 -2.5007 -2.3498 -2.0821 -1.7886 -1.5342
 -1.3414 -1.2256 -1.1824 -1.1629 -1.1137 -0.8601 -0.6931 -0.5909 -0.5525 -0.5244
 -0.4554
 -2.4234 -2.2504 -2.0918 -1.9249 -1.8027 -1.6976 -1.6083 -1.5351 -1.5002 -1.4321
 -1.3549 -1.2705 -1.1896 -1.1001 -1.0081 -0.8205 -0.6845 -0.5962 -0.5388 -0.5031
 -0.4792 -0.4632 -0.4517
 -2.1320 -2.0065 -1.8861 -1.7616 -1.6532 -1.5547 -1.4674 -1.3913 -1.3252 -1.2651
 -1.2045 -1.1397 -1.0741 -1.0071 -0.9383 -0.7863 -0.6778 -0.6054 -0.5564 -0.5230
 -0.4999 -0.4838 -0.4724 -0.4659 -0.4647
 -1.8545 -1.7682 -1.6813 -1.5923 -1.5036 -1.4189 -1.3407 -1.2695 -1.2054 -1.1475
 -1.0941 -1.0423 -0.9891 -0.9372 -0.8827 -0.7586 -0.6690 -0.6093 -0.5686 -0.5394
 -0.5185 -0.5035 -0.4929 -0.4858 -0.4820 -0.4825
 -1.5910 -1.5355 -1.4774 -1.4170 -1.3540 -1.2902 -1.2282 -1.1697 -1.1148 -1.0636
 -1.0158 -0.9707 -0.9272 -0.8853 -0.8413 -0.7374 -0.6581 -0.6079 -0.5754 -0.5523
 -0.5350 -0.5223 -0.5131 -0.5065 -0.5024 -0.5011 -0.5030 -0.5126 -0.5322 -0.5569
 -1.3413 -1.3084 -1.2744 -1.2395 -1.2020 -1.1615 -1.1193 -1.0772 -1.0359 -0.9954
 -0.9558 -0.9174 -0.8802 -0.8442 -0.8086 -0.7204 -0.6484 -0.6013 -0.5746 -0.5584
 -0.5468 -0.5381 -0.5317 -0.5272 -0.5241 -0.5226 -0.5223 -0.5268 -0.5397 -0.5625
 -0.5913
 -1.1172 -1.0998 -1.0834 -1.0679 -1.0511 -1.0319 -1.0100 -0.9855 -0.9593 -0.9318
 -0.9027 -0.8725 -0.8420 -0.8114 -0.7807 -0.7053 -0.6393 -0.5931 -0.5675 -0.5560
 -0.5510 -0.5482 -0.5464 -0.5454 -0.5450 -0.5452 -0.5466 -0.5488 -0.5555 -0.5705
 -0.5965
 -0.9175 -0.9140 -0.9118 -0.9108 -0.9093 -0.9064 -0.9012 -0.8931 -0.8818 -0.8673
 -0.8496 -0.8290 -0.8061 -0.7814 -0.7555 -0.6896 -0.6294 -0.5840 -0.5577 -0.5470
 -0.5465 -0.5502 -0.5548 -0.5590 -0.5629 -0.5663 -0.5699 -0.5740 -0.5799 -0.5903
 -0.6053
 -0.7429 -0.7520 -0.7609 -0.7696 -0.7788 -0.7872 -0.7943 -0.7993 -0.8014 -0.7994
 -0.7931 -0.7828 -0.7689 -0.7516 -0.7315 -0.6748 -0.6196 -0.5756 -0.5480 -0.5357
 -0.5359 -0.5438 -0.5545 -0.5653 -0.5749 -0.5832 -0.5907 -0.5977 -0.6048 -0.6133
 -0.6227
 -0.6011 -0.6138 -0.6285 -0.6449 -0.6617 -0.6777 -0.6932 -0.7073 -0.7192 -0.7275
 -0.7318 -0.7318 -0.7273 -0.7183 -0.7049 -0.6594 -0.6097 -0.5673 -0.5387 -0.5250
 -0.5237 -0.5320 -0.5464 -0.5630 -0.5791 -0.5936 -0.6065 -0.6179 -0.6284 -0.6387
 -0.6499
 -0.4921 -0.4995 -0.5146 -0.5367 -0.5580 -0.5779 -0.6000 -0.6202 -0.6385 -0.6537
 -0.6656 -0.6746 -0.6808 -0.6815 -0.6758 -0.6436 -0.5997 -0.5591 -0.5298
 [Fe/H] = -3.00 [alpha/Fe] = 0.40 BC value = F625W
 -2.7647 -2.4224 -2.2162 -2.1290 -2.1334 -2.4282 -2.1924 -1.9847 -1.8295 -1.7080
 -1.5420 -1.3755 -1.3014 -1.2795 -1.2212 -0.9281
 -2.6912 -2.3552 -2.1271 -1.9947 -1.9406 -2.0585 -1.9249 -1.7975 -1.6874 -1.5885
 -1.4721 -1.3546 -1.2703 -1.2057 -1.1268 -0.8785 -0.6987 -0.5832 -0.5101
 -2.6053 -2.2835 -2.0456 -1.8827 -1.7849 -1.7770 -1.7041 -1.6289 -1.5516 -1.4723
 -1.3911 -1.3080 -1.2231 -1.1367 -1.0486 -0.8378 -0.6866 -0.5869 -0.5227 -0.4819
 -0.4557
 -2.5070 -2.2073 -1.9717 -1.7930 -1.6661 -1.5837 -1.5300 -1.4791 -1.4222 -1.3593
 -1.2989 -1.2356 -1.1599 -1.0725 -0.9866 -0.8060 -0.6774 -0.5917 -0.5356 -0.4986
 -0.4739 -0.4576 -0.4468
 -2.3963 -2.1266 -1.9054 -1.7256 -1.5843 -1.4786 -1.4026 -1.3479 -1.2991 -1.2495
 -1.1956 -1.1375 -1.0806 -1.0132 -0.9408 -0.7831 -0.6711 -0.5976 -0.5487 -0.5152
 -0.4921 -0.4762 -0.4657 -0.4599 -0.4594
 -2.2732 -2.0414 -1.8467 -1.6805 -1.5395 -1.4244 -1.3352 -1.2669 -1.2124 -1.1650
 -1.1169 -1.0645 -1.0144 -0.9620 -0.9030 -0.7655 -0.6650 -0.6012 -0.5598 -0.5307
 -0.5099 -0.4951 -0.4849 -0.4786 -0.4757 -0.4766
 -2.1290 -1.9358 -1.7727 -1.6296 -1.5012 -1.3877 -1.2920 -1.2156 -1.1545 -1.1028
 -1.0549 -1.0077 -0.9598 -0.9170 -0.8682 -0.7498 -0.6578 -0.6001 -0.5659 -0.5427
 -0.5256 -0.5132 -0.5044 -0.4986 -0.4954 -0.4949 -0.4977 -0.5081 -0.5283 -0.5531
 -1.9711 -1.8116 -1.6782 -1.5610 -1.4526 -1.3509 -1.2574 -1.1769 -1.1110 -1.0566
 -1.0091 -0.9640 -0.9192 -0.8782 -0.8366 -0.7335 -0.6494 -0.5945 -0.5649 -0.5482
 -0.5368 -0.5284 -0.5226 -0.5188 -0.5165 -0.5160 -0.5180 -0.5229 -0.5355 -0.5588
 -0.5878
 -1.6840 -1.6394 -1.5685 -1.4741 -1.3867 -1.3023 -1.2196 -1.1418 -1.0737 -1.0170
 -0.9693 -0.9266 -0.8857 -0.8461 -0.8089 -0.7166 -0.6401 -0.5863 -0.5561 -0.5458
 -0.5372 -0.5383 -0.5370 -0.5367 -0.5371 -0.5381 -0.5404 -0.5470 -0.5583 -0.5738
 -0.5930
 -1.6116 -1.5059 -1.4279 -1.3747 -1.3045 -1.2371 -1.1695 -1.1017 -1.0369 -0.9791
 -0.9305 -0.8893 -0.8520 -0.8164 -0.7828 -0.6991 -0.6284 -0.5772 -0.5479 -0.5369
 -0.5366 -0.5405 -0.5454 -0.5503 -0.5549 -0.5591 -0.5635 -0.5684 -0.5750 -0.5849
 -0.6017
 -1.4626 -1.3774 -1.3145 -1.2719 -1.2150 -1.1603 -1.1069 -1.0520 -0.9964 -0.9425
 -0.8938 -0.8527 -0.8176 -0.7860 -0.7563 -0.6828 -0.6172 -0.5680 -0.5381 -0.5256
 -0.5262 -0.5345 -0.5455 -0.5567 -0.5670 -0.5760 -0.5842 -0.5919 -0.5997 -0.6088
 -0.6190
 -1.2947 -1.2537 -1.2094 -1.1624 -1.1223 -1.0853 -1.0471 -0.9912 -0.9467 -0.9013
 -0.8569 -0.8165 -0.7822 -0.7531 -0.7271 -0.6655 -0.6054 -0.5587 -0.5286 -0.5147
 -0.5141 -0.5231 -0.5380 -0.5549 -0.5715 -0.5865 -0.6001 -0.6122 -0.6232 -0.6341
 -0.6460
 -1.1077 -1.1349 -1.1126 -1.0461 -1.0265 -1.0121 -0.9710 -0.9392 -0.9048 -0.8526
 -0.8159 -0.7801 -0.7472 -0.7192 -0.6952 -0.6472 -0.5930 -0.5493 -0.5194
 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = F625W
 -3.8826 -3.6624 -3.4943 -3.1609 -2.6844 -2.2894 -2.1192 -2.0776 -2.0130 -1.8780
 -1.7155 -1.5453 -1.3958 -1.2756 -1.1592 -0.9031
 -3.4407 -3.1194 -2.8781 -2.6048 -2.3036 -2.0577 -1.9161 -1.8366 -1.7573 -1.6551
 -1.5411 -1.4184 -1.2970 -1.1861 -1.0814 -0.8580 -0.6909 -0.5771 -0.4939
 -3.1113 -2.7261 -2.4354 -2.1969 -2.0034 -1.8518 -1.7342 -1.6394 -1.5565 -1.4774
 -1.3965 -1.3086 -1.2119 -1.1128 -1.0192 -0.8229 -0.6787 -0.5804 -0.5131 -0.4705
 -0.4493
 -2.8944 -2.4825 -2.1662 -1.9372 -1.7838 -1.6717 -1.5735 -1.4860 -1.4106 -1.3449
 -1.2817 -1.2159 -1.1405 -1.0557 -0.9726 -0.7978 -0.6709 -0.5849 -0.5288 -0.4917
 -0.4668 -0.4508 -0.4415
 -2.7900 -2.3886 -2.0705 -1.8257 -1.6448 -1.5174 -1.4340 -1.3764 -1.3196 -1.2576
 -1.1967 -1.1403 -1.0828 -1.0148 -0.9416 -0.7827 -0.6675 -0.5906 -0.5409 -0.5075
 -0.4845 -0.4688 -0.4587 -0.4526 -0.4521
 -2.7180 -2.3406 -2.0365 -1.7948 -1.6056 -1.4618 -1.3569 -1.2820 -1.2289 -1.1857
 -1.1374 -1.0835 -1.0325 -0.9788 -0.9173 -0.7728 -0.6654 -0.5948 -0.5511 -0.5219
 -0.5014 -0.4869 -0.4772 -0.4714 -0.4693 -0.4710
 -2.6347 -2.2917 -2.0118 -1.7843 -1.5991 -1.4492 -1.3312 -1.2417 -1.1742 -1.1211
 -1.0760 -1.0319 -0.9860 -0.9414 -0.8910 -0.7632 -0.6623 -0.5954 -0.5567 -0.5329
 -0.5162 -0.5043 -0.4960 -0.4909 -0.4884 -0.4887 -0.4924 -0.5035 -0.5241 -0.5490
 -2.5256 -2.2216 -1.9718 -1.7663 -1.5944 -1.4488 -1.3262 -1.2258 -1.1469 -1.0848
 -1.0330 -0.9864 -0.9419 -0.9016 -0.8600 -0.7495 -0.6565 -0.5922 -0.5563 -0.5380
 -0.5268 -0.5189 -0.5136 -0.5104 -0.5090 -0.5092 -0.5121 -0.5177 -0.5310 -0.5548
 -0.5839
 -2.3959 -2.1298 -1.9106 -1.7291 -1.5758 -1.4423 -1.3241 -1.2202 -1.1325 -1.0617
 -1.0041 -0.9547 -0.9095 -0.8671 -0.8290 -0.7310 -0.6472 -0.5854 -0.5504 -0.5356
 -0.5304 -0.5284 -0.5276 -0.5279 -0.5290 -0.5309 -0.5340 -0.5391 -0.5475 -0.5624
 -0.5892
 -2.2494 -2.0207 -1.8299 -1.6712 -1.5368 -1.4184 -1.3109 -1.2119 -1.1224 -1.0450
 -0.9809 -0.9282 -0.8823 -0.8400 -0.8019 -0.7107 -0.6339 -0.5761 -0.5410 -0.5273
 -0.5263 -0.5305 -0.5358 -0.5412 -0.5464 -0.5514 -0.5566 -0.5624 -0.5697 -0.5804
 -0.5978
 -2.1016 -1.9086 -1.7421 -1.6021 -1.4840 -1.3801 -1.2850 -1.1953 -1.1106 -1.0324
 -0.9635 -0.9057 -0.8576 -0.8160 -0.7786 -0.6931 -0.6205 -0.5662 -0.5313 -0.5162
 -0.5163 -0.5246 -0.5360 -0.5476 -0.5584 -0.5681 -0.5771 -0.5856 -0.5942 -0.6040
 -0.6149
 -1.9565 -1.7959 -1.6521 -1.5276 -1.4213 -1.3291 -1.2454 -1.1661 -1.0897 -1.0162
 -0.9474 -0.8861 -0.8341 -0.7911 -0.7545 -0.6759 -0.6073 -0.5556 -0.5217 -0.5053
 -0.5041 -0.5135 -0.5287 -0.5460 -0.5630 -0.5786 -0.5928 -0.6056 -0.6174 -0.6290
 -0.6415
 -1.8141 -1.6826 -1.5636 -1.4533 -1.3565 -1.2720 -1.1963 -1.1260 -1.0583 -0.9923
 -0.9282 -0.8678 -0.8133 -0.7670 -0.7296 -0.6591 -0.5943 -0.5443 -0.5122
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value = F625W
 -4.6194 -4.1506 -3.7758 -3.5092 -3.2194 -2.9290 -2.6290 -2.3380 -2.0720 -1.8505
 -1.6634 -1.5022 -1.3615 -1.2375 -1.0937 -0.8665
 -4.3973 -3.9133 -3.4853 -3.1133 -2.7954 -2.5181 -2.2672 -2.0348 -1.8289 -1.6569
 -1.5098 -1.3785 -1.2575 -1.1471 -1.0366 -0.8315 -0.6775 -0.5681 -0.4957
 -4.1113 -3.6175 -3.1760 -2.7963 -2.4792 -2.2177 -1.9996 -1.8079 -1.6436 -1.5065
 -1.3890 -1.2822 -1.1796 -1.0818 -0.9919 -0.8055 -0.6677 -0.5709 -0.5070 -0.4657
 -0.4385
 -3.7614 -3.2632 -2.8479 -2.5582 -2.2709 -2.0279 -1.8262 -1.6573 -1.5161 -1.3993
 -1.3010 -1.2133 -1.1278 -1.0416 -0.9596 -0.7885 -0.6629 -0.5754 -0.5181 -0.4807
 -0.4555 -0.4401 -0.4321
 -3.4824 -2.9810 -2.5841 -2.2784 -2.0418 -1.8531 -1.6948 -1.5540 -1.4284 -1.3212
