 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  B   
 -6.1418 -4.1367 -2.3703 -2.7497 -5.7045-10.9420 -8.9421 -5.9231 -4.2665 -4.3044
 -4.1973 -4.0907 -4.6169 -5.1629 -5.2306 -4.3280
 -7.9087 -6.8122 -5.7071 -5.5719 -6.5796 -8.9497 -8.1173 -6.7746 -5.8238 -5.4914
 -5.1954 -5.0117 -5.1244 -5.2433 -5.1249 -4.2794 -3.7275 -3.3756 -3.2455
 -8.4138 -7.8839 -7.2712 -6.9026 -6.8384 -7.3849 -7.1545 -6.7642 -6.3314 -5.9346
 -5.6149 -5.3996 -5.2660 -5.1250 -4.9090 -4.1648 -3.6075 -3.2764 -3.0762 -2.9002
 -2.6385
 -7.6570 -7.3518 -7.0626 -6.7418 -6.4810 -6.2477 -6.0537 -5.8921 -5.7893 -5.6339
 -5.4560 -5.2544 -5.0419 -4.8079 -4.5829 -3.9842 -3.5378 -3.2105 -2.9679 -2.7809
 -2.6294 -2.5005 -2.3880
 -7.2472 -6.9980 -6.7507 -6.4852 -6.2333 -5.9912 -5.7699 -5.5743 -5.4023 -5.2441
 -5.0846 -4.9128 -4.7306 -4.5395 -4.3443 -3.8600 -3.4583 -3.1654 -2.9496 -2.7818
 -2.6440 -2.5253 -2.4199 -2.3246 -2.2369
 -6.8398 -6.6373 -6.4284 -6.2093 -5.9802 -5.7484 -5.5225 -5.3131 -5.1247 -4.9554
 -4.7988 -4.6456 -4.4870 -4.3244 -4.1571 -3.7563 -3.4000 -3.1339 -2.9385 -2.7865
 -2.6609 -2.5518 -2.4538 -2.3640 -2.2811 -2.2041
 -6.4350 -6.2697 -6.0957 -5.9141 -5.7218 -5.5193 -5.3115 -5.1085 -4.9187 -4.7461
 -4.5897 -4.4448 -4.3050 -4.1651 -4.0213 -3.6731 -3.3629 -3.1160 -2.9346 -2.7950
 -2.6801 -2.5800 -2.4896 -2.4059 -2.3277 -2.2546 -2.1873 -2.1240 -2.0671 -2.0316
 -6.0327 -5.8952 -5.7526 -5.6056 -5.4511 -5.2865 -5.1118 -4.9325 -4.7559 -4.5898
 -4.4375 -4.2980 -4.1690 -4.0452 -3.9221 -3.6167 -3.3402 -3.1102 -2.9356 -2.8038
 -2.6976 -2.6062 -2.5236 -2.4470 -2.3746 -2.3061 -2.2419 -2.1826 -2.1287 -2.0833
 -2.0571
 -5.6476 -5.5338 -5.4176 -5.2994 -5.1773 -5.0489 -4.9119 -4.7660 -4.6146 -4.4651
 -4.3225 -4.1903 -4.0684 -3.9548 -3.8455 -3.5782 -3.3274 -3.1125 -2.9417 -2.8121
 -2.7113 -2.6274 -2.5529 -2.4840 -2.4187 -2.3562 -2.2969 -2.2402 -2.1886 -2.1447
 -2.1103
 -5.2929 -5.1974 -5.1029 -5.0094 -4.9138 -4.8152 -4.7110 -4.5992 -4.4790 -4.3530
 -4.2268 -4.1054 -3.9910 -3.8843 -3.7836 -3.5455 -3.3167 -3.1151 -2.9497 -2.8197
 -2.7200 -2.6410 -2.5740 -2.5134 -2.4561 -2.4009 -2.3479 -2.2972 -2.2495 -2.2069
 -2.1695
 -4.9670 -4.8932 -4.8186 -4.7434 -4.6690 -4.5932 -4.5147 -4.4316 -4.3417 -4.2434
 -4.1400 -4.0350 -3.9311 -3.8307 -3.7353 -3.5145 -3.3099 -3.1191 -2.9593 -2.8300
